page 1	廬山會議中之國防問題
page 6	杜益謙離職空展會未閉幕
page 6	中中全體學生昨組復校委員會請鄒海濱即回校
page 6	僑務會呈請省府派員整頓
page 6	決案
page 6	宣言
page 6	通電
page 6	接收白銀情形
page 6	黃麟書辭職電
page 6	海軍陸戰隊分別返防廣州
page 6	倉存白銀　行查點
page 6	派貝唐兩氏到粵
page 6	河南客村鄉發生挾械糾黨踞屋強掠案伍應期遺居被匪兵械窩聚毀窗入內將所有盜竊一空
page 7	歡迎者眾
page 7	貝唐談話
page 7	銀界招待
page 7	一點希望
page 7	乘車晉省
page 7	鄭鐵如談
page 7	蕭佛成對時局之態度毅然離粵係反對內戰俟身體復元即可晉京
page 7	反對內戰毅然來港
page 7	統一完成引以為懋
page 7	身體復元即可晉京
page 7	艾光鼐宴香翰屏
page 7	歐陽駒昨晚晉省傳將任民政廳長
page 7	粵征治河附　稅已得財部允許
page 7	滅火局去年成績火警較前年減五十六宗
page 7	張任民昨日來港否認李白將出洋
page 7	赴暹考察團返滬昨乘法郵船過港
page 7	情熱如火的鴛鴦侶應注意集團婚之九項問題青年男女紛紛索閱章程雙十節日且看儷影雙雙
page 7	男女備答
page 7	結婚申請
page 7	余漢謀代表來港訪華人代表聯絡感情
page 7	協助整理粵省金融貝祖詒唐壽民南下昨過港本港銀行家多人亦隨同晉省參加研究鄭鐵如談粵省存銀及發行紙幣之數量
page 8	刺宋子文案昨辯論終結承審官命押候宣判
page 8	證人劉植源
page 8	答史律師問
page 8	為被告辯護
page 8	史律師發言
page 8	王泉笙
page 8	譚務秀
page 8	陳同昶
page 8	伍智梅
page 8	星洲國展會徵求展品之章程限九月十日以前寄到
page 8	張九娘昨出院創傷雖愈玉容　前清減
page 8	大會通告
page 8	國展章程
page 8	洋米將徵國稅連日港米已無運省米市疲弱每擔低跌數角米商　米　前途之觀察
page 10	　能療病　慢性自殺
page 10	　　漢跳樓求死
page 10	　飛墮傷兩人
page 10	汽車撞傷一老翁
page 10	初級法庭案彙誌　刀傷人
page 10	積匪行竊
page 10	私藏魚炮
page 10	被解潛回
page 10	私藏紅丸
page 10	省報派員到港購紙
page 10	機器會舉行懇親會
page 10	多拉多機飛檳城
page 11	潮安戒嚴解嚴之經過
page 11	各縣請款辦理救濟事業准給每縣一千元
page 11	江佛聯運復通車
page 11	古兜警隊將調原防
page 11	縣中小學請維教費
page 11	改善小教育之待遇
page 11	百歲老婦嗜食臭肉
page 11	南海圍剿石碣村匪詳情
page 11	樵夫避賊遇蛇
page 11	逑安鄉民請撤屋捐
page 11	大崗兩族之築路潮
page 11	取締蛋戶裸體操作
page 11	二世祖之殷鑒家財散盡捱饑受辱食霸王飯被塗面痛毆
page 11	韶州成立軍警督察處
page 11	潮梅水陸緝私處裁撤各縣緝私區緝私工作現均停頓是否結束尚待令遵
page 14	平時辦法
page 14	戰時辦法
page 14	日方誘脅齊進下之內蒙問題現階段擴編軍徵求壯丁入伍困於窮遂不顧鋌而走險
page 14	華北走私將有解決途徑到濟私貨日益減少
page 14	土耳其海峽新公約摘要
page 15	抱三不主義作伴食豬狗
page 15	漢奸沒日到紅　變仇人
page 15	冀東竊組織人民如倒懸
page 15	　落成毒窟農民服黃丸
page 15	苛捐雜稅多五倍於止稅
page 15	六月十九日日全食余青松講觀測情形此次全食時間一分五十餘秒詳細情形將在宇宙月刊發表
page 15	　狗不如啼笑皆非偽組織之漢奸鄭孝胥老漢縱橫一　溥逆　不可得冀東苛捐雜稅繁多民眾都水深火熱
