page 1	最後勝利之因素
page 6	中央振濟會撥款救濟粵省糧食
page 6	一個日本俘虜的訪問是我便衣隊在廣州所獲的
page 6	歌女組救國隊
page 6	興寧初次被Ｘ機轟炸人民疏散極有秩序損失甚微
page 6	汕市嚴厲推行捲煙管理制裁規避貼證報納菸商
page 6	介紹難民職業
page 6	新會動員會派員來港購辦藥物
page 6	馬少屏就任六縣游擊司令司令部擬設開平長沙
page 6	省府籌擬縣長保障條例並訓練大批鄉鎮長
page 6	河清Ｘ設立宣撫班辦事處辦理招引鄉民回居
page 6	新會縣府舉行民槍登記
page 6	容桂蠶絲業之厄運Ｘ謀攫我淪陷區實業與經濟之手段
page 7	保育會第二次遊藝賣物會定期開幕會場設山頂何東住宅秩序豐富貨物亦美備
page 7	交通方面
page 7	娛樂方面
page 7	有趣節目
page 7	拔萃學生百餘人缺課不滿某籍人為學生總長
page 7	佛山輪未返港
page 7	警當局嚴防盜匪提高警探職權賊匪拒捕或逃走時得開槍制止並得隨時隨地檢查可疑之行人
page 7	商會同人大會明日下午舉行
page 7	輪客墮海溺斃
page 7	中大留港同學會昨成立鄒校長夫人蒞會訓話
page 7	遠東英法將領將在星洲開軍事會議討論增厚兩國殖民地實力問題諾貝爾已定星期五日赴星參加
page 8	登記教師千五百人
page 8	學童登記六千餘人
page 8	中國貨幣譯錄南華英文早報社論
page 8	原文如次
page 8	戰時經濟
page 8	保證穩固
page 8	實屬不確
page 8	華探譚松領隊先行
page 8	著名學者證明爪哇猿人亦是人種產於華南後移殖爪哇各地能用石器較北京人尤古
page 8	畢道警司親到執紼
page 8	聘請名流充任顧問
page 8	忠勇殉職之華探尹文昨日出殯畢　司親率休班警探執紼華人代表發起勸募撫卹金
page 8	華人代表勸募卹金
page 8	謝家寶勸各界參加防空訓練並分函各校邀請參加
page 8	防空學術不容忽視
page 8	函請各校派員受訓
page 8	讀防空報事半功倍
page 8	醫界長期捐輸去月又得七百餘元
page 8	失學　童救濟會積極救濟失業教師呈請省賑會及教育廳盡量錄用中華義學將開課課室未敷分配
page 10	首
page 10	次
page 10	聯會主辦之小型球賽心嘉杯與雲衢杯比賽章程經訂就
page 10	足球總會昨日舉行會議督憲及麗華杯收入甚佳港滬埠際賽下屆可恢復
page 10	中華體協會舉辦華人水球比賽
page 10	南華會泳場昨晚舉行首次水藝女子一百米揚秀珍游第一記者二百米盧洪獅居首席
page 10	紅星征澳戰績比賽兩場勝負各一
page 10	宵來女籃義賽中華痛擊西南知行亦大勝華雄成績卅二比十四及卅四比十四
