page 1	後方重於前方
page 7	英著名礦務公司大購我粵鎢砂我政府資源委員會給予專買權該公司亦盡量投資於我國實業
page 7	顏惠慶等昨日已返滬中紅會決設三辦事處地點為重慶貴陽昆明
page 7	英日代表昨日繼續談判研究防止再有不幸事件發生羅湖案解決經過已呈報英京
page 7	金山輪搭客談Ｘ軍盤據下廣州市面淒寂如死盜匪猖獗殷實商店無一復業我空軍時到轟炸Ｘ大起恐慌Ｘ海陸軍內訌不斷發生衝突
page 8	航程經過
page 8	簡又文將演講太平天國歷史
page 8	賑聯會昨開會討論深圳難民營問題出席代表紛紛質問停辦原因議決去函救濟組請詳為答覆
page 8	報告事項
page 8	各界參觀
page 8	機上人員
page 8	今晨離港
page 8	Ｘ焚汕尾壏船共燬七艘損失數十萬
page 8	警察遞解私娼出境裁判官認為措置失當謂此種懲罰實屬過苛少女鄭雪英幸獲省釋
page 8	警察當局力請懲處窩藏妓女包租人認兩案被註銷不合法律原則昨上訴得直發回巡理府科罰
page 8	完成萬一千里飛程美波音式巨機昨抵港設備完善不愧空中酒店之號今晨一時半離港返美行命名禮
page 11	　中學球隊遊澳記
page 11	小型球友誼賽記者昨勝思豪思豪勇克溫莎
page 11	英童
page 11	若瑟
page 11	英皇
page 11	三英文書院分日開運動會
page 11	甲組足球聯賽四路國軍出師加路連山開演雙齣頭東方會渡海應戰九龍
