page 1	李黃今日就職矣
page 4	岷尼拉壘球冠軍過港與港聯隊作友誼賽廿四日在深水　馬球場
page 4	日出席世運游泳選手在港表演有問題原因該團抵港時間更改且時間無多恐難以實現
page 4	英京銀價無變動
page 4	滬外匯市情穩定
page 4	八九金跌後回升
page 4	各行股票之市情
page 4	昨日廣州西紙市
page 4	一百碼仰泳全港公開水運第一晚劉寶希產新紀錄擲水球紀錄蟬聯冠軍今晚仍有三項公開賽
page 5	李黃就職前桂召開軍政聯會白又有先出國考察訊
page 5	暫駐市區各軍昨令移駐郊外
page 5	李默菴錢宗澤昨乘粵漢車赴湘
page 5	葉陳兩師長昨日分別就職
page 5	婦女界繼組競選會
page 5	商運呈請改組商會
page 5	汕頭各派國選競爭情況
page 5	選舉前之奔走情況
page 5	分區設土膏行店共十三區定期成立
page 5	劉軍冠復任推事律師界又有反對
page 5	廣州長途電訊程黃在桂之談話西江上遊　匪患南寧潦漲之情形軍訓會籌備徵兵
page 5	社會局接收仁愛救護隊波折隊員反對新隊長
page 5	北海事件在調查中蔡廷楷部允退出欽廉訊蔣委長令四路軍接防並協查北海事件余漢謀已委鍾繼業為欽廉四屬軍事特派員
page 6	地政局昨開始辦公在財廳第五科舊址財廳新組織之實行
page 6	防城人昨日請願反對新任縣長
page 6	贛派專員來粵接洽運米
page 6	警員走私被緝獲
page 6	接收中中校該校近況之調查
page 6	商會暗潮可平息
page 6	廣東僑委會經由中央派員整理
page 6	禁煙會委李展雲為汕頭禁煙專員
page 6	公安局下令將河南特警隊即原日警界內各坊警衛隊改編者撤銷
page 6	廣州國選登記公民僅得四萬人
page 6	廣東各界協助政府禁絕煙賭宣傳運動會
page 6	按噸征收過之國煤稅款財廳奉部令退還商人
page 6	劉石心召見各校長後市小教職員又開會議
page 7	省輪改班期後港旅店大受影響茶樓早市顧客增加
page 7	本港國選事務所決定無會籍僑胞可直接登記各團體所屬會員職員名冊一週內須送交事務所審核
page 7	大利輪被擊續紀
page 7	港督擬日間晉省拜訪蔣委員長
page 7	余立奎定期解京
page 7	盡情享樂
page 7	小食物店
page 7	輪船搭客
page 7	定例局今日審議港府明年度預算案歲出統計二千五百五十萬元警署支出最多報窮官署最少
page 8	永績永健兩艦定明日北返
page 8	菲島華僑商業概況二菲華商總會之報告
page 8	二我國和菲島貿易的由來
page 8	我國在菲島的貿易地位
page 8	港大教授霍士打由英乘火車來港因撞車在漢口停留三日如無阻滯十七天可到達
page 8	英兵傷人案提堂
page 8	一婦人被控行騙
page 8	假冒車票案詳臬
page 8	三千萬大借款絕望港政府認無接納之必要商民按揭銀行大可應付
page 10	衛生局昨日例會
page 10	星洲犯遞解過港
page 10	身懷舖票
page 10	意圖不軌
page 10	擅入禁地
page 10	藏有紅丸
page 10	警察訪尋失蹤少婦
page 10	西安輪船昨已出塢
page 10	撬門行竊
page 10	華生茶庄贈荔枝茶
page 10	無線電警網公映
page 10	英軍官大批來港
page 11	西北江潦漲近訊梧州居民溺斃甚多
page 11	西潦暴漲兩輪渡肇事記
page 11	軍墾隊已調省編遣
page 11	風雨成災之台山恩平台山僑外同鄉紛匯賑款海晏組救濟會恩平災象之報告
page 11	四區搶匪猖獗橫行
page 11	九江警隊剿匪激戰
page 11	空前未見之陽江水災慘況
page 14	幾乎是絕交狀態
page 14	真誠的蔣氏之言
page 14	因廣田外交而急轉
page 14	汪氏的宣言
page 14	眼光要放遠大些
page 14	成都事件的勃發
page 14	冀察冀東的波紋
page 14	華北暗雲與汪氏
page 14	互讓精神的必要
page 14	中國的將來如何
page 14	向著統一方面走
page 14	日本應採的立場
page 14	日本前駐華大使有吉明發表中日關係再檢討有吉的觀察成都事件係突發性質勿因局部的小事件阻礙兩國邦交中國統一大勢所趨日本無法阻止
page 15	保羅森美演講在馬來亞狩獵野鹿情形電筒光力可助狩獵工作巨象若受創傷必圖報復
page 15	虎獨不畏燈光
page 15	所以保存野獸
page 15	野鹿肉甚美味
page 15	野象毀壞田園
page 15	馬丁夫人在婆羅洲獵獲三百磅大猩猩八日晨由星洲獲赴紐約
page 15	蘇俄大使談話蘇俄外交政策努力世界和平侵略者表面雖似成功深信最終必歸於失敗
