page 1	近衛再組閣
page 8	過海小輪女客投海自殺
page 8	沙頭角械劫案兩匪均處徒刑
page 8	澳門輪船運到大批魚菜
page 8	警探大搜九龍各武館當場拘捕技擊員卅餘人並搜去大批刀槍等武器
page 10	今日棒球好戲中華重逢港啤關係亞軍問題甚巨補賽秩序亦經編定
page 10	國際賽下月四日開始聯會決舉辦慈善杯賽
page 10	中華體育協進會三次委員會議通過要案多項
page 10	夏令籃球賽程
page 10	高級學籃糾紛案今日開會解決
page 10	鐘聲游泳場明晚舉行水藝
