page 1	七分經濟與三分軍事
page 3	希特勒表示願與貝當會談
page 3	美對外貿易二十七屆常會在三藩市舉行
page 3	美宣佈禁油運出美仍欲避免與日直接衝突維爾期解釋美國並非禁運
page 5	沿左江攻龍頭
page 5	即有一面搖動
page 5	防城戰事仍烈
page 5	日改調淺水艦到西營法艦鞏衛廣州灣法機兩架連日起飛視察
page 5	粵南各縣規定為桐油禁運區桐油出口由貿易　購運財廳切實負責緝私工作
page 5	耆英會與集團結婚中秋節在韶關舉行籌備會已開始登記
page 5	各縣師資訓練經已開課教育長分別　出
page 5	日軍在黃埔登陸在市新路被擊
page 5	寶惠路坑塘　歸僑被劫遇救團隊　　斃匪九名
page 5	袁帶訓練順新編團隊廣州日軍調江會增援日艦又復出擾三澳交通梗阻
page 5	江會日軍空增
page 5	廣州日軍薄弱
page 5	日艦又復出擾
page 5	惠州河源間民船缺乏
page 5	一區嚴禁私運銅幣出口令各縣縣黨嚴緝
page 5	日艦十一艘又開抵大亞灣
page 5	廣州日軍注意市郊我便衣隊市內日憲警又舉行流動檢查隨便拉人
page 5	美艦護送美輪
page 5	日艦相繼到灣
page 5	日軍附屬之雜牌兵相率反正駐仙村之一部抗繳槍械激戰
page 5	我軍掃蕩邕西北日軍日軍犯防城牛角山不　我兩路大軍會師楊美攻克石埠合靈匪奸繼續落網日艦亦他駛
page 6	東路我軍炸毀朱村日軍彈庫軍民合作圍殲日警備隊日便衣隊擾荔枝　　挫
page 6	增城北郊小　迭起
page 6	朱村日彈庫被炸燬
page 6	順德　縣長在黃連海遇匪
page 6	西江日艇犯金利被擊退日艇一艘沉沒
page 6	桂省當局討論戰時經濟貨物輸出有新路線
page 6	石岐所謂商會長近被日軍拘留
page 6	台開提前完成新縣制各地中心學校限期完成趕速實施國民教育
page 6	新穀登場後四邑糧食近況
page 6	我軍掃蕩從化西岸克復龜嘴逼攻神岡日軍急忙渡河逃竄粵路日犯樂同不逞
page 6	我克龜嘴再攻神岡
page 6	樂同激戰日被擊退
page 6	恢復各縣稅捐征收處財廳飭寶安縣府遵辦
page 7	自費回韶辦法
page 7	公費回韶辦法
page 7	八一三紀念日小販戶內義賣傷友捐款週內匯渝
page 7	奧文爵士下月來港計劃改進各項建設
page 7	省救護會港會昨常會何予珍女士署理總幹事致函海外團體徵募　品
page 7	大學聯誼會二次理事會議
page 7	省振會港辦事處發表護送僑胞返國辦法第一批自費回國僑胞週內可動程無力自備旅費者由該會完全資助
page 8	傳李玉蓮
page 8	她　逃去
page 8	一度春風
page 8	已為血染
page 8	美國飛剪機六日可抵港
page 8	　姑殺妾斬子案兇犯關麗珍昨伏法中央巡理府即開庭研訊監獄官述執行死刑情形
page 8	星對港貨進口寬限惟貨物原料須受審查日封鎖中山貨物來港極少廣州灣昨有牲口一批到港
page 8	巨石壓斃兩人
page 8	曼谷來客　種痘
page 8	九龍關新稅費
page 8	本月五日公假航政局變更辦公時間
page 8	強盜劫三農戶
page 8	自動疏散之歐籍婦孺已准回港在菲疏散者陸續撤往澳洲
page 8	戰時雜感一
page 8	桃色血案續審我不負卿卿負我梁惠景駁斥李玉蓮謂蓮甫脫火坑又作出牆紅杏幾番苦勸不聽迫得買力威嚇行兇時因刺激過度不由自主
page 10	華人游泳會今夕三次水藝項目豐富
page 10	星島傳來捷報四比一勝星聯
page 10	足球聯賽小組會昨日首次會議聯賽九月廿一日揭幕星島加入甲組獲通過
page 10	宵來三角游泳對抗二百咪蛙泳李寶聯破全國紀錄千五百咪自由式陳國鈞佔鰲頭
page 10	學籃亞軍決賽光華棄權思思告捷
page 10	昨晚乙籃劇戰保羅壓倒培英康元精勵勝仗青乙勵行敗陣
page 10	四屆德權鼎聯賽週末揭開戰幕
