page 1	北歐戰局之檢討
page 8	四賊圖劫住戶事主呼救賊恐被捕逃去
page 8	粵文物展覽會徵集論文揭曉中學生張聘渭獲冠軍
page 8	六人被控接臟
page 8	澳門馬票之暢銷
page 8	中醫教授跌打科
page 8	開本港新紀錄保險銷貨場出現
page 8	司徒雷登抵港談內地教育狀況
page 8	日人大田弟之助刺妻案得續審兩小姨力證被告行兇
page 8	赤柱監獄人滿輕罪提前赦免
page 8	大批魚菜到港
page 8	業主背約疑案押候廿五日再審
page 8	七七三週年紀念日賑聯會決售花籌款已函鍾聲社根據議案辦理婦女新運會明日戶外賣花
page 8	防空處加緊訓練隊員又有多人考試及格
page 8	華商總會議決擴大徵求傷兵之友由華商會主辦改以國幣為本位各值理組個人隊各行組團體隊
page 10	九龍華仁書院昨日舉行陸運會
page 10	建公盃乒乓賽參加者共卅二隊
page 10	足球法庭昨因燈火管制改　研訊犯規球員
page 10	九龍學籃賽程
page 10	排籃球賽分日止截報名學界排球定十三日
page 10	週末甲組足球賽共有四場舉行南南光華分頭迎外旅星期日麗華杯華聯戰陸軍
