page 1	蔣委員長之堅決表示
page 7	荃灣農民組農業合作社
page 7	四郵船不來港
page 7	瑞興公司鳴謝啟事郭泉亦不接受並聲明彼未參與調查李星衢辯正函已發出
page 7	郭泉書面談話
page 7	致粵僑務處函
page 7	致瑞興公司函
page 7	德前駐美大使路得昨日過港
page 7	日澳航業會議澳代表將過港赴日出席
page 7	澳苦力一致拒運某貨大批火柴枝無人起運
page 7	停售原因
page 7	深感不便
page 7	補救辦法
page 7	廣九下行快車昨晨在橫瀝站脫軌搭客無恙祇各班車被阻遲到敵機又肆虐塘頭廈路軌微傷
page 8	發表談話
page 8	宣傳工作
page 8	對我抗戰
page 8	寶安僑商歡迎新任縣長
page 8	金山庄及疋頭行昨購債萬餘元鮮魚行亦努力購公債鐘聲慈善社徵集棉衣
page 8	商會昨日募債成績
page 8	鍾聲善社徵集棉衣
page 8	澳服務團招待記者
page 8	服役團續開救傷班
page 8	沙頭角民眾銷公債
page 8	鮮魚行購公債成績
page 8	東亞銀行代售公債
page 8	酒樓聯會長期捐輸
page 8	女兵災會常務會議
page 8	奮興會代售債成績
page 8	日政府禁德臣西報入口
page 8	銅鐵行商會新職員
page 8	馬師曾又編新劇
page 8	香港警察司經
page 8	拍賣地段詳細章程
page 8	他輔總統船員捐款
page 8	童軍總會年會下星期一舉行
page 8	楊虎城歸國抵港談話各國對我抗戰表同情英美民從團體盡力促政府助華楊不日北上候政府命參加抗敵
page 10	菲又發現金礦
page 10	紀念聖安得累官紳昨開跳舞會
page 10	帝航港檳機改以濱角為終站港英飛行時間縮短一日
page 11	介紹全部彩色的時裝片
page 11	焰海驚魂
page 11	電影與兒童是個老調新彈的曲子
