page 1	關於本港安定物價
page 6	徐聞拘獲Ｘ貨帆船
page 6	韶軍政人員嚴禁冶遊載區司令部嚴令取締
page 6	近戰區學校之讀書問題教科書盡量設法接濟粵教廳呈教部辦理
page 7	歐洲疋頭一部起價
page 7	西藥來源頓告短絀
page 7	法國藥品不再輪出
page 7	電器漲價十分三四
page 7	南菲煤斤已無運港
page 7	東面航道交通訊號
page 7	郵包印件照常寄發
page 7	歐洲戰事緊張中本港交通狀態印件及小郵包暫准照常寄發亞洲皇后輪來港由英艦護送
page 7	洋紙鋼鐵市價續漲
page 7	意大利氈運港頓減
page 7	英艦保護商船航行
page 7	柴灣道發生謀殺案日興公司司閽人被斫斃兇手逃去警探在嚴緝中
page 7	象棋名手決賽董文　昨勝方紹欽周董積分相差甚微
page 7	禁供給交戰國物品輔政司昨已正式公布
page 7	集中營德僑二次會見親友
page 7	孔院長壽辰壽儀移作振款
page 7	港府委匯豐銀行清理德僑產業中航公司將承辦歐亞公司業務港越線短期內可望復航
page 7	歐戰爆發未及十日港商務已受重大打擊意疋頭無到港英法貨須繞道運來西藥來源短絀德幾種名藥更絕市
page 8	派員調查糧食價格
page 8	其他物價亦將限制
page 8	運蘇展覽藝品本港最精最多
page 8	砲兵定期操砲
page 8	自衛團聲明向外募捐手續已聘得幹事二十五人
page 8	美大學生準備回國服務
page 8	組織經過
page 8	生命財產
page 8	各位兄弟
page 8	防空委員謝家寶籲請僑胞加入防空班昨在播音台作廣播演講
page 8	選舉職員
page 8	決議改名
page 8	戰時狀態
page 8	未來空襲
page 8	刑案定期開審
page 8	國際棒球決賽美隊奪得錦標昨以十四比五輕取不列顛今日義賽華聯出戰友啤隊
page 8	不
page 8	投
page 8	昨
page 8	衛生局之議案
page 8	南遊日記卅七
page 8	警察運動場館開幕足球表演光華勝主隊成績六比三打來精彩友誼賽東方今戰華僑
page 8	夏令籃球賣花賽今有兩場舉行昨仿林僑星告捷
page 8	南華四期歌詠班定今晚止截報名
page 8	學賑會乒乓賽訊
page 8	港政府限制糧食價格隨時派員到各商行稽查發覺乘機牟利者決重罰
