page 1	川樾北上與經濟提攜
page 6	廣東與中國革命有不可分離關係
page 6	粵幣比率應替貧人著想李泰初再發表五點意見
page 6	總部之軍事會議
page 6	軍官團主任由余漢謀兼任
page 6	換用新印花後市商會之請求
page 6	裁廢苛雜之原則以惡稅良稅為定義惡則去面良則留審委沈毅之談話
page 6	閩粵邊防剿匪共粵閩各部隊之佈防
page 6	曾友仁師再調大埔
page 6	法幣分會接收白銀將峻今日召議改大洋制問題
page 6	大軍集中候命勦匪
page 6	汕市各界歡迎李漢魂宣言
page 6	指揮問題
page 6	貨船觸樵擱淺兩誌
page 6	市銀行救濟商民將開辦信用貸款新行長江氏談話
page 6	實業專家獻議整理全省公路計劃先調查各公路行車概況
page 6	粵黨政軍長官就職中蔣委長訓詞全文一
page 7	漏稅者處徒刑
page 7	漏稅案審判者
page 7	不報者監七年
page 7	協助　有　差
page 7	拒捕者處死刑
page 7	應驗證貨物表
page 7	毒品運港數量驚人上半年竟較去年全年多數倍
page 7	華人代表討論大借款問題
page 7	粵糖業統制之害本港　商之意見
page 7	統制結果
page 7	有弊無利
page 7	撤銷之益
page 7	市政衛生局常會
page 7	走私問題
page 7	九龍關奉令佈告修正懲治漏稅條例漏稅千元入獄七年萬元處死交通人員受賄代運者亦處死
page 8	墮坑少年已獲三屍
page 8	電線中斷焚斃一人
page 8	廣通小輪昨已尋回
page 8	各區泳場損失調查
page 8	戲棚狗場一掃而空
page 8	老樹被拔舊屋倒塌
page 8	船艇覆沒溺斃多人
page 8	旺廈火警焚屋兩間
page 8	胡文虎晉省謁蔣昨日返港之談話
page 8	進口貨物運銷暫行章程一九龍關昨奉令佈告週知
page 8	貨物進口須領執照
page 8	國民大會代表選舉辦事處將設華商會內辦公
page 8	破新紀錄
page 8	刑事案六宗判決誘卻御者案三英兵入獄
page 8	誘劫御者
page 8	私藏軍火
page 8	雅麗氏醫院年會
page 8	誘少女赴澳同居少年張華入獄九月
page 8	被解潛回
page 8	偷運偽幣
page 8	港澳風災續紀濠江覆舟亦溺斃數榜人跑狗場一掃而空損失萬餘元　馬路沙梨頭等街塌屋多間
page 10	入假數案昨提審
page 10	國醫學會六週紀念
page 10	爭生意苦力打架
page 10	光華中學最近設備
page 10	後備警察華隊消息
page 10	兩婦人以人為貨首被告處罰次被告押候
page 11	電力公司股東會請撥回商辦告民眾書
page 11	利旅部隊開抵石岐欖鎮續詳
page 11	發現野獸傷害人畜
page 11	陳村　墟幾成澤國
page 11	西岸各圍被沖崩決
page 14	偽軍擾綏東後情勢某方督戰隊開到張北傅作義全力保全疆土
page 14	正太鐵路營業近況路局努力整頓營業成績甚佳
page 14	遺失圖章聲明
page 14	招僱工務佐理員
page 14	天津日人在六里台興工築路工程由萬通公司承包　建兵營警署
page 14	天津警探密查下破獲偽自治機關炸車案三次皆該黨羽所為謀嫁禍我方川島芳子為首領敢買土匪冀強佔天津要員十餘名就擒後偽部退往戰區潛伏
page 15	日商收買貨新紗廠售價百二十萬元買主為鐘紡會社
page 15	預告婦女生命線
page 15	一個被逐的猶太婦人之自述德國囚犯營生活之實錄
