page 1	二期抗戰之開展
page 4	車輛失事統計去週死一人傷卅一人
page 4	保護兒童會灣仔會所遷址
page 4	捐金購債彙誌
page 4	聖公會賣花成績
page 4	女青會募捐成績
page 4	港督夫人將返英
page 4	中華救傷班近訊
page 4	葉南陽堂新職員
page 4	醫　監督發出通告勸各區居民從速種痘去年患痘症死者千八百餘人是年此症蔓延尤遠不可忽視
page 5	Ｘ機再炸肇城續詳高明城三洲埠各地同日被炸
page 5	吳菊芳推進婦女救亡工作
page 5	茶山橫瀝已無Ｘ蹤Ｘ防我游擊隊活動
page 5	我東路軍反攻增城右翼越過正果克復橋頭Ｘ退返城內我前鋒迫增郊
page 5	五省聯組貿易公司
page 5	廣西積極組織工會變更組織辦法
page 5	省黨部通令擴大征募鞋襪運動
page 5	教廳令各縣取締新文字
page 5	陸軍總醫院遷設粵北
page 5	梧州海關現已恢復辦公
page 5	梧州勸募戎衣成立委員會
page 5	我機炸石灘Ｘ彈藥庫我機械部隊開抵前線
page 5	Ｘ迭欲進犯容桂不逞小黃圃等河面Ｘ艦艇結集廿二日晨我Ｘ又激戰甚烈侵陷鶴洲之Ｘ昨經已撤退Ｘ在大良增兵偽警隊擴充
page 5	發生激戰
page 5	鶴洲Ｘ退
page 5	偽警擴充
page 5	東路軍團統一指揮決成立粵閩贛邊衛戍部復在潮汕設警備司令部華司令振中對本報記者之談話促進團隊團結與民眾融洽合作
page 6	股匪內情
page 6	招撫經過
page 6	漢奸煽惑
page 6	善後辦法
page 6	免稅洋米運汕亦已邀准米額七十萬公擔陳煥意電汕報告
page 6	石龍游擊隊燬Ｘ浮橋石龍至莞城已不能通行
page 6	瓊崖被Ｘ以來各縣鳥瞰
page 6	四區游擊司令部召集會議增強基本作戰力量
page 6	粵南防務鞏固Ｘ艦減少
page 6	汕市府進行利便僑胞出國
page 6	西江封川石頂山數年匪患一鼓蕩平漢奸煽動謀叛幸即　兵剿滅封鎖匪區一年並設立墾荒區
page 7	南洋僑商注意港織品嚴防某國棉紗攙入Ｘ　貸款政策傾銷棉紗ＸＸＸＸＸＸＸＸＸＸ
page 7	棉織品商多獲厚利
page 7	南洋僑商注意港貨
page 7	港政府擬設肺癆醫院因本港肺症蔓延極烈改良住宅問題在研究中
page 7	九龍英皇子道西人住宅被劫三賊佯稱送貨賺門入屋掠金飾衣物共值千餘元
page 7	廣州市立銀行託省行付存款
page 7	昆甸羅斯福明日離港赴滇
page 7	審查求救學生廿八人獲救護
page 7	兩帆船遊蹤鵬展號安渡印度洋海龍號已抵半程島
page 7	中央體恤民艱限額豁免洋米入口稅汕頭七十萬公擔江門二十萬公擔由米商自由購運但不得乘機操縱
page 8	翳洲海面大焚漁船
page 8	擄得漁民迫充苦工
page 8	Ｘ在四鄉搜擄壯丁
page 8	何鐵華將赴前線舉行臨別影展
page 8	保育分院舉行國民公約宣誓
page 8	汽車失火被焚另一架誤撞石柱毀壞
page 8	保育會昨會議定兒童節賣花籌款
page 8	汕霍亂症已消滅請准汕輪三等客登岸嘉屬商會昨向華民司呼籲
page 8	截搶案原告毛容警署中竟被華探痛毆警察當局嚴密查究兇手華探林盛受嫌昨被票控
page 8	殺日人案過堂尚未定期公審
page 8	香港火險公司昨開股東年會何東辭顧問委員職
page 8	煤炭生葬苦力
page 8	假借中市義賣未獲政府准許
page 8	拍賣地段詳細章程
page 8	灣仔區日益繁榮
page 8	法遠東艦隊司令李碧葛將來港
page 8	翳洲海面Ｘ大焚漁船財物洗劫一空漁人十七名被迫充苦工幸脫險
page 11	甲組三雄績分表
page 11	今日足球
page 11	下週網球秩序
page 11	英皇書院昨舉行九屆週年陸運有三項目破校紀錄成績甚佳黃紀廉冼國彬分獲高初冠軍
page 11	星洲足球隊定卅一日乘機剪抵港
page 11	公開籃球今晚三場
page 11	小型球
page 11	今日重要聯賽南華南對九龍東方整軍戰米杜息兩戰與冠亞軍有關
