page 1	粵省水利之沿　與今後進展
page 3	閻告晉省人民努力援助綏遠
page 3	西叛軍飛機襲擊阿爾巴西德謀截斷馬德勒與瓦倫西亞聯絡政府軍反攻企圖衝破叛軍陣線
page 3	捷克政府對日耳曼民族讓步採取合作方式商定各項辦法但德國評論尚有未滿意表示
page 3	胡佛對司法改革意見謂為憲法危機
page 3	葡令赴西志願兵於一月內回國
page 3	黃紹雄昨日飛滬轉鄂
page 3	羅國極右派各團體將以非常行動奪取政權自由黨要人舉行特別會議商討　付眾信政府將採取緊急行動遏止亂萌
page 3	德政府下令禁志願兵援西
page 3	決將擴充軍備
page 3	波蘭政府派各報責立助俄西侵
page 3	英願對意表示承認在亞主權以免增重意國困難
page 3	中國駐墨新公使譚紹華抵墨京華僑派代表歡迎
page 3	意駐亞總督被炸後亞京已大戒嚴亞人被捕者不少
page 3	林銑謂日政府決改變對華政策暫時放棄六項政治要求努力促進經濟文化提攜
page 4	九龍會場上威爾殊戰愛爾蘭連中三元愛爾蘭鋒　畢露
page 4	香港會戰事英格蘭勝蘇格蘭衣律先開紀錄碧福錦上添花
page 4	公開華人長途賽跑今日開始報名
page 4	今晚男子籃球賽港大初會印警各有所長港大得勝希望高
page 4	小星球協會將選員赴滬作領袖杯決賽第一戰一對零上海勝漢口
page 4	廣州慈善足球賽二對二造成和局
page 4	國際杯準決賽英格蘭得決賽權三比零蘇格蘭被淘汰威爾殊與愛爾蘭戰和再比賽勝者參加決戰
page 5	救米方案略有轉機財部實部變通辦法入口洋米增量減稅粵中已接京電報告民食會新定平糶法
page 5	廣州營稅潮未解決各屬營業稅推人近況二萬元以下之區域由查定組辦理六個查定組出發後之工作廣州市未解決前無從辦理新近返省之某局長談
page 5	搾油廠自動停工風潮有擴大之勢今日再召集調處
page 5	航政局請江防部派艦禁偷渡甘灘新常山輪冒險後之預防
page 5	財廳嚴限地稅視察員呈報逾期一二三個月記過扣薪逾期四個月者一律撤差
page 5	粵各軍區暫緩組設與粵省國防建設之實施張之英否認被任行營國防設計主任各軍區俟實施國防建設時組設余漢謀出席軍委會會議後即返粵
page 6	緝私總處呈請勸商人組會助緝私省府已令所屬遵辦
page 6	三中全會對強化國防之決定國防委會下月開全體會議訊
page 6	售吸所欲罷不能取締吸煙之加嚴登記證須貼相片三省會議之決案
page 6	中學學生組隊宣傳
page 6	三省禁煙會議開幕
page 6	河南沿河勒拆侵佔建築物業戶會議應付
page 6	港漁業到省請願
page 6	鹽署令飭緝私區長出巡
page 6	援綏會之津貼問題市內各界之注意大會秘書之函覆
page 6	粵省鹽商請免征附加費
page 6	廣州市歷年之火警統計
page 6	廣九鐵路借款基金保管委員會
page 6	廣東省銀行廿五年決算獲利達四百餘萬元
page 6	廣東高等法院首席檢察官謝英伯及體育界聞人等多人
page 6	粵省會計年度暫照舊辦理廿七年度預算
page 6	廣州救濟院長　　約
page 6	全國美術展覽會廣東預展會
page 6	經濟侵略毒之又毒油某人走私新花樣各種私貨不暢銷專以販毒貨為事
page 7	本港鞋業之趨勢
page 7	荷航空公司計劃擴闢巴岷線
page 7	華商織造會推定三人赴西商會陳述特惠稅意見兩會並派員謁見港督面陳一切
page 7	軍事演習前應有之預備
page 7	貨車隨坑傷七人
page 7	火車撞死一老婦
page 7	英海軍司令泰爾波將來港計劃改良海軍船澳
page 7	賽馬期內恐匪乘機活動各銀號提前收增派警探逡巡繁盛市區一匪昨入昌記銀號強搶
page 8	典禮隆重
page 8	會景籌備
page 8	行商會議
page 8	香島氣候多變幻昨日天氣竟溫暖如初夏街上摩登婦女換上薄薄春衫花展會裏萬紫千紅燦爛如錦老航海家言尚有最冷之一日
page 8	天氣變幻
page 8	煙霧迷濛
page 8	航海家言
page 8	群卉爭放
page 8	打比賽今日舉行四社團馬票同日開彩建造工業總會昨晚提前攪珠機器會冠軍賽馬票今晚結束
page 8	今日賽馬成績預測
page 8	英人回國
page 8	本港輔政司公佈英皇加　儀序港紳商積極籌備舉辦會景各行商多數注重實質精彩
page 10	澳商春節同樂會
page 10	救傷隊渴望捐助
page 10	商會將改選職員
page 10	粵組漁業改進會邀　港漁業會派代表參加
page 10	四人意外受重傷
page 10	佛學會講經消息
page 10	本港各輪船公司對英擬頒保障航業例意見此事尚無確訊但非絕無可能苟成事實必引起航業之競爭
page 11	新會土地登記處成立縣府開始菸農貸款
page 11	民食會派員到汕調查糧食
page 11	新台之造林運動
page 11	匪首梁錫廷被擊斃
page 11	全縣煙民登記總數
page 11	警隊圍剿古兜餘匪
page 11	籌辦首屆集團結婚
page 11	縣府槍決三紅丸犯
page 11	三埠延期　買白銀
page 11	各區征兵事務辦竣
page 11	考選校長昨已揭曉
page 11	中醫限期領執業證
page 11	嚴禁奸商壟斷民食
page 11	小欖籌建入市公路
page 11	欖鎮寒冷影響蠶桑
page 11	檢閱第五期壯丁隊
page 11	談談今日之鶴山
page 11	各縣所得稅申報期及漏稅罰法
page 14	百年受刑一旦奮起
page 14	森林茂密利於墾殖
page 14	工業礦業雙管齊下
page 14	民富物阜恐懼戰爭
page 14	京城堪稱馬車都市
page 14	華僑在朝鮮過去曾操商業上之大權現以受抑過甚漸趨衰落
page 14	國糖產銷協會呈財部請改球糖稅率以糖球稅較白糖低一半強某方將砂糖改製朦混入口損減關稅復影響國糖銷路
page 14	民風樸厚物產豐富歐洲新興國家芬蘭言語分成兩派為唯一大問題國立銀行總裁負責工業計劃
page 15	巴利亞列克群島的形勢
