page 1	國聯援華之新決議
page 5	北海商人請求平均外匯差價不允補繳港幣
page 5	潮汕形勢仍嚴重汕市團隊組指揮部厲行疏散之調查及拘捕
page 5	厲行疏散抽查戶口
page 5	疏散觀望實行拘捕
page 5	潮陽舉辦難民登記
page 5	保育會之收容兒童
page 5	首次參議員大會討論重心吳鼎新之談話
page 5	Ｘ我相峙新鶴路中鶴山縣境又告緊張我遊擊隊活躍曾夜襲江門
page 6	龜咀Ｘ軍渡河被殲
page 6	Ｘ犯我青岐受重創
page 6	從花我軍增防前線
page 6	馮涌前哨已再接觸
page 6	Ｘ機迭次窺察四會
page 6	吳奇偉策動粵贛閩邊區戰時準備務使足食足兵造成游擊根據
page 6	吳氏解除民困
page 6	著匪率部投誠
page 6	粵邊縱隊編成
page 6	瓊島游擊隊襲文昌城斃Ｘ百餘人我獲勝Ｘ機連日狂炸各地
page 6	中山下月起實施捲煙管理廿七日開始登記
page 6	中山組義勇隊進行破壞公路
page 6	台開抗先隊聯赴戰地服務
page 6	吳川縣府嚴緝造謠歹徒
page 6	省振會調查各縣振款除令各縣將用途呈報
page 6	花縣前線視察記一在石角至炭步道中
page 6	西北兩路之最近軍訊我增兵炭步監視馮涌Ｘ軍三水Ｘ犯青岐被我軍痛擊
page 7	侵海南Ｘ迫壯丁充苦工
page 7	楊元勳繼任培正中學校長
page 7	第二間平民宮現已加工建築
page 7	六賊械劫老翁掠去財物約值二百元
page 7	燈火管制演習決展期下月下旬舉行
page 7	警探查緝海盜
page 7	四星期內海陸發生劫案十八宗被劫財物九千餘元死傷十餘人賊匪八十七名僅獲疑犯十六名
page 7	萬國婦女會創辦平民宿舍
page 7	粵慰會短衣褲由天利大成兩公司承製
page 7	連卡喇佛年會去年獲利甚厚
page 7	颶風有襲港趨勢天文台昨日兩易風球上午懸一號下午四時改懸七號入夜風勢頗劇船艇多入避風塘
page 8	時間問題
page 8	辦法二種
page 8	累進辦法
page 8	新荃灣
page 8	兇徒推倒老婦
page 8	今日賽馬蠡測
page 8	籌祝教師節教育界昨會議
page 8	議決事項
page 8	九龍半島
page 8	籌備委員
page 8	對國民登記英僑仍多觀望
page 8	中南中學舉辦學界攝影比賽
page 8	本港政府目前不致徵所得稅最快亦一九四一年始能實行稅務委會擬有兩種徵收辦法
page 10	許承基再獲英國錦標
page 10	記者公會海浴在風雨中改往將軍澳
page 10	今晚籃球房復趨熱鬧申報杯女義賽知行對西南男乙組入圍賽國際戰廣中
page 10	公開棒球今有一場補賽南華戰岷甸奴昨因雨無戰事
page 10	南華臨別一戰淨勝港聯三球景祥廣森先後建功收入善款八百餘元
