page 1	林銑日中之經濟文化提攜
page 6	市商會昨二十二日函復廣東所得稅事務處
page 6	黃強昨由瓊飛抵省城
page 6	上芳村二沙地有廠寮一間
page 6	南海石門中學校長李景宗日前奉委為教育科長前旬經已接事
page 6	各　市土地局改為地政局
page 6	三中全會昨經閉幕
page 6	各搾油廠自動停搾
page 6	省行開業務會議
page 6	教廳查究私立學校之高利貸
page 7	廠聯會特惠稅研究會向西商會提出十項問題俟得書面答覆再開會研究對策
page 7	革命債券補行登記二月起至四月底止港代理處在駱克道
page 7	葛尼爾談下次大戰爭決勝於來福槍隊英擴充國防純為保障安全港防務鞏固如一座大砲壘
page 7	現在任何人都不願戰爭
page 7	香港防務固如一大砲壘
page 7	英帝國人民多不願入伍
page 7	直布羅陀港英將受威脅
page 7	赤柱一部份擬改為要塞
page 7	本港氣候稀有之現象一星期內相差超過二十度
page 7	中大勷大攷察團昨日抵港今晨返省
page 7	各社團打比賽馬票揭曉馬會首名一三六八七一號得彩銀六萬六千八百餘元
page 8	電影協會擬增加理事名額新舊理事團結合作
page 8	慶蔣賑綏建場遊藝會決在灣仔香港遊樂場舉行由十七日至十九日一連三晚入場券價分二元及二角兩種
page 8	遊藝地點
page 8	日期券價
page 8	秩序豐富
page 8	中華電力公司再否認供給東江各屬電力新電廠有防禦轟炸設備
page 8	國醫學會之通電請准中醫校加入教育法規
page 8	荃灣海面截獲私煙數千兩艇伴五人昨日提堂
page 8	搶銀匪判處徒刑
page 8	少婦投海幸獲救
page 8	英陶書院昨日開課
page 8	五邑工商會新職員
page 8	春季大賽馬之第二日夾皮衣夫獲打比賽冠軍冀士便順太鹽差一馬位半屈居亞軍名騎士李德輝因馬蹄濕滑墮地受傷
page 10	籌委分六隊勸銷紀念章
page 10	太平粵劇團票價已規定
page 10	省港輪遇霧遲到
page 10	莎翁名劇搬上舞台
page 10	惠陽商會定期改選
page 10	粵嬰孩寄托所近訊
page 10	平山村賊劫茅屋
page 10	港商廣州考察團下星期內可成行
page 10	孔聖講堂講學消息
page 10	慶蔣紀念章已銷二萬枚籌備委員分六大隊出發勸銷太平劇團演劇籌賑票價已定
page 11	南海點頭村遭匪洗劫劫去數千元槍傷事主
page 11	滿載而歸
page 11	假扮乞丐
page 11	損失約數
page 11	且戰且走
page 11	四區署飭屬趕築未完成公路
page 11	匪黨截擊火輪傷人
page 11	母子被拐幸獲脫險
page 11	聯鄉辦事處將成立
page 11	積極發展民眾教育
page 11	拱北關禁土米出口
page 11	縣府督促各鄉徵兵
page 11	水籐墟大火災續聞
page 11	桑株價格陸續高漲
page 11	德教授華格耳到欖鎮檢驗　魚蟲
page 11	談談今日之鶴山二
page 11	財廳令禁龍川縣抽收竹木排捐擅行拘禁排商廳令指為荒謬
page 14	一貫傾向民治主義捷克斯拉夫國情之浮雕兩大民族合組於歐戰後乘機崛起工業發達國防鞏固允稱後起之秀
page 14	缺乏海口發展受制
page 14	一貫國策採取民治
page 14	外交方針對法友善
page 14	農工商業同時發展
page 14	日新內閣外交陣容三宅　是霞關主宰者重光齊藤將候補外相
page 15	二德國的新戰略
page 15	三霍甫曼案內容
page 15	列寧格拉之攻擊
page 15	希特勒征服蘇聯計劃一引言
