page 1	抗戰必勝之把握
page 5	Ｘ騎蹂躪後陳村市橋之善後進行各長官視察陳村災區會議善後陳村各界救濟委會改善後委會　市橋商店已漸次復業Ｘ機連日偵察但無異動
page 5	陳村特訊
page 5	市橋特訊
page 5	增從間戰情另誌我繞攻小塘等Ｘ陣Ｘ軍潰退回竄神岡
page 5	我反攻石莞太軍事三方面聯絡監視Ｘ軍動向傳石莞發生大戰未得證實虎門海面Ｘ艦近確有增加石莞日Ｘ大鬧ＸＸ之ＸＸ寶安今日恢復出入口查緝
page 6	游擊隊部已改旅部
page 6	沿海Ｘ艦Ｘ機騷擾
page 6	勒流Ｘ兵昨已撤退
page 6	官長親臨邊區指揮
page 6	東線交通再度破壞
page 6	瓊崖民運處積極策動難民救濟預備費用廿二萬元擬定六項工作進行
page 6	瓊島崖樂兩縣之近況樂東黎苗認識國家民族崖民軍隊化軍隊民眾化
page 6	瓊海Ｘ艦運銷Ｘ貨　臨二屬Ｘ貨充斥
page 6	中山邊區海面Ｘ艦結集最近形勢又略趨緊張岐關公路東線交通昨再度破壞張縣長親臨海邊擘劃抗Ｘ大計
page 7	玄黃戰血灑遍宗邦
page 7	多捐一錢多活一命
page 7	育女登記展期
page 7	港陸軍義勇隊續招華人入伍
page 7	中央匯粵賑款未動用俟整個計劃決定後散放
page 7	貨車輾傷小童
page 7	印刷工會二屆職員就職
page 7	港將設飛機廠資本五百萬元
page 7	石塘歌姬六次義唱美麗麗榮膚歌國皇后萬紅女為歌國紅星花影恨臨時忽棄權
page 7	汽車失事乘客六人受傷
page 7	東江別動隊異常活躍實力雄厚迭予Ｘ以重創惟缺乏棉衣望各方捐助
page 7	防空總監談戰時食水問題各水塘皆有防空設備敵人空襲亦無法破壞
page 7	英賑難會華人委員將發宣言為難民請命戰區日廣難民遍地哀號凡屬同胞不應袖手不救
page 8	兒童保育會難童生活概況教養得宜無異在自己家庭惜　所狹小未能盡量收容
page 8	開始收容
page 8	每天常課
page 8	設立分院
page 8	短足旅行
page 8	管教嚴密
page 8	期望幫助
page 8	守土戰士黃宏傷重逝世
page 8	本港柴販突增
page 8	閩省當局大捕台灣浪人
page 8	灣仔火警續誌焚兩貨倉損失約二萬元
page 8	前後兩倉
page 8	發生火警
page 8	灌救情形
page 8	損失調查
page 8	Ｘ機狂炸陽江七艘漁船慘遭炸毀李氏兄弟兩艘死亡六七十人其餘五艘全船犧牲實難統計
page 10	新四路軍注重士兵戰術訓練士兵並非招募而來純屬是自動入伍的
page 10	東鄔嶺殲滅戰追紀
page 11	大生杯排球賽培英勇取南華連下三局
page 11	友誼籃球華南約戰興華
page 11	南華遠征隊又告捷四比二擊敗南圻隊陳德輝建兩功佛爺水益各一
page 11	公開越野賽跑明日止截報名
page 11	校際乒乓今兩場
page 11	小型球友誼賽訊
page 11	記者公會足球游藝會小獎券明日起給獎領獎處在大道中新聞通訊社
