page 1	華北我軍發動反攻
page 7	首批義民定下週回韶每批五十人每四日遺送一次
page 7	水產學校新生昨已安抵內地
page 7	李右泉今出殯
page 7	今年秋季賽馬代督將蒞場參觀
page 7	廠聯會保障會員利益修訂與外商貿易合同交法律專家審訂後即通知西商新合同內容兼顧賣買雙方利益
page 8	領證　續
page 8	新例意義
page 8	衛生司勸居民食紅米紅米功用較細磨之米為大
page 8	本港醫務處宣佈澳門為疫症埠澳旅客來港須具防疫證明書
page 8	違燈火管制例兩人被罰廿五元
page 8	英輪暫停駛靠汕頭海口
page 8	港府強制執行疏散法令
page 8	澳門明日賽馬今日照常售票
page 8	春秧街住戶被賊搜劫劫去金飾數百元
page 8	霍亂蔓延可怖一日內發生百餘宗
page 8	隆鎮同鄉會召開會員大會
page 8	先施公司增設禮品專部
page 8	少婦被控三次行使偽幣
page 8	廣州大學計政班取錄新生揭曉
page 8	嶺南同學慶祝同學日本月廿二日舉行
page 8	華僑工商學院定期招考免費生
page 8	青年會書法班訊
page 8	青年會舉行國難禮拜
page 8	萬國美術院近訊
page 8	限制華人入口新例於本年內可施行將來華人出入本港須領通過證省澳汕廈滬等地將設領證處
page 10	足球大戰前夕華軍三路練兵星島南征歸來出戰香港會光華迎米杜息南華抗蘇皇軍
page 10	二屆小童水運今日舉行
page 10	全港游泳冠軍賽域多利籲請華會參加
page 10	棒球聯賽錦標決戰無期明日中華約戰投路沙
page 10	星島歸鴻十五
page 10	南華體育會足球券領取辦法
page 10	夏令籃球戰訊
