page 1	我國空軍之建設與國防區域
page 7	陳其尤氏對慶祝蔣壽之觀感為擁護統一集中對外應慶祝為復興民族復興經濟應慶祝
page 8	馬岐山談此行目的
page 8	柯布連道之男屍
page 8	五漁人絕處逢生颶風覆舟九人死四人五人漂至孤島幸獲救
page 8	入口貨物須蓋嘜編號粵報關業函請華商會知照
page 8	賣貨員服毒獲救
page 8	劃地作字
page 8	四無人煙
page 8	順風掛帆
page 8	海州灣建設燈塔
page 8	兩賊截劫摩登女
page 8	長沙灣一貨艇被焚
page 8	運銷存貨新例
page 8	省報關公會函
page 8	粵海關之佈告
page 8	馬主席談青海近狀
page 8	青主席馬麟率領回教朝聖團昨抵港馬談赴麥加朝聖為完成五功青省地方安靖建設亦有進步
page 10	英新運輸艦來港
page 10	商會歡迎黃主席
page 10	初級法庭案彙誌
page 10	愛德華將遊遠東
page 10	賄賂英警案詳臬
page 10	澳門馬會賽馬消息
page 10	越南華僑勸同胞捐輸救國
page 10	鬥毆
page 10	懷械
page 10	強搶
page 10	紅丸
page 11	台山奪犯糾紛真相事出誤會縣兵槍傷鄉人昨傳轟斃六人係非事實
page 11	西平輪劫案餘聞
page 11	竹排沙圍昨被洗劫
page 11	司法行政部長王用賓對法院全體職員訓詞二痛陳本省過去司法不良提出今後改善方針九點
page 11	煲茶失火燒斃兩命
page 11	爭田水衝突之死傷
page 11	沖蔞之毆斃人命案
page 11	選舉不許挪救濟金
page 11	清遠源潭封藥膏分銷處
page 11	製油廠爆機器被焚
page 11	大隊匪黨圖劫東馬寧之激戰
page 12	擁護領袖與獻機祝壽
page 12	從四十到五十蔣委員長五十壽誕獻辭
page 12	略談蔣委員長之勞績
page 12	蔣公壽言
page 12	蔣介石先生的家庭教育與學術修養
page 14	各國擴張軍備聲中日海陸空軍陣容陸軍常備軍二十五萬人海軍各種艦共二六九艘空軍飛機約五千架左右
page 14	陶百川報告歐美各國考察經過
page 14	日侵菲之史的考察
page 14	日與菲交歡的回顧
page 14	窺綏聲中王英匪部突被遣散調熱河匪軍金甲三接防李部至大青溝防王變動
page 15	上海購機祝蔣壽命名禮參觀記一時集龍華飛行場之觀眾逾十萬先排人字繼變一字後飛圓圈表示著中國人萬眾一心請誠團結李霞卿女士大顯身手全場注目
page 15	西國提督請兵攻日
page 15	傳教士與助左衛門
