page 1	我軍發動攻勢之戰果
page 5	我軍克復新會城詳情中山大岡潭洲亦相繼克復昨廿一日晨Ｘ再進攻潭洲我軍進迫江門在都會激戰昨晨江會間發生空戰
page 6	犯獅嶺Ｘ中伏被殲
page 6	我克街口Ｘ竄陣岡
page 6	寶安黨部議決要案檢查郵件改良警報
page 6	中順間我團隊禁偷運糧食入淪陷區在沿海各要道嚴密檢查船舶
page 6	國幣毫券仍依比率行使收　毫券之展期
page 6	胡蘆岡Ｘ被我炮轟
page 6	從化之西已無Ｘ蹤
page 6	閩米運汕暫難開禁
page 6	慰問沙坪殺Ｘ受傷戰士二
page 6	吳川海菉　請免洋米稅已電省府請求
page 6	香港保育院遷移連縣昨二百餘兒童過汕
page 6	省行派員視察四邑經濟收買白銀仍舊辦理
page 6	欽廉外人組難民救濟所由香港方面接　糧食
page 6	閩粵交界處下壩墟擄劫案
page 6	惠陽救濟會會議進行改組
page 6	　區軍訓隊舉行結業典禮
page 6	宣慰陷區民眾
page 6	民眾動員視導團派員蒞汕工作
page 6	龜嘴派潭Ｘ慘敗後我續克街口從化石坑馮涌官窯我Ｘ拉鋸戰未停
page 7	英賑難會發動十五萬元募捐運動聘各商會主席為勸捐隊長廠商聯會即席認捐一千元
page 7	旅越鶴山僑商捐三千元賑災
page 7	英陸軍部修正海外兵役法例
page 7	保兒會今賣花
page 7	瓊僑總會積極救濟鄉民在廣州灣等地設難民收容所辦難民義學及小規模工藝廠
page 7	英公主生辰港督去電致賀
page 7	旅港花縣同鄉昨成立籌賑會
page 7	延長放水時間由今日起每日放十小時
page 7	徵募短衣運動已得七千餘套
page 7	競投中市攤位最高租價竟超過百元
page 7	童軍今日年操
page 7	難民營孕女被毆斃命案各界希望嚴懲兇手非此實不足以表示法律之尊嚴華商總會昨已向醫務總監投訴
page 8	香港大學招待李應林等
page 8	美輪減收客腳利便參觀金門博覽會
page 8	諾貝爾昨返港
page 8	東區教聯會實行精神動員
page 8	高級法庭提審勒馬洲謀殺案維逸大律師宣述案由被告謂死者曾殺其父
page 8	大律師起立陳述案由
page 8	短鎗兩枝
page 8	指出被告
page 8	是　首季　本港對外貿易暴縮　較去年同季縮五千餘萬元三月份縮減數目尤為驚人
page 10	木蘭從軍成績優良陳雲裳睥睨一切
page 11	中華體育協進會昨晚選出本屆新職員莫慶與謝雨川分任正副主席
page 11	華仁舊生會陸運本月卅日舉行報名者甚踴躍
page 11	運動團體組織大綱
page 11	籃球隊決定不參加
page 11	準備參加明年世運預選決在重慶舉行足球隊隊員定十五人馬拉松競走合計五人
page 11	今晚籃球三場均為乙組賽
page 11	南華游場明日補行游泳表演下午三時起另有音樂助慶
page 11	華員旅行大嶼山
page 11	友誼球賽
page 11	海軍與南南今日再決雌雄南南雖和亦得錦標
