page 1	九一八五周中吾人之檢討
page 5	港督到省拜會蔣院長詳誌
page 5	下河鹽館昨呈請撤銷科抽還庫欠代人還債實屬無辜筋疲力盡再難負擔
page 5	交部統一粵電政粵省無線電局改為軍用電台
page 5	水陸緝私處長改委張君嵩充任以後不設副處長
page 5	淩士芬再赴北海刁作謙昨見記者談北海案之近況
page 5	翁照垣等部退桂後將集中龍州一帶訓練李黃兩氏昨日抵粵謁蔣請示縮編問題
page 6	粵省白銀擬交由郵局收買
page 6	張嘉璈離省北返
page 6	營稅總局暫緩設因與財廳職權衝突
page 6	粵贛　商聯請改善統制
page 6	十月一日起舊槍照一律無效
page 6	廣州各行主張改組市商會之通電各行公會署名參加之調查
page 6	廣州社會局接收仁愛救護隊節外生枝之一幕
page 6	李白黃宣誓就任記
page 6	糖業統制之續辦將召糖商開談話會
page 6	禁賭暫行條例施行細則之修正
page 6	代理交通部長俞飛鵬
page 6	實業部特派宋之英黃豪二人
page 6	省府攷書記合格應攷者六百餘人昨巳榜示
page 6	省府主席增委林天吉為省銀行副行長
page 6	粵省生絲出口檢驗
page 6	番禺縣儲昨令知該管瑤頭分局
page 6	王應榆談地方自治將從新整理請撤防載縣長案呈省府辦理
page 7	昨午來港
page 7	歡迎者眾
page 7	張氏談話
page 7	離港情形
page 7	酬酢程序
page 7	港督郝特傑夫婦昨赴粵晉謁蔣委長並拜會各軍政當局定十九晨乘車返港
page 7	王寵惠昨日晉省會晤李宗仁
page 7	大利輪被擊餘聞
page 7	中央軍艦七艘奉命北返四楚及江貞艦昨已抵港
page 7	解放婢女宣傳週本月二十日開始
page 7	刺汪疑犯余立奎今日解滬搭加拿大皇后輪
page 7	昨考選華警幫辦
page 7	黃埔開埠計劃已定張家璈過港北返開埠費一千萬鐵部負擔半數廣九粵漢兩路接軌主權在我
page 8	伍家女僕大談四官
page 8	涉及私情下令清堂
page 8	九娘答稱佢中意我
page 8	委棄地上
page 8	菲島華僑商業概況四菲華商總會之報告
page 8	五　求南寂衰落原因
page 8	衰落　非局　
page 8	被救方法非輕　易
page 8	目前需要之七條件
page 8	粵省新生活運動之進行推行僅一月已大有成績閻寶航昨來港今日北返
page 8	結論
page 8	慘劇發生
page 8	肇事地點
page 8	死者身世
page 8	伍氏日記香艷纏綿
page 8	巴士輾斃一少婦道路狹窄閃避別車所致
page 8	九娘急命電告三太
page 8	卓文布廉將退休
page 8	車伕大呼電爐失火
page 8	死者傷勢
page 8	御者所述
page 8	電器商今日會議討論購機祝蔣壽
page 8	桃色血案昨四審法官朗誦伍潤堂日記她說愛我不下千次偷吻談情紅綃賬裡夢初醒並肩聯袂淺水灣頭影不孤少年陳樹宗昨延律師到庭觀審
page 10	二批織造品運星參加中華國貨展覽會
page 10	積匪圖竊
page 10	非法會社
page 10	擅取海沙
page 10	婦協會慈善賣物會
page 10	渣打銀行定期派息
page 10	葡共和政府紀念日
page 10	兩歲小孩死於非命
page 10	繁榮會昨日常會
page 10	不養妻室
page 10	火燒舊金山公映
page 10	港紳傅翼鵬逝世
page 11	省選第四區昨已推定候選人
page 11	鶴邊鄉發生劫殺案
page 11	國民經濟建委會之章則二
page 11	縣市支會章程
page 11	衣衫襤褸認貴人子
page 11	寨門兩鄉醞釀械鬥
page 11	小輪爆水鑊斃四命
page 11	請撤換獲海分局長
page 11	大衾瘋院亦被匪劫
page 11	河南石溪鄉人請平反誣指謀殺軍官案全鄉人士之訴詞謀理兩字之申辯
page 14	王英收編孫殿英舊部
page 14	雲王內向對德王不滿
page 14	王克敏北上聲中反映出的形形色色浪人漢奸宵小恐被肅清造謠滋擾
page 14	綏遠平靖無事綏東綏西防務鞏固綏北安謐準備充實少數匪眾間道竄入河套
page 15	蘇聯在日本的偵探活動二
page 15	國府委員徐紹楨在滬逝世各界往祭遺體十七日大殮
