page 1	改進政治與推行兵役之兩要點
page 7	織造總會響應還債運動
page 7	九龍城興佐頓道又發生兩劫案圖劫九龍城醫館三賊事敗逃遁佐頓道住戶被掠金飾值數百元
page 7	九龍城
page 7	佐頓道
page 7	獨霸珠江航權Ｘ剝奪第三國利益
page 7	赴星船票漲價
page 7	索償保險費案昨因律師染病停審
page 7	本軍費支出日巨十年內共費五千餘萬助英政府軍費按年遞增以後規定每年六百萬元
page 8	廣州淪陷前之工作
page 8	南潯前線救護經過
page 8	減結出口外匯辦法財政部貿易委會訂
page 8	廣東內地工作簡述
page 8	退出廣州繼續工作
page 8	高明縣民眾代表來港籲請僑胞救濟Ｘ機邇來狂炸該縣生命財並損失甚重
page 8	各界所捐救護車輛
page 8	華南難民工業社昨舉行開幕禮敦請華民政務司嘉利夫人揭幕社長汪華貞女士報告組織經過
page 8	親自揭幕
page 8	成立以來
page 8	共二萬元
page 8	　線　藥極　缺乏渴望僑胞源源接濟救生一個傷兵勝過增添新兵廣　紅十字會報告工　概況
page 10	預計半年後川煤產必增
page 10	密雲不雨的西江
page 10	二期抗戰開始訪問經濟外交交通內政四部長談今年度新擘劃一光明和勝利已日益接近中國
page 11	港菲埠際足球南華代售門票
page 11	港澳埠際足球賽定期在澳舉行澳方函邀港隊派甲組應戰
page 11	公開男子籃球明日開始報名
page 11	榮業牌賽1比3漢英挫華警
page 11	校際乒乓頒獎表演明晚舉行
page 11	準備迎戰菲軍港隊今日練習五進在海軍球場券價一律二毫由埠際隊對港聯隊
