page 1	國府明令實施徵兵制度
page 5	桂對和平進行決定三個步驟梧州七日已解嚴交通回復沙面英法領事頌禁賭令
page 5	建設材料不免稅
page 5	和平佳音行營運輸處對載運北撤各軍準備函粵路南段預備車卡封僱招商局輪船數艘將分水陸兩路運載北返艦隊亦回省河集中各江交通與市面金融之佳音
page 6	張嘉璈來粵商西南路網計劃
page 6	日人在北海發生命案日領事謁省主席請派員調查真相
page 6	財廳組織實行改設四科新訂各科職掌
page 6	蓉案交涉中日艦將出發華南示威以保護僑民為藉口各艦集台聆訓出發
page 6	軍委會行營請速定大洋比率
page 6	輪渡電船年餉季餉航商請求撤除之呈詞
page 6	死矣馮銳昨日下午槍決與民爭利藉公營私結果如斯可已鑒矣省府總部宣布罪狀
page 6	裁撤筵席捐案省府未批准
page 6	毫券繳稅加四八伸算法幣
page 6	四路軍總司令余漢謀將廣東防空委員會改為防空處
page 6	廣州酒樓茶室昨召集全體代表
page 6	交通部郵政總局副局長徐昌成
page 6	民政廳長王應榆
page 6	市商會昨函財政廳以本省臘類捐稅
page 6	新任市政府秘書長曾蹇
page 6	劉維熾談最近之建設事業亦否認增設實業廳省營糖仍施行統制法但實行官商合作
page 7	何氏抵港
page 7	丰采猶昔
page 7	下榻酒店
page 7	數出訪友
page 7	薄扶林山徑中瑪利醫院司更印人被殺體無傷痕惟屍旁有繩一條疑被兇徒勒斃後棄屍該處
page 7	發生地點
page 7	死者身世
page 7	拾獲一繩
page 7	體無傷痕
page 7	陳屍道上
page 7	疑被勒斃
page 7	馬菲談話
page 7	蕭佛成無赴京意將赴暹羅休養
page 7	粵德領過港北上
page 7	宋美齡女士昨離港返粵端納黃仁霖等隨行
page 7	小販服毒幸遇救
page 7	現在仍有荔枝出現
page 7	國選事務所進行
page 7	譚啟秀昨日來港
page 7	何鍵熊式輝昨來港參觀各大工廠以資借鏡下榻旅店不允接見記者
page 8	酒稅新例一致通過
page 8	本港警察去年工作報告一市面安靜幸無嚴重事件發生但百業凋零致犯罪人數增加
page 8	概諭
page 8	特別事項
page 8	下星期一開始實行
page 8	通過重要新例多項
page 8	羅文錦演說
page 8	銀禧大典
page 8	認為違例
page 8	申述意見
page 8	顯而易見
page 8	英文傳單
page 8	律政司答詞
page 8	維持治安
page 8	桃色慘殺案今日開堂研究女主角張九娘將到庭作供
page 8	兩匪入店搶金飾
page 8	誘良為娼案判決証據不足被告獲釋
page 8	毆人圖劫案詳臬
page 8	火車站一人被拘
page 8	車輛失事傷兩人
page 8	過海輪一客投海
page 8	定例局昨日會議華人代表羅文錦請改散發傳單例文被否決英文傳單不受限制顯然不公羅雖據理力爭竟無一人和議酒稅新例決本月十四日實行
page 10	太古船塢修船忙
page 10	車輛失事之統計
page 10	初級法庭案彙誌行為不端
page 10	阻差辦公
page 10	擅入兵房
page 10	意圖不軌
page 10	盜竊水櫃
page 10	遇風英艦昨抵港
page 10	本港播音台月報
page 11	各屬風雨之損傷
page 11	省道南路第四幹線之趕築
page 11	禁煙委員會決定提前禁絕煙毒二著手擬議計劃依照進行設立廣東禁煙督察分處定訂人民登記調驗辦法
page 11	禁煙調驗規則
page 11	禁煙罰金充獎規則
page 11	魚販復請撤銷魚捐
page 11	兩商會請撤舖宅捐
page 11	石灣陶器工場倒塌
page 11	電船請撤銷輪房捐
page 11	花縣縣長易人
page 11	九江匪徒偷神主牌
page 11	東江匪患日熾來往船隻不敢行駛
page 14	日人等復以盛氣相陵
page 14	毆傷官兵
page 14	偽滿境內不安現象日本增加兵力鎮壓動亂移民政策業經一再變更
page 14	外蒙共和國現情
page 14	外蒙與帝俄關係
page 14	第二日俄大戰在外蒙醞釀爆發中九一八以來日軍從滿洲而華北而內蒙日軍企圖作成一弧形陣線以包圍蘇聯外蒙之戰將為世界大戰之導火線
page 14	外蒙已投向蘇俄
page 14	成都事件發生始末劉湘電蔣及張群詳陳經過
page 15	廈威夷的防務將來太平洋上的直布羅陀
page 15	檀島防務
page 15	海軍司令
page 15	目前歐洲的新局勢二
page 15	防禦計劃
page 15	德拉姆說
page 15	發展空軍
page 15	太平洋上
page 15	日俄相遇在外蒙
