page 1	日美爭霸之太平洋
page 6	發展東江水利疏濬韓江口下游
page 6	潮陽徵兵續訊
page 6	粵振會在潮屬設站收容義童撥款搶運羅崗洞難童
page 6	港韶道上寫真六
page 6	黃元彬在省參議會報告粵省建設工作及驛運日前糧食問題重於僑匯問題驛站定成後即實行編制運輸
page 7	四團體昨舉行戲劇與教育座談會決利用戲劇為教育工具兒童劇場本星期日開幕
page 7	佛山輪尚無復航準備
page 7	文化協會舉辦文化講座每週上課三晚歡迎各界參加
page 7	崇正總會救難會決在葵涌設臨時醫院救濟沙淡線傷病難民舉林翊球等負責辦理
page 7	後備消防隊總部今日開幕
page 7	新界農展會明年停止舉辦
page 7	罌花節慈善金已募得五萬餘元
page 7	我躉存越南貨物尚值二千萬元日阻我起運越當局無法制裁我外交部轉向維士政府交涉
page 7	港九中小學校積極訓練空襲走避法防空局常派員到校指導昨晨防空演習成績頗佳
page 7	保衛團執委會今日下午會議
page 7	鐵行公司經理威健臣將歸國鐵行同人昨設筵餞別
page 7	汕尾海盜載劫港貨艇開機鎗掃射死傷四人價值四千餘元貨物洗劫一空傷者一人昨日運返本港療治
page 8	舊　紛紛改建內幕原來是業主迫遷新法改建後轉賃新客可任意加租更可大索鞋金補償建築費用
page 8	少年跳樓自殺先作種種跳躍姿勢
page 8	港粵貨運暢通西江貨運上星期已恢復港桂運輸商亦躍躍欲動
page 8	自願疏散婦孺今日開始登記
page 8	大坑平民村巡禮既無風雨欺不受塵俗裏
page 8	屋舍齊整
page 8	環境清幽
page 8	交通亦便
page 8	難婦投海獲救
page 8	成都工合事業的開展
page 8	移民局今日開始辦公十年居民證手續費減收二元其餘各種證書居民亦望減徵
page 10	東方僅勝光華
page 10	一比一海軍約瑟言和
page 10	南華陸運有期
page 10	岷甸奴籃球隊今夕出擊星島
page 10	友誼球賽消息
page 10	四屆德權鼎冠軍賽程編定
page 10	華人游泳會昨表演健身術
page 10	後勁不繼光華敗于東方兩度佔先卒遭鎩羽聖約瑟迫和洋水兵
