page 1	日英對華合作
page 7	香港飛剪號機昨已由美起飛來港廿八日可抵達載有大批郵件港府發出通告準備熱烈歡迎
page 8	集中出發
page 8	商會歡送
page 8	許地山談桂遊觀感桂省公路實開而未築教育方法過舊應予改良
page 8	人民忙於工作
page 8	強制編練民團
page 8	教育應加改善
page 8	人民身體壯健
page 8	交通亟待改進
page 8	桂省風景優美
page 8	莫克明談
page 8	建廳重視
page 8	高露德談
page 8	伍仲達談
page 8	英皇　冕期近各區慶祝景色開始佈置全港約增燈火二百餘萬燭光酒樓豬肉兩行紗龍定期點睛
page 8	鐸也船塢開始佈置
page 8	山頂裝綴電炬皇冠
page 8	皇后像前燈火　萬
page 8	救傷隊員準備出動
page 8	巡遊會景趕緊籌備
page 8	雞鴨行商參加景色
page 8	兩條巨龍定期點睛
page 8	引渡虧空疑犯案仍押候今日再審
page 8	瓊崖考察團昨出發一行廿三人總隊長莫克明粵建廳派員隨同前赴考察
page 10	汽車輾傷三路人
page 10	爆石炸傷一工人
page 10	三警輪巡緝海盜搜獲魚炮數百個
page 10	街頭歌者被拘罰
page 10	偽幣案詳臬定讞
page 10	染痘症不報被罰
page 10	本港又多一新律師
page 10	書法賽李樹芬監試
page 10	防止虐畜會週年大會紀希望各界贊助防止虐畜運動
page 11	新台應撤稅捐
page 11	台山新昌西橋路大火災
page 11	五區禁運鎢砂銅之出口因係軍事原料不得外流
page 11	廣州市工務進行概況三林逸民在市府紀念週報告
page 11	三設計已完之工程
page 11	船務局派員澈查三江渡濫載實情該局課長談對此事辦法沿途鄉民請速懲處該渡
page 11	組婦女勞動服務團
page 11	法院決以國語審判
page 11	南海大洲建醮演劇反響
page 11	陽江防空支會委定職員
page 11	囚犯習藝所將成立
page 11	保安隊拿獲搶匪記
page 11	中山縣政府嚴拿三洲鄉抗繳學穀豪劣防軍及保安隊奉令往該鄉佈防切實辦理該案要點勸農民歸耕
page 14	國家干涉產業
page 14	具體經濟綱要
page 14	貿易制度概要
page 14	產業化之進展
page 14	旁聽擁擠
page 14	余立奎等刺汪案首都法院審訊詳情
page 14	下午續審
page 14	開始辯論
page 14	檢察論告
page 14	已非近東病夫政治上軌道施行新經濟政策適應國際情勢全國產業統制
page 15	江西景德鎮瓷業考察記中中央社記者王效平
page 15	工廠統計
page 15	製瓷類別
page 15	工人生活
page 15	取銷陋規
page 15	犯罪心理
