page 1	教市婦女應有之覺悟
page 5	劇戰竟日擊退Ｘ軍
page 5	陳厝激戰殲Ｘ頗多
page 5	組視察團出發巡視
page 5	高明縣長抗戰有功李漢魂昨嘉獎
page 5	廣州盛傳我軍曾一度克復從化城我便衣隊活躍市郊
page 5	克從化城一度苦戰
page 5	廣州之Ｘ施行戒嚴
page 5	軍委會攝影隊在四邑攝影片
page 5	令各省市組精神動員會桂林行營飭屬遵辦
page 5	肇市漢奸絕跡鼎湖僧通Ｘ伏法
page 5	韶徵募會組慰勞團慰問韶出征軍人家屬
page 5	教廳訂印大幫教科圖書分發各地學校應用
page 5	順德鬧米荒搶劫頻聞
page 5	Ｘ小艦艇沿西江肆擾企圖牽制我軍免向其反攻我軍發動反攻江會新開路我軍之活躍
page 6	我夜襲鐘落潭
page 6	Ｘ竄神山中伏
page 6	Ｘ棄守三華店
page 6	第五游擊區司令加強四邑河道封鎖線牛灣增設瞭望哨監察Ｘ艇行動
page 6	中山佈告禁售Ｘ貨
page 6	前山海面勒斃私梟可謂天網恢恢疏而不漏
page 6	伍觀淇嚴禁煙賭如有拿獲概處死刑
page 6	海康縣府檢閱團隊
page 6	省擬會在西江設義民招待所收容智識份子
page 6	古鼎華派員慰問在台留醫官兵省參會慰問代表將抵台
page 6	粵漁鹽考察團赴廣州灣視察
page 6	中山等縣所得稅著手開始催征
page 6	粵北連日有激戰我軍突擊鍾落潭告捷殲Ｘ百餘焚燬浮橋數座竄擾神山之Ｘ中伏敗走
page 7	公函
page 7	辦法
page 7	救債分會積極募債
page 7	婦女團體一致素食
page 7	各行商會響應購債
page 7	策動僑胞回國服務
page 7	銀圓公債還本抽出號碼公布
page 7	四賊圖劫漁船傷斃榜人各一女船主力拋三賊下海一賊知事敗泅水遁去
page 7	賊艇突至逃避不及
page 7	死傷兩伴三賊墜海
page 7	濟南輪安然開入汕頭由英艦護送Ｘ不敢干涉該輪昨日已由汕頭返港
page 7	尹文家屬卹金已募得千餘元
page 7	七七抗戰紀念日中央頒佈紀念辦法規定七月六日至八日為宣傳日期禮懺獻金由各僑團自行斟酌辦理
page 8	嶺大附中昨舉行畢業禮高廷梓博士蒞場演講
page 8	港政府新委任
page 8	汽車輾傷兩童
page 8	香港市區設計條例
page 8	被刺男子已死
page 8	港口衛生署展長時間為旅客注射防疫藥劑自請醫生注射不發生效力醫學會將請醫務總監解釋
page 8	展長時間
page 8	修正之後
page 8	證明　件
page 8	今日棒球聯賽兩華隊齊出師中華對友啤有看頭次場南華戰岷甸奴
page 8	公開展覽
page 8	取回地段
page 8	十比二西洋大勝香港
page 8	公開華人水球展期止截報名
page 8	澳怒吼社主辦惠堂杯小型球賽今日下午三時開幕球怪赴澳主持典禮
page 8	小型球
page 8	菲名拳師抵港向港方拳師挑戰
page 8	太古華體會近訊
page 8	德權鼎今日抽簽
page 8	中央嚴禁各機關團體擅向海外華僑募捐僑胞捐款應照所指定銀行交去由政府統籌支配用途以杜弊端
