page 1	美日關係決難調整
page 3	希軍乘勝沿海岸攻華倫納法意內部醞釀反德德決不助意攻希傳意欲對英停戰希特勒欲犧牲意國利誘法人合作
page 5	容納僑胞資金興辦各種實業鼓勵南洋僑胞歸國南僑研究會之提議
page 5	莞寶縣府所在地平湖近況
page 5	民族復興節舉行國民兵總點閱同時紀念國民兵建設一週年以縣市為單位一日完成點閱
page 5	日商獨佔淪陷區航業朝陽丸日輪增闢廣欖航線
page 5	粵謀迅速解決糧荒五年增產計劃縮為兩年兩年增產雜糧八百萬擔建設廳昨擬訂辦法實施
page 5	三十年度
page 5	卅一年度
page 5	貨艇三艘被炸沉沒地點在崖門外
page 5	南路貨運已復舊觀與西北江交通之調查
page 5	台城三埠穀米價暴漲交通阻滯各項物價亦漲
page 5	菴埠日軍又炮轟桑浦山我陣地無甚損失
page 5	四六區交通處維護粵港交通莫次南任該處副主任
page 5	蘆苞貨品停運嚴密舉辦冬防
page 5	中山大學補招新生完竣各學院明春一律開課
page 5	日艦艇昨再猛犯周郡不逞江會日軍又有準備撤退模樣駐石岐之飯田部隊撤返廣州
page 6	粵定期舉行振濟展覽大會請各埠僑胞回國參觀
page 6	粵省務會議議決補償購銷米糧損的獎助中小工業緩辦
page 6	中小工業獎助辦法
page 6	補償購銷米糧損失
page 6	財政廳派員嚴查四邑瀆職官吏某視察員已抵四邑行查注意清除稅務機關積弊
page 6	三水中學近況
page 6	粵臨參會咨請省府增設救濟所收容婦孺並制定縣政科學管理法
page 6	陸幼剛昨返韶
page 6	韶市馬壩交通線被轟炸死傷平民數人
page 6	鎢業管理處設惠陽收砂處陳崇德在海豐查緝所長
page 6	禁運黃蠟青礬
page 6	日艦艇竄擾高要不逞黃梅黃塘一帶日軍略增
page 6	粵省救濟米荒之緊急全省人民均有每食不飽之嘆湘桂已允運米百餘萬擔接濟
page 7	賑聯會會議席上楊萼輝痛責遲到會友提議規定標準開會時間如不接納東華院決退出
page 7	李毓棠昨逝世
page 7	港府收回舊幣
page 7	代督岳桐昨巡視痳瘋院
page 7	英海軍後備隊軍官積臣失蹤
page 7	漢文學校會操港九分區舉行
page 7	跳舞比賽舞藝協會主辦
page 7	老婦誘良為娼法庭判罰百金
page 7	全國攝影展覽今日起在交易行舉行
page 7	銀號明日休養銀業公會九週紀念
page 7	領移民證已無擠擁狀態居民均明瞭不離港不須領證移民局且增委代理處廿餘間
page 7	領證居民較前銳減
page 7	爭先領證有害無利
page 7	聯美機又脫班關島發生颶風
page 7	港府重訂酒稅新則未頒前限制移運
page 7	警探搜捕歹徒獲疑犯七人
page 7	革命老人歐陽倫逝世遺悲未見九州同
page 7	青山道十五咪石兩車相撞死傷十餘人肇事車輛一為貨車一為巴士救傷隊員趕往救護忙箇不了
page 8	抬高米價發覺多宗
page 8	運費日增柴價高漲
page 8	來源稀少鹽價昂貴
page 8	商人居奇油價亦漲
page 8	家主與店主的防空責任謝家寶昨晚播音演講
page 8	應付非常
page 8	家庭防空
page 8	防空學識
page 8	提出保證
page 8	英屬公務員在英親屬遇難英廷可代探報詳情
page 8	美新船將航太平洋線由港往舊金山僅費十四天第一艘蘇拉力基號將到港
page 8	漁船貨艇被劫損失六千餘元
page 8	銅鐵商會新職員昨選出即日戰事及歡宴
page 8	各地來港旅客免繳驗防疫證
page 8	我政府嚴防日貨進口港廠商出品須具證明書
page 8	許元方昨抵港談我國西北蘊藏豐富
page 8	警探大捕賭徒破獲字花廠多間
page 8	永樂輪未獲釋
page 8	搶購鴉片怪劇擔泥婦亦有副業
page 8	兇徒剌傷路人
page 8	偽舞票案判決被告四獲釋三入獄
page 8	飛天老鼠入獄
page 8	巨竊案犯入獄
page 8	窮人何以圖存柴米油鹽無不漲價日食一餐者已不漲價日食一餐者已不知凡幾路上乞丐較前數月激增
page 10	足球總會今日召開會議將請當局豁免溢利稅埠際賽農曆元旦舉行
page 11	納粹現任黨魁赫斯
page 11	因飛機工業的進步和空
page 11	麥旦之死
page 11	從美艦東巡說到英美合作下
