page 1	英美法三國上海會商後
page 5	桂洲Ｘ兵去而復來Ｘ軍突禁容桂蠶絲出口揚言團隊禁運糧米至容桂以此報復實則有乘機以賤價收買從中漁利者絲商召開緊急聯席會議討應付辦法黃部團隊襲桂洲細滘之激戰
page 5	鼓浪嶼事件談判無結果潮汕仍加緊國防設備抽查戶口禁藉名據民
page 5	查戶口之慎重
page 5	汕外僑之會議
page 5	實行國民月會
page 5	江佛路之Ｘ自動撤退江會市內Ｘ兵減少江門疫盛Ｘ死亡多偽軍與Ｘ憲兵因糧食發生糾紛
page 6	省府調查各縣墾殖情形
page 6	省新運會訂定節約實施辦法戰區司令部公佈施行
page 6	王俊親製軍歌歌詞淺白寓意深邃
page 6	九洲Ｘ艦發砲轟擊中山吉大鄉Ｘ機昨冒風雨飛炸崖口
page 6	Ｘ艦砲轟吉大
page 6	Ｘ機轟炸崖口
page 6	新會動員會恢復活動發行小型戰報
page 6	花縣前線視察記四到最前線去
page 6	順德游擊隊夜襲樂從並破壞瀾石橋
page 6	粵財政廳最近重要措施
page 6	在抗戰中滋長著的肇慶二義民的組織和訓練
page 7	校舍宜遷郊外
page 7	聯絡我國大學
page 7	創設理化學院
page 7	財政極感拮據
page 7	Ｘ軍用品大部仰給美國若美澈底斷絕其供給則Ｘ將無法繼續戰爭
page 7	英人登記數目不公布Ｘ
page 7	萬興泰米店慘殺案警司懸獎緝兇警探昨在店中搜獲兇刀一柄夾萬絕無存款料被兇徒掠去
page 7	美使明日到港美僑準備歡迎
page 7	本港海軍司令彼得斯昨就職
page 7	警署傳譯員勒索疑案押候
page 7	本港廠商籌備在澳設廠澳官地開投辦法與港不同
page 7	港大特委會發展香港大學之建議主張將校舍遷建郊外遠離市區與我國大學合作提高教育程度
page 8	杭氏致詞
page 8	陳氏報告
page 8	史氏演詞
page 8	分會會章
page 8	失學難童登記已超過五千名
page 8	職員名單
page 8	永祥金舖劫案三疑犯今提堂
page 8	初級工業學校本年九月可開課
page 8	冒名賒貨被罰
page 8	三少年被拘捕
page 8	中英文化協會香港分會昨日成立公推港督羅富國任名譽會長許地山羅旭和分任正副主席
page 10	小型球賽消息
page 10	南華會訊南華體育會
page 10	舉辦夏令會友足球
page 10	田徑訓練開始報名
page 10	南華南征隊昨已乘輪出發譚振輝臨時被邀參與戎行梁榮照將乘機赴河內歸隊
