page 1	吳佩孚變篩之疑傳
page 6	北江戰訊烏鴉頭大岡嶺激戰我伏軍在側背擊Ｘ遊擊隊繞攻Ｘ潰退
page 6	粵省府紀念週顧翊群報告財政計劃三
page 6	Ｘ艦炮轟台山沿海圖掩護Ｘ兵登陸不逞我方團隊奮起迎擊斃Ｘ卅餘人
page 6	潮汕米荒情況愈見緊張　方請免洋米稅
page 6	再電中央呼籲
page 6	內地不得阻運
page 6	Ｘ機狂炸高明城補詳毀屋百間死傷慘重縣屬積極備戰滄江橋等已自毀壞明城前數日大鬧米荒但現已恢復
page 6	Ｘ機狂炸明城
page 6	汕市長巫琦接事後之談話
page 6	何柏談鶴山治安寧謐暴Ｘ屢次窺擾不逞
page 6	廣東救委會分會救濟難民工作報告
page 7	建設基金
page 7	暫行擱置
page 7	平民屋將落成華商會通告認墊建費各團體倘有逃難親友宜即申請入居
page 7	確屬日艦
page 7	發砲五響
page 7	帝航機地利亞號被Ｘ截擊經過Ｘ艦發炮五響未中的機長加開速率幸脫險
page 7	新大會堂
page 7	港大古玉展覽各地著各畫家均有出品
page 7	立法局昨會議輔政司報告津貼三院經費計劃政府決與三院總理切實合作務使各院繼續進展造福人群限制迫遷法例修正草案通過
page 7	東華三院
page 7	醫藥委會
page 7	理由如次
page 8	戰時學童疏散問題Ｘ集教　界開會討論　整個辦法華備施行
page 8	國貨展覽會請許世英揭幕
page 8	深圳難民營視察記
page 8	索償保險費案押候六日再審
page 8	兩強盜圖劫灣仔住戶警探預　密　捕一疑犯大埔坳蒙面賊夜　老婦
page 8	軒尼斯道圍捕劫匪
page 8	大埔　幪面賊行劫
page 8	諾貝爾昨返港
page 8	林柏生被刺案昨日再度提堂
page 8	大口報警姨甥女Ｘ失去金指環三枚
page 8	紅磡劫案詳臬
page 8	方人定昨赴美
page 8	男婦投海獲救
page 8	駱　道小火虛驚
page 8	強華救護隊昨日脫險抵港
page 8	一批賭徒被罰
page 8	赤灣海盜猖獗騎劫貨艇擄去四人艇主及　艇上有米
page 10	近衛宣言煙幕伎倆
page 10	各　讚揚蔣委員長
page 10	英美貸款援華制日
page 10	　絕交通挨戶搜查
page 10	　柴店內拘獲一嫗
page 10	何則起身飛奔外逃
page 10	風聲之緊達於沸點
page 10	杭偽市長何瓚被擊殞命詳情
page 10	行刺之人迄無所獲
page 10	傷中要害次日斃命
page 10	剖開青島鬼魅橫行民眾痛苦萬分游擊隊活動躍足制寇死命
page 10	英人懷疑明興協定
page 10	中國堅強抗戰已獲友邦信心英美貸款與我後現正討論再貸款對日經濟制裁及派軍事專家來華
page 11	　始議事程序
page 11	改善　勵制度
page 11	籃球聯會昨開二次委員會議討論修改章程多項
page 11	辦座談會計劃
page 11	中舊同學會擬舉辦陸運會
page 11	今日出戰亞洲
page 11	越野賽跑餘音錦標三面待領
page 11	賑　杯排球聯賽昨開代表會議決定本月十八日開始
page 11	香港學界體育會第四次常務理事會議提倡團體競技並決要案多項
