page 1	兒玉謙次將任駐華大使
page 8	省港澳輪船公司昨召開股東年會去年營業虧損十三萬餘元
page 8	營業不佳
page 8	改辦夜航
page 8	拒毒會二次常會
page 8	克紹箕裘胡百融在港業律
page 8	荃灣馬灣村三賊械劫兩住戶
page 8	職員減薪
page 8	劉組織抵港之訪問一千萬元蠶絲貸款已簽約絲廠紛紛復業女工陸續復工預算今年可增產蠶絲四萬包
page 8	首飾商會稟章呈遞後多福金舖昨又被劫四賊持新式短鎗三桿入店劫去現銀金器約四百餘元
page 10	孔祥熙電謝僑團
page 10	慶祝加冕情形准編印專書發售
page 10	瓊考察團將出發
page 10	外艦行蹤之調查
page 10	虧空公款案過堂
page 10	窩藏少女案註消
page 10	胡文虎捐金賑川
page 10	京十連家禽展覽會阿華田廠出品獲嘉獎
page 10	港府歡送郝督儀節已定華紳商歡送會十五日舉行
page 11	興築河南石南公路
page 11	官山墟米機被焚
page 11	河清舉辦平糶近訊
page 11	法部委任粵省法官五十六人
page 11	縣府禁私種洋煙苗
page 11	三區請另組鄉公所
page 11	開放義倉救濟米荒
page 11	商團緝私隊之糾紛
page 11	江門火油倉之火災
page 11	督學視察各屬教育
page 11	米商請將餘米　
page 11	籌辦十縣宅地稅
page 14	憲政之最後的滅亡
page 14	一片可唾棄的聲音
page 14	對外硬的政治貧困
page 14	日本政黨將何所之
page 14	內部矛盾更擴大了
page 14	澈頭澈尾的法西體
page 14	日議會被解散後政局走上血祭壇上法西藉對外硬擴大勢力內部的矛盾處處深刻增長
page 15	贛南的剖面天氣又變了
page 15	兩都之間
page 15	雩都一瞥
page 15	前任外長張群生平一生唯有謹慎來去無所容心
