page 2	天津之戰與時局
page 3	靳雲鶚過徐州電魯境豫軍死守待援謂孫傳芳已令聯軍照料我軍收容但孫傳芳語人對北方時局決意暫置不理
page 3	張宗昌發罪已宣言略謂宗昌因求治太急致父老多責言今後力改前非保衛桑梓
page 3	鄂蕭態度漸明發表馮俄密約岳維峻增兵防鄂
page 3	鄂官廳發表馮玉祥與蘇俄密
page 3	約內容與報載相同蕭耀南聯奉攻馮態度已明
page 3	蕭耀南電駐京代表周斌令與贛代表聯請段祺瑞釋放曹錕段祺瑞謂須由馮玉實主持
page 3	岳維峻增兵豫南嚴防鄂軍入豫田生春旅駐堰城許昌楊主昌旅駐許州以南米振標部第二旅駐鄭州增防軍額達四萬人
page 3	翁敬堂再提金佛郎案比西對司法調查意見
page 3	許世英語人組閣須俟天津軍事結束後再言
page 3	翁敬堂在京續呈總檢廳沈瑞麟李思浩章士釗辦金佛郎案已扣成罪狀請飭高檢廳嚴究
page 3	孫傳芳電贛否認任鄧如琢長贛謂為奸人挑撥
page 3	使團消息西班牙派定司法委員贊助華取消領事裁判權比國對關稅會議不堅持華會範圍電比使相機調　
page 3	孫傳芳十五日晨離杭赴滬將轉徐州
page 3	廣九路醞釀總罷工暗潮愈烈
page 3	工會代表舉定九人已在九人中推舉三人與港方接洽昨因別種問題暫緩起程
page 3	蔣介石回師廣州之內幕談與李濟琛方面有關係
page 3	天津戰事劇烈李軍在北倉集中津南戰事極烈馮在南口設大營
page 6	閩粵局勢緊張中之張貞到汕因閩省收容粵軍蔣介石將興問罪之師
page 6	蔣介石釋放張余陳之省信李濟琛提出質問之效果
page 6	汕頭罷工工人議提復工條件
page 6	民黨左右派競爭近聞
page 6	衛戍部維持冬防之先寬後嚴
page 6	新會葵田捐有復活消息
page 6	汕頭要訊彙誌
page 6	鐵路車務員新設總分會近聞
page 6	車站又有賊殺被擄人屍骸
page 6	蔣介石統一廣東軍政計劃確定全省軍制撤廢軍長職銜統一軍事教育限制各編軍隊整頓各兵工廠
page 7	楊西岩準今日回省
page 7	規定港澳調查專員權責
page 7	有入稟借款者注意
page 7	大借款最近消息
page 7	懇親團紀事
page 7	澳美華僑另組懇親團
page 7	銀業行聯安堂函覆政務司
page 7	港督今日下午巡視醫院
page 7	梧州缺乏煤油之西訊
page 7	瑣聞一束
page 7	旡妄之災
page 7	虧空安
page 7	本港之國語運動近聞
page 7	西營盆火警
page 7	慶祝久任局紳
page 7	頒給救傷隊憑證
page 7	日記日歷及各種雜誌到港
page 7	第一街火警
page 7	鍾聲社開演劇
page 7	前山鳳山學校爭長之續聞
page 10	晉陝旅京同鄉討馮玉祥電
page 10	俄大使過哈及其演說
page 10	洪兆麟被剌之滬訊
