page 1	日方威脅上海租界事件
page 4	兩人虛報被劫分別判處徒刑
page 4	青年會徵求會友
page 4	汽車司機於抗戰中站在極重要之地位南洋司機同業深明此旨紛紛組服務團回國服役
page 5	Ｘ　窺察潮惠各地
page 5	Ｘ艦多艘經過潮海
page 5	Ｘ對南澳施行利誘
page 5	汕市長檢閱救護隊
page 5	廣三沿線我游擊隊到處活躍混進河口搗亂Ｘ軍妓劇　全線Ｘ軍日減現僅千餘人
page 5	兩路通車
page 5	沿線Ｘ兵
page 5	佛山近況
page 5	最近Ｘ情
page 5	前廿七日嶺東海面Ｘ艦突增
page 5	Ｘ以騷擾手段恫嚇各鄉鎮組設偽委會各鄉鎮以消極方法對付Ｘ到各鄉鎮均一無所獲
page 5	一區游擊隊梁李潘等部將改編正規軍改編保安隊及稅警團
page 5	北中之Ｘ迫壯丁服兵役我Ｘ均增兵大戰將爆發
page 5	壽翁潘伯龍移捐壽費救國鷺頭鄉長請加獎
page 5	河源縣長被炸脫險補誌
page 5	Ｘ防戰反攻又增兵到三水均屬雜牌軍戰鬥力薄弱
page 5	Ｘ軍又擾碧江飽掠財物後竄去
page 5	我空軍炸增城Ｘ陣詳誌城中Ｘ械庫亦被燬吳總司令出發督師增城戰事又和緩石龍有小接觸
page 6	王邑商民再呈當局請撤銷江門海關分卡並改善貨物來往轉口稅
page 6	崖門海面蔗船誤觸水雷沉沒
page 6	南海各淪陷區Ｘ迫鄉民春耕
page 6	潮汕民眾渴望閩省撤銷遏糶
page 6	廣寧縣之戰時動態戰地記者特寫
page 6	饒神父南下過汕赴港將轉往西北江
page 6	轟炸後的　城
page 6	石澗救亡動態
page 6	深入了游擊區
page 6	農民的掘金熱
page 6	劫後之沙灣市橋與團隊撤退之經過
page 7	管理之責
page 7	炸羅湖案
page 7	不下十萬
page 7	旺角難民營今日拆卸三千餘窮人須覓地他遷必要時將送難民營收容
page 7	金山輪昨開粵
page 7	日輪今日續發
page 7	港督定期巡視廣華醫院
page 7	英Ｘ成立協定互派輪走省港廣州已成死市賊匪白晝橫行
page 7	九龍關新稅費
page 7	一九三九年度美高梅片映權皇后平安兩院獲得
page 7	充滿熱情Ｘ
page 7	競賣部成績最良好
page 7	不使剩餘貶值傾銷
page 7	慈善賣物會昨日閉幕昨日成績較前兩日尤隹Ｘ
page 7	法大使抵西貢
page 7	港府飭令中西救難會負責救濟新界難民仍以深圳又生公司舊址為收容所Ｘ機炸羅湖案定下星期開始談判
page 8	昆明商業蓬勃港外商多在該地設分行
page 8	港與內地貿易新途
page 8	外商紛在昆明設行
page 8	新界住戶被劫損失財物百餘元
page 8	廣東省銀行明日招待各界
page 8	何明華將赴桂
page 8	大賽馬之第三日澳洲打比賽爆出冷門杜拉坎芬地獲冠軍彩金甚高今日中國馬冠軍賽將有大競爭
page 8	賑聯會會議期改三日下午三時
page 8	西區女護士隊辦救傷護病班
page 8	豬肉將告絕市現僅賴廣州　供給
page 8	漁民學校兩間本月五日開課
page 8	鄉人打架重傷
page 8	上海難民近狀饒神父之談話
page 8	惠陽青年開賣物遊藝會
page 8	血湧林馬坑四噸重巨石下墜礦工三人被壓殞命頭破腦裂手足斷折死狀極慘六人重傷暈厥均送醫院救治
page 10	寒節棋壇盛況
page 10	象棋如何能倡盛二
page 11	東方會第十二屆徵求會員大會宣言
page 11	督憲杯第二戰本月五日舉行協會如勝則　錦標
page 11	男子組公開籃球賽昨已截止報名甲組八隊乙組二十隊將來角逐定有好看頭
