page 1	論泛美大會之成就
page 8	客棧行
page 8	雜木行
page 8	陶瓷行
page 8	顏料行
page 8	紙行
page 8	颶風有襲港趨勢天文台昨懸一號風球
page 8	一九四零年英文中學會考揭曉男校以英皇書院成績為最佳女校為庇理羅士與聖心書院
page 10	今日精彩棒球賽港啤戰岷甸奴水兵如勝則穩得冠軍另一場南華對香港會
page 10	昨日南華兵敗加山七比四工程雪前恥
page 10	東方水藝會成績甚佳
page 10	華人游泳會今夕三次水藝秩序豐富
