page 1	魯南會戰與　戰前途
page 3	欲求廉價機器者注意
page 3	英國下年度財政草案擬安
page 3	俄大主教被捕有替他國充間諜嫌疑
page 3	英大使克拉克昨日南下明日可抵港
page 3	孫科對路透社記者談中日戰事結束後我歡迎與各友邦合作將來調解中日關係非日軍完全退出我軍不可
page 4	老倌足球賽馬薛兩氏出場屆時譚蘭卿播放名曲
page 4	雨小網球準決賽昨因場滑未舉行單雙打決賽亦改期下週公開草地網球單打準決賽
page 4	傑志體育會昨選出新職員小型球隊今日戰華僑
page 4	港外匯市平穩牌價大致報漲
page 4	八九金價趨跌
page 4	省毫券價微降
page 4	廣州金融市情
page 4	昨宵男普籃賽44-26華南壓倒鐘聲乙組青支會華雄齊奏凱
page 5	人事調整工作完成
page 5	黨部處置選舉糾紛
page 5	敵施恐怖政策我人民勿自相驚擾警備部劉參謀談話
page 5	開始健全組織工作
page 5	黨部改制整委更動
page 5	敵機一架昨會窺伺虎門
page 5	桂省府通過本年施政計劃綱要分政治經濟文化三部門經提出省委會會議通過
page 5	粵國債會籌設港澳分會
page 5	沿海敵艦行蹤飄忽昨一艦移黑沙海發炮威脅各小島張惠長請撥款賑各島難民
page 5	各界昨追悼大利廠被炸死難同胞
page 5	粵認銷國債數目決定推銷預算有把握並攷慮詳細辦法調劑粵民之負擔
page 5	市商會定期舉行推銷國債巡行
page 5	海防華僑救援會賀正副總裁電
page 5	市黨部整理廣州全市商運之最近情形十月來整理商會內部工作完成一部目前尚有兩部未完成不能召集選舉
page 6	籌款購買公債馬思聰音樂演奏詳誌
page 6	河南要聞近訊
page 6	廣西之行五從永州到柳州
page 6	全省禁煙行政會議昨在省民教館舉行粵省定民廿九禁絕
page 6	敵機在橫沙河面投彈焚貨船之慘狀
page 6	利明渡被炸續訊死傷搭客夥伴約七人渡船拖輪損失約四五萬元利民渡實係擱淺昨已返澳
page 6	珠江水利局擬在桂省設局
page 6	翁照垣昨北上
page 6	舊嶺全民訓練改善團體組織
page 6	中山縣長電告敵殺各島民慘狀被害屍體堆積如山火化後埋地穴內各鄉民眾誓　殺敵寧為玉碎不瓦全
page 6	中山八區敵炸沉三坭船泥工四人斃命
page 6	南海沉舟全家羅難
page 6	戰地特約通訊我在台兒莊空前勝利後一個傷兵之壯烈談話中大戰地服務團陳組長與前線運返之傷兵談話二
page 7	本案事實
page 7	生不如死
page 7	證人口供
page 7	請求恩赦
page 7	分為三點
page 7	嗚咽言日
page 7	為童養媳
page 7	北平燕大校長司徒雷登南下抵港燕大教育方針為保持愛國觀念北平消息雖失實可從西報探悉
page 7	西船員不受津貼費再請船公司照所提薪額加薪四十八小時內不答覆即罷工
page 7	九二風災難民限期補行登記
page 7	星空軍隊長將駕帆船返英
page 7	臬庭判決推妻下海案被告張亞龍處還首刑陪審員一致認謀殺罪成立但請減刑法官將轉呈港督被告人或可免一死
page 8	商會今日討論購債
page 8	海外僑胞捐贈品物
page 8	吳奇偉謝捐雨具函
page 8	屋租問題
page 8	本港播音台裝設新播音機
page 8	梅蘭芳來港演劇籌款賑災
page 8	嘉屬商人繼續捐輸
page 8	華僑銀行被騙案三審電話司機生曾見首被告持支票第三被告常到行訪首被告傾談
page 8	一萬四千
page 8	警署認犯
page 8	到行多次
page 8	郵局包裹爆炸案驗明係屬鈉質爆炸同時適有照相軟片故燃燒民航機因無保障停運包裹
page 8	獲得結論
page 8	次郵件著火原因
page 8	惹火物為苛性　鈉
page 8	寄烈性及惹火之物
page 8	轉運樞紐
page 8	電車搭客跌斃
page 8	本港樓宇按層徵收水費辦法李星衢等極表贊同將請政府接納實行
page 8	救國街鄉賑災中葉商會購債萬餘元華商會擬撥萬元購債五千元賑災今日全體委員會議兩案可望通過
page 10	英艦出海演習
page 10	港英電報減價昨日開始實行
page 10	平朗炮台操炮
page 10	痘症續有發生
page 10	新舊總理接交三院契券
page 10	方人定籌備抗戰畫展
page 10	廣東道發生小火
page 10	學海書樓講學日程
page 10	英艦仍赴威海衛避暑留港各艦已定期北上諾貝爾中將下旬赴滬
page 11	開封服務的一頁日記
page 11	北戰場底急切需求我們懇切地替前方發出呼籲
