page 1	成都事件與北海事件
page 5	桂軍將領請任李白為第五路軍正副總司令梧州桂軍仍放步哨檢查行人十二日槍決男女卅六人哭聲震天粵省洋紙洋臘減稅將實現
page 5	深圳請設特賭區已批示不准
page 5	各路中央軍撤退狀況胡宗南電告撤退黃沙河部隊西路各部已退至四會及肇城南路部隊未能急撤之原因蔣電鄧世增晤蔡商撤北海部隊十九路急於招兵
page 6	曾師入浙暫駐大埔候命趁此時會剿匪共大埔縣府之佈告
page 6	永漢僑店發生女子被迷竊案
page 6	廣州催發欠薪潮市府指令陸續籌發各教職員再據指駁
page 6	土造火柴恢復統稅廠商昨日請願詳情四推定陳爾卓等代表分向蔣委員長及統稅局請願請求緩徵火柴統稅之理由
page 6	國選期中各縣長暫不更換請委任五百餘人國選未便易生手
page 6	何鍵熊式輝昨十三日下午五時離粵
page 6	汕外商運糖入口潮汕銷場被攙奪經理處電省請示
page 6	資源調查會專員到汕後注意韓江水利昨赴上游調查再由公路赴省
page 7	外河輪船
page 7	原文如下
page 7	九廣車站
page 7	渣甸碼頭
page 7	港糖商再請撤消糖業統制昨分電中央與粵省各當局
page 7	又一個少婦服毒
page 7	工人墮車斷一足
page 7	老小販自縊慘劇
page 7	萬耀煌來港遊覽
page 7	生果小販注意
page 7	比使紀佑穆抵港星期二離港返比
page 7	干諾中老翁被毆
page 7	客棧行報告伕力勒索行旅情形報告書已由值理會草成定今日派員送交華商會
page 8	報織　民團體實現之計劃
page 8	本港方面
page 8	九龍方面
page 8	一九三五年初級法庭年報本港九龍兩方案件均增加
page 8	結論
page 8	案件增減
page 8	青年罪犯
page 8	如何學外國語鍾維新昨日播音台演講
page 8	演詞錄下
page 8	字母拼音
page 8	香港一隅
page 8	然近代語言學家
page 8	一樣講法
page 8	有何用處
page 8	讀者之基礎已立
page 8	純熟為止
page 8	逸仙艦開赴北海
page 8	蔣介石召見商人
page 8	蔣鼎文定期返閩
page 8	警察學堂將他遷
page 8	大批新巴士到港
page 8	西營盤一人被刺
page 8	魚商　繁榮會條陳復興本港漁業計劃二組織漁民協會俾易指導請各界投資幫助其發展
page 10	九龍青年會籌建三合土泳場
page 10	雪梨電影批評家麥利奧女士將抵港
page 10	孔教學院講學日記
page 10	英童書院今日開幕
page 10	學海書樓講學日程
page 10	八月份來往省港之人數
page 10	書畫文學社雅集紀
page 10	駐港德領升總領
page 10	檳城中華商會籌辦國貨展覽會本港廠商多未選送出品南洋考察團十月底返國
page 11	新任台山縣長覃元超履新期
page 11	馬熊天馬又起鬥爭
page 11	駐禪防軍維持軍譽
page 11	東較場增闢飛機場
page 11	維持粵毫券之部電原文省政府十日之通令
page 11	教育會請增加教費
page 11	橫水渡沉溺斃兩命
page 11	禪恢復軍警督察處
page 11	禁止警察毆打小販
page 11	江雨災續詳下游連崩數圍
page 14	剿匪總部公布捷報
page 14	滬南洋商業考察團行抵巴達維亞情形僑胞一致熱烈歡迎國貨展覽同時開幕
page 14	國貨展覽
page 14	總領致詞
page 14	如果德人
page 14	德人進攻
page 14	軍備競賽
page 14	經濟部長
page 14	瑞士擴軍一
page 14	荷印歡宴
page 14	川共入甘分股竄擾徐向前由渭源犯臨洮朱德以全力圍攻岷縣毛澤東等圖突圍與之合股
page 15	西京名勝漢城古蹟一瞥二宮池台閣尚存遺址攬勝探古足資流連
page 15	寶林古寺
page 15	燉煌寶塔
page 15	雍門城垣
page 15	太池名地
page 15	建章鳳闕
page 15	章門遺址
page 15	侵犯瑞士
page 15	歐戰剛終
page 15	東南霸城
page 15	假定德國
