page 1	歐局演變與中日戰爭
page 8	華人機器會復組紅磡支部
page 8	貨艇漂流海面貨物零亂疑曾被劫
page 8	蘇安平控夫案押候異日再審
page 8	總動員歌李仙根合作
page 8	金素琴等定期演劇籌賑
page 8	牛奶冰廠年會去年營業進展極速
page 8	本港反婢會派員赴英募捐
page 8	愛爾蘭馬票港汕各得一遺材彩
page 8	學賑會將改選實施國民精神動員法
page 8	英童學校升級列作高級學校
page 8	少年墮樓重傷
page 8	少女投海獲救
page 8	獲擊林柏生案判決刺客陳錫林從容入獄陪審員六比一認陳有罪承審官判處徒刑十五年
page 11	上半時三比零
page 11	總結數五比一
page 11	今日香港會場東方迎戰士葛
page 11	昨晚公開籃球賽甲組改由星島戰港大四九比二六星島得利乙組大中及青職奏凱
page 11	友誼籃球賽華雄約戰廣大下午四時半會師卜公場
page 11	網球因雨無戰事今日如晴有三場舉行
page 11	太古華人體育會幹事部議決要案
page 11	昨
page 11	次
page 11	甲
page 11	聖若瑟陣容不整南南勝來寫意上半場三比零總結為五對一今日東方對蘇皇軍
