page 1	比皇中立宣言及其關係
page 11	鹽署令撤惠來雜捐
page 11	十區國選發生糾紛總監督派四人往查辦
page 11	更調五個縣長
page 14	噩耗傳出各方震悼
page 14	組治喪會舉行公祭
page 14	病中隨筆竟成　語
page 14	新擬遺囑共計七條
page 14	內山氏談病危經過
page 14	過去生活歷經變遷
page 14	彌留一　情況悲慘
page 14	治喪委會發表簡史
page 14	全國如醉如狂西班牙之恐怖地獄慘酷狀態可謂空前絕後無惡不作幾疑已非人世
page 14	人肉獸食
page 14	一律槍斃
page 14	屍堆覓親
page 14	裸體女屍
page 14	我國文壇重大損失左翼作家魯迅逝世病肺轉劇難治竟致不起所擬遺囑七條十分幽默
page 15	韋州殲共之前後穆教民眾奮勇抗戰匪眾潰竄死傷逾千
page 15	視察戰跡
page 15	花生米小販被日軍割左耳上海各報之紀載
page 15	韋風景線
page 15	藉口　兵實行恐怖日對華北陰謀利用白俄組偵探機關
