page 1	中央對粵省政治之今後
page 5	第一師抵省情形已派隊駐省府總部
page 5	警備軍五六兩團二十一日開到江門有向陽江進發赴高州訊
page 5	粵局轉變後東路之軍隊行動匪共乘防軍他調騷擾汕市之金融物價好轉
page 5	第四軍全部移惠屬集中候命
page 5	陳濟棠下野東綏署照常辦公
page 5	汕日領派員訪問西南之時局
page 5	時局趨安定汕金融物價好轉
page 5	防軍撤退後粵東匪共大活動
page 5	粵財政交還中央後最近設施之計劃唐海安急於就職之原因已委龍思鶴為秘書法幣會有改組訊省銀行暫不變更財廳將行三科制鄒琳宋子良昨乘機抵省
page 6	張莫兩部在樂昌繳五一師械澈夜激戰槍聲極密
page 6	余司令電省嚴拿冒軍擾民歹徒
page 6	桂局和平解決訊聞派李品仙謁蔣
page 6	電促買銀員返省
page 6	律師會對劉羅案通電
page 6	鄉鎮縮編調委照常供職
page 6	歡迎余漢謀昨訊
page 6	劉羅案轉移管轄
page 6	私塾改辦小學
page 6	不動產價大跌
page 6	被封輪船全發還
page 6	粵各機關結束及交代續誌
page 6	西南兩機關結束
page 6	西南審計處裁撤
page 6	省府改組之人選
page 6	高等院改辦交代
page 6	張之英辭江防司令訊余漢謀竭力挽留張氏辭職之意旨
page 7	出口單不在港貼現
page 7	本港工商業將受益
page 7	食糧價格必略增高
page 7	匯款返粵或受影響
page 7	陳策昨晚已乘輪入粵空員二百餘亦返省候用
page 7	李尚銘赴粵就職
page 7	保護兒童會請政府嚴禁紅丸因販家每利用兒童走運
page 7	何犖昨已離粵來港決辭省會公安局長職
page 7	少女服毒自殺案薄倖郎大受申飭
page 7	要人在港不改初衷
page 7	虧空店款之疑案
page 7	粵當局決肅清深圳賭場本港社會亦將受良好影響
page 7	兩人自殺幸遇救
page 7	梧州市民紛來港傳中央機在桂林郊外擲彈
page 7	粵各行商代表昨來港查驗法幣準備金現存省分行毫洋約千餘萬與保管會所列數目尚無訛
page 7	各行代表
page 7	查驗經過
page 7	今日返省
page 7	粵改用大洋後出口單將不在本港貼現中央決設分行于廣州港銀行當略受影響本港工商業則有利粵出口貨價格亦必增
page 8	全港中學會攷昨日揭曉一國文優異竟無一人
page 8	定例局昨日會議輔政司答羅文錦之質問通過文員薪金匯率兩提案羅文錦發表保護浴場意見
page 8	歡送周壽臣
page 8	提出三質問
page 8	輔政司答覆
page 8	羅文錦演詞
page 8	宣讀各則例
page 8	通過兩提案
page 8	港督之答詞
page 8	續開財委會
page 8	繁榮會常委會議討論織造商會條陳
page 8	繁榮之道
page 8	水費過昂
page 8	麻打電費
page 8	本港牧業價格續跌估價官已傳達室明年價格較去年又減低百餘萬元
page 10	初級法庭彙誌
page 10	市虎噬傷一小童
page 10	廣東銀行監委會昨接管該行財產
page 10	老婦被牛角觸傷
page 10	赴暹考察團歸國
page 10	劫案疑犯願解省
page 10	公務員受賄疑案臬庭押候今晨再審
page 10	偽幣
page 10	蓄婢
page 10	舖票
page 10	謀殺
page 10	四邑商工局徵求訊
page 10	衛生醫官時症週報
page 10	港檳機仍未到港
page 11	番禺縣長未交代
page 11	大新路火警之一瞥
page 11	首席檢察官已委出
page 11	仙門城鎮銀莊遭劫
page 11	違警罰款撥充建費
page 11	石灣水陸交通復常
page 11	新會天馬鄉械鬥之詳情
page 11	匪截擊輪渡傷船伴
page 11	建廳在鷗汀築電台
page 11	匪攔途截劫殺事主
page 11	寧路火車輾斃耕牛
page 11	禁煙稽查放槍斃人
page 11	南海禪界外破拐匪機關
page 11	城內築新市場開幕
page 11	前日颶風毀物不少
page 11	後備隊負責巡西南
page 11	新昌歹徒撬棺劫財十餘具屍骸狼藉不堪
page 11	汕冒充中委案判決原文伍傑處徒刑一年伍傑聲明不服
page 11	主文
page 11	事實
page 11	理由
page 11	廣裕輪拖斷纜虛驚
page 14	蘇聯航空事業發達空軍實力遠駕歐美各國民間活動迭創優美紀錄
page 14	空軍威力
page 14	民用航空
page 14	特殊貢獻
page 14	德國擴充領土目的在張揚國威壹不在解決過剩人口而是在作軍事根據地和日意兩國卻有幾點不同地方
page 15	北極飛行
page 15	華北日軍部擴大八月一日實行改組渡久雄任為參謀長
page 15	日本國防軍事費的檢討東北事變費遞增無已
page 15	石拐煤田中煤黑子的生活是綏遠有名的產煤區惜限於經濟開採不力
page 15	石拐路上設卡　苦力
page 15	綏遠境內煤田都用土法開採
page 15	煤黑子的生活慘苦無以形容
page 15	創新紀錄
