page 1	英拒絕日本要求
page 6	廣州日軍仍發北犯夢囈粵路南段日軍輸運繁忙最近仍然趕緊拉募伕役日軍駐地民居多被拆毀以各屋宇梁木充作柴薪
page 6	軍事運輸
page 6	拉募伕役
page 6	聲東擊西
page 6	店戶拆毀
page 6	蘆西線我軍猛攻西南車站
page 6	糧荒聲中慘聞母子三人懸樑自盡
page 6	五區游擊司令部槍決漢奸四名
page 6	省府奉軍委會令清理末決人犯
page 6	桂省召開餉捐會議經過決定局卡地址裁撤稅警
page 6	僑胞感戴粵省府護僑紛紛電李主席道謝月來出國僑胞激增
page 7	英籍婦孺疏散辦法
page 7	輸送行李擠擁異常
page 7	本港學童疏散計劃
page 7	港澳輪船增加班次
page 7	歹徒兜售偽打針證
page 7	義勇軍眷處置辦法
page 7	漂流水雷不足為慮
page 7	嶺大附中並無遷地準備秋季入學試決依時舉行
page 7	華商會與東華院為英國募戰費賑災恤難英人士惠我已多以德報德望僑胞踴躍捐助
page 7	市虎噬傷小童
page 7	航行須防水雷航政司之通告
page 7	英婦孺今日大舉疏散二千餘人分兩輪離港英校下星期提前放暑假港澳輪昨日起增加班次
page 8	日當局表示
page 8	非威脅香港
page 8	靠軍馬運輸
page 8	沙魚涌安謐
page 8	深圳　民談
page 8	居民已盡逃
page 8	留新界難民尚有三千各善團積極設法救濟
page 8	婦女節制分會新職員昨選出
page 8	迫難民築路
page 8	荃灣茅屋中之血案一人被斬重傷兇手走卒被緝獲柴店兇案昨晶提堂
page 8	澳探又獲劫殺案兇犯港方派探赴澳引渡歸案
page 8	華人出國領護照手續護照部連日加緊工作
page 8	赴星嘉坡
page 8	富人準備離港二萬元旅費突被竊去警探獲一疑犯在嚴訊中
page 8	司理虧空店款
page 8	本港美僑停祝國慶筵席費捐贈英軍人
page 8	寡婦被竊巨金竊匪人臟並獲
page 8	留港難童決遷入內地如家屬領回撫養更歡迎
page 8	菲及荷印
page 8	防癆協會診理癆症統計五十日共二百五十八宗
page 8	車輛失事統計去週死一人傷四十一人
page 8	汎美機將到港
page 8	阿華田之優點
page 8	簡琴齋書法展覽
page 8	英美海軍協定可望成功遠東局勢將明朗化深圳日軍表示佈防非威脅香港東江我大軍雲集日軍不易進犯
page 10	中華體協會拘留中青退出函內措詞至為懇切
page 10	九龍學籃賽今有兩場戰事補賽程序重編
page 10	南華游泳會二次水藝成績甚佳
page 10	華人泳會動態
page 10	夏令籃球聯賽今晚補度初級球員馬雲衛生持開球禮
page 10	南華體育會會友籃賽近訊
page 10	青支會網球消息
