page 1	勗華北危機中之廿九軍
page 5	謝瀛洲北上任務各縣無設審計科事潘秘書冠英之談話
page 5	省營糖廠改隸後近況順德新造兩廠已停榨半月甘蔗集中市頭廠開榨惟來源少運輸難新機榨量未能試驗明確王廠長對記者談今後整理要點六項
page 5	南澳發現金礦
page 5	財部決定撤銷粵土煙專賣煙商承辦期為三年
page 5	粵路定期停駛廣英區間車
page 5	積極救濟農村合作會提前舉行會議請吳主席蒞會訓示
page 6	財廳嚴厲催征地稅各縣呈報征收困難責山鄉長征收流弊滋多帶隊下鄉勒追騷擾無效
page 6	桂省饑荒慘況
page 6	五月份洋穀米進口定明日起開始登記土洋米從兩路續運抵省
page 6	請運洋米穀明日登記
page 6	土洋米續由兩路運省
page 6	調節民食會昨開會議
page 6	廣九焚車案完全了結路局將卹金函警察局轉發
page 6	營稅逾限申報處罰款額之新章制止影相業違章
page 6	祝　機全部抵省
page 6	廣西要聞另誌
page 6	古倉直街火警燒斃人命
page 6	廣東工界昨紀念勞動節
page 6	蠶絲改良局廖局長
page 6	上海名畫人徐悲鴻　歲入桂
page 6	中行江門辦事處
page 6	廣州工務局長林逸民
page 6	全國鐵　機工會議
page 6	財廳秘書室來函更正前聞
page 6	緝私總處查緝走私之嚴厲包庇私貨人員被扣留
page 7	延遲抵埠
page 7	歡迎人員
page 7	發表談話
page 7	今午入粵
page 7	間接影響社會治安押店誤收賊贓問題嚴重社會人士謂應加以懲罰當押商人表示亦有苦衷
page 7	社會注意
page 7	押店疏忽
page 7	助長匪風
page 7	商人苦衷
page 7	警察助力
page 7	英改良兵士生活兵房設貴族化的招待室有華貴的傢具舒適的椅子兵士們可在這兒接見情人
page 7	域多利亞醫院產婦部暫未停辦
page 7	港政府之委任令
page 7	英國銀圓不再為港法幣本年八月一日起
page 7	王仁康南返抵港談鐵部擬有五年計劃浙贛樟萍粵漢三路年底可接軌粵漢路積極改良增購大批車廂
page 7	鐵路建設
page 7	機車方面
page 7	三路接軌
page 7	覃振昨抵港今上省為吳監誓後乘便考察粵司法撤領判權我政府已準備交涉
page 8	瓊崖心影錄二
page 8	過港小留僑商　迎
page 8	碧海無波風和日麗
page 8	旬日游程遍覽瓊島
page 8	前度　郎　人
page 8	公路平坦蜿蜒七里
page 8	一小童慘遭滅頂
page 8	中法航空聯運訊
page 8	梧野外猛虎為患港獵戶擬往獵捕
page 8	紅香爐峰特寫
page 8	娼業典替
page 8	私寨概況
page 8	暗娼種種
page 8	第四次特別賽馬之成績　　沙妾士創六化郎新紀錄二元搖彩首名得銀三千餘元
page 10	英航空母艦鷹號由星洲來港駐防
page 10	理髮匠赴星被騙資斧盡失流落香江
page 10	德僑昨慶祝國慶
page 10	商會擴充圖書館地點已在選擇中
page 10	廣東道破獲賭窟
page 10	救傷隊售旗成績得款五千餘元
page 10	商會召開值理會
page 10	本港　船業已有起色太古塢承造萬噸輪兩艘庇利船廠亦接有新輪定單黃埔船塢新輪一艘將下水
page 11	台山法團議決調查捕賭慘案暫緩開公民大會
page 11	東莞五區之金礦
page 11	縣屬近又發生地震
page 11	婦人拜神被火燒死
page 11	警衛隊恢復大隊制
page 11	練江等處散匪蠢動
page 11	又征民工修補公路
page 11	大埔防軍剿平象湖山匪
page 11	通令嚴禁吸售私煙
page 11	江門穀市淡價低跌
page 11	派艦維護九江治安
page 11	台山商人三次討論營稅額仍主全縣稅額最高三萬元並派員來江調查辦理情形
page 11	改良廣東地方會計之意見二
page 11	始興縣殲除兩大害蕭王兩匪先後仗誅
page 14	飢餓線上的四川
page 14	四川農業生產狀況
page 14	刺汪宋案判決書三
page 14	川災之嚴重情形
page 14	目前救災方法
page 14	江西財廳擬定經濟建設五年計劃分農林水利工商礦電等項共需經費總額六千餘萬元
page 15	氣候宜溫和
page 15	茶性好叢生
page 15	清明前後採
page 15	宜早不宜遲
page 15	江南三月採茶忙龍井茶製作概況二獅峰十八棵禦茶世界第一新菁採摘炸焙手法要敏捷
