page 1	書本港政府去年經濟情報後
page 3	蘇聯斥德意葡干涉西內亂德意覆文反駁蘇聯破壞協定謂蘇聯曾運大批飛機高射炮坦克車接濟政府軍調整委會今日開會歐洲安危決於此會
page 4	體育界籌款購機祝蔣壽今日舉行省港足球表演賽由九龍華人會對警察隊執信女生擔任表演藝術九華隊員即晚返港明日對陸軍聯作麗華杯初賽
page 4	明日麗華杯初賽華聯隊對陸軍聯隊海軍陣勢亦已決定
page 4	高級學界籃球賽華仁輕取英皇今日共有三場比賽
page 4	奮興杯賽別字隊奪得錦標　日在京士拍球場頒獎
page 4	雷豫社團明日旅行鋼線灣第二屆音樂班下月一日開始
page 4	今日公開排球賽在卜公球場開幕陳鏡湖夫人蒞場行開　禮
page 4	今日友誼小足球賽團結隊對強華隊四時在九龍城球場
page 4	今日尋常杯足球賽中華會渡海戰九龍香港會對九華一場改期
page 5	土製紙行反對減輕洋文舊報紙稅率昨呈財廳收回成命
page 5	蔣委長電張之英著仍留粵勷辦國防張視察東路海岸後聞已詳擬國防計劃張氏決北上一行返粵後始任行營職務
page 5	商店捐收入一天購機市商會今日討論粵漢鐵路昨日在湘境又發生撞車慘劇
page 5	酒樓拒收筵捐訊財廳準備於必要時增設稽查百名坐收
page 5	汕　關當局杜絕私梟又一法香港來貨領事簽証外須有出品國領事証明
page 5	汕捐款購機彙誌
page 5	九龍城居民限期遷居案之交涉焦點九龍城內是否入租借範圍租約含糊前清官吏之混鬧淩士芬調查後呈外交部辦理兩廣外交署訪問記
page 6	汕日僑紛紛返國非與時局有關係日人對記者之解釋
page 6	五區行政督察員胡銘藻就職後將開全區行政會議
page 6	南山人民請改設縣治續詳
page 6	土菸絲行派代表赴京請願請各地商會援助
page 6	行商入會會不繳會費之制裁
page 6	粵各界購機祝籌捐款定期截止收集捐款可得七十萬南塘校書之募捐
page 6	粵省司法改組後各級法院管轄區域調查體察地方情形裁撤十個法院共設八個高分院八十個地院
page 6	廣東各級法院管轄區域
page 6	廣汕鐵路改路結　永槐晉京請示
page 6	禁煙辦法之訪問設十八間土膏行十個禁煙事務所
page 6	黃主席慕松據瓊崖農業研究社呈請將牛皮屠牛捐生牛出口捐三種明令撤銷
page 6	孫科等抵港後
page 6	司法行政部長王用賓抵省後
page 6	代理第一區行政督察專員兼南海縣長範其務
page 6	南京軍事參議院院長唐生智
page 6	菲島華僑籲請交涉取銷苛厲商制
page 7	南下大員
page 7	各方代表
page 7	機關公宴
page 7	歡迎人物
page 7	分批赴粵
page 7	參觀　機
page 7	庚戌首義同志會歡迎函
page 7	港滬長途電話昨日試話雙方所談均甚清楚正式通話為期不遠
page 7	重陽季省墓人少上山頂遊行者獨多
page 7	中央祭胡大員孫科等昨晨已抵港各方代表同來者凡數十人定今晨九時半乘專車晉省
page 8	飛港行程
page 8	載來人物
page 8	基氏談話
page 8	歡迎者眾
page 8	飛剪姿勢
page 8	抵澳　形
page 8	高淩百過港赴星
page 8	劫案又獲一疑犯
page 8	獻機會昨舉行結束會議共得捐款三十八萬餘元定本月廿六日匯寄南京
page 8	捐款總數
page 8	結束辦法
page 8	拍賣捐物
page 8	昨日捐款
page 8	鐘聲成績
page 8	九月份出入口貨物統計出入口均較去年同時增加
page 8	發生俠盜駭聞
page 8	港府編定招待黃曾程序華人紳商亦決開會歡迎
page 8	四日來港
page 8	港府招待
page 8	各界歡讌
page 8	羅氏晉省
page 8	國大初選開票期李星衢返港後始定
page 8	港菲空線試航成功飛剪號機昨日抵港美領及港府要人均到機場歡迎孫院長亦階傳秉常等前往參觀
page 10	東龍島賊劫貨艇掠去塢砂數十包
page 10	追悼魯迅之籌備
page 10	紅丸四犯入獄
page 10	窩藏小童案提堂
page 10	擅搜民居案押候
page 10	西環海灘之男屍
page 10	邵仁枚昨乘機返星
page 10	冒差摸竊兩罪俱發
page 10	青年會單車團消息
page 10	墮樓老婦昨已殞命
page 10	市虎噬傷四路人
page 11	桂梧拖渡觸礁
page 11	陳村錫紙商罷業訊
page 11	小艇被焚一屍兩命
page 11	九區警隊大捕疑匪
page 11	趕築石岐唐家電話
page 11	木隻墟劃界案近訊
page 11	馬頭岡之斃人毒草
page 11	桂洲演戲發生風波
page 11	汕雜糧公會等再呈財部請撤油仁荳類專稅廿三年四月十三日以前並請豁免
page 11	新婦持利剪深夜擊退劫匪之勇敢匪從樓欄下墜負傷遁去
page 14	由綏出發過百靈廟
page 14	途中餉嘗沙漠風味
page 14	西北交通重要樞紐
page 14	二里子河巡行一週蒙民生活極其簡單羊湯掛麵視為盛饌
page 14	西班牙內戰後歐洲列強之新形勢地中海之均勢將因而破滅英法意德關係起嚴重變化
page 14	德意兩國干與內亂
page 14	地海利益感受打擊
page 14	英法遭遇嚴重威脅
page 14	飛機軍火援助叛軍
page 14	日方勢力深入額旗形勢漸惡化飛機不斷偵察軍火輸送頻繁此地為西北各省交通之咽喉一旦切斷新疆外蒙胥受其害
page 15	過去之回憶
page 15	所謂排日運動
page 15	四中國之國民性
page 15	中國之人物
page 15	五中國可統一乎
page 15	六中國之將來
page 15	前任日駐華公使有吉明筆下中國之過去現在及將來足覘日本對華之態度
