page 1	美總統競選之前夜
page 6	我襲蚌湖圍擊日軍
page 6	中新各地航行多阻　魚沙河面我日激戰潘部團隊擊沉日艇一艘
page 6	軍委會修正辦法尊　負傷將士令飭仝國一體遵照
page 6	各界慰勞團一批先已抵韶另一隊赴良口工作
page 6	兩粵鹽務局分別成立
page 6	日機飛炸懷遠
page 6	二七兩區行政專員易人續訊馬耐園任二區專員七區鄧輝經已接事
page 6	桂省府解釋各縣設置承審員疑義
page 6	肅清漢奸
page 6	此外廣東禁絕煙賭
page 6	粵政中心工作在長足進展中加緊消弭糧荒救濟義民切實根絕煙賭肅清漢奸
page 6	行新縣制
page 6	糧食問題
page 6	粵北我軍連日進擊克南蛇頭斃日軍百餘日殘部退竄神岡我掃蕩中禺北日調防我襲蚱湖奏捷
page 7	日並無向港提抗議本港陸軍當局之談話
page 7	鍾魯齋博士返梅籌建正校校址已擇定不日興工
page 7	省救委會港分會常會各界捐助藥物繳呈總會
page 7	立法局議程
page 7	軍部徵求歐籍婦女組織女子運輸輔助隊入隊者受訓後即為軍隊服務應徵者可往陸軍服務報告
page 7	難童救濟院演劇籌款七月一日晚四劇團聯合公演
page 7	六十餘歲難民跳樓頭顱破裂即殞命
page 7	父子跳樓慘死幼子年僅十歲
page 7	本港援英捐款達百五十萬元匯英者已逾百萬元
page 7	李綺年昨抵港
page 7	港沙輪仍開航港寶小輪昨停航
page 7	港九住客聯合會減租辦法已呈華民司華人代表羅文錦等昨函覆住聯會防止包租圖利一項大有考慮價值
page 8	自承砍妾七十一刀
page 8	晏大律師力為辯護
page 8	寶安商會招待報界
page 8	寶安商會為難民呼籲賑聯會兵災會出發救賑農村福利會辦墾殖救濟
page 8	救命呼聲出自林氏
page 8	趙作　判愴然離庭
page 8	擬在粉嶺開闢農場
page 8	三大團體出發調查
page 8	兩女被誘操皮肉生涯婦人謝素珍入苦工監三月
page 8	婦兵災會派員慰問
page 8	發出公函呼籲救濟
page 8	難民逃港前後情形
page 8	麥司指導判案意見
page 8	三次致辯其詞均異
page 8	羲皇台三屍四命慘案兇犯關麗珍判處死刑陪審員一致認為關謀殺罪成立官斷定老姑幼子在熟睡中被殺關聞臬司宣判死刑時神色不變
page 10	中華游泳場定期舉行水藝
page 10	中華體育協進會昨開週年大會選出莫慶胡好為正副主席一致通過挽留退出六社團
page 10	今夕公開籃球賽甲組兩場戰事培英對鐘聲華僑抗青甲乙組康元迎擊警察
page 10	夏令籃球賽參加者甚踴躍初級球員高度由外界監度
