page 1	美國不應再徘徊了
page 5	古巴華僑代表抵韶獻旗余李躬親接受
page 5	四六區交通處取締藉名拉伕封船並計劃編制水陸交通
page 5	粵節建分會決定明年為節約儲蓄年元旦日起擴大節儲運動製作歌謠標語分發宣傳
page 5	八行鈔票通用
page 5	桂省桐油產銷情形產量漸增可達第三位將提高價格以資獎勵
page 5	嚴懲運鎢私梟
page 5	廣州市西區農民損失極鉅日軍　　禾稻
page 5	工合協會東南區積極組訓難民貸款十萬組工業合作社並籌辦抽紗刺繡深造班
page 5	潮港交通近訊
page 5	桂林新兵出發各界熱烈歡送
page 5	觀音閣河面客貨船又被劫
page 5	日軍三路犯惠詭謀粉碎石牌血戰日受重創竄退圖由澳頭進犯之日軍亦回竄嚴重局勢解除港韶交通無阻
page 6	反戰日人在韶行蹤留日同學生勢誠招待參觀婦女生產工作團
page 6	毫券折合國幣辦法雲照坤赴渝圓滿解決中央贊許省行業務發展
page 6	士兵加米津訊
page 6	三水我軍進襲官窯斃日及　運輸車
page 6	陳嘉庚抵桂林日間續滇返南　
page 6	東莞日兵失蹤之風波指鄉人藏便衣隊勒令交出捕去鄉民十餘
page 6	桂省臨參會四次大會圓滿閉幕選不定式駐會參議員七人討論議案達七十四件
page 6	中央獎卹抗戰有功黨員楊杜王伯熙李會李顯四人
page 6	廣州市連日戒嚴之原因據報有游擊　千餘潛入市內日大搜西村彩虹橋居民受苦
page 7	東區分局開始辦公
page 7	華民政務司之通告
page 7	大隊日機飛越新界港軍部負責人發表談話
page 7	中央儲蓄會發行特種儲蓄獎券頭獎得國幣五萬元如不獲中三年還本
page 7	李寶椿捐資重建嬰兒病院
page 7	英僑反對疏散呈文已電英京
page 7	省港輪復航日對旅客待遇　未改善由港上省仍　時九
page 7	條件
page 7	票價
page 7	霍亂症已撲滅醫務總監報告防疫經過
page 7	澳門定期賽馬
page 7	駱克道上發現重傷女郎欲送醫院中途殞命
page 7	漁協換物會今日下午開幕女華民司親臨剪綵
page 7	移民法例今日三讀華人代表將發表意見請政府減徵簽證費及嚴防無弊移民局東區辦事處已開始辦公
page 8	沙淡路線
page 8	港沙小輪
page 8	團體撤退
page 8	兩偽幣案詳臬一被告無罪已獲釋
page 8	香港鎗店被騙損失萬餘元獲一疑犯初級法庭昨提堂審訊
page 8	被劫經過
page 8	索五十元
page 8	更練劫鎢砂疑案續審首被告伍憲極力自辯否認有截劫勒索行為
page 8	痢症日漸流行去週發生四十宗
page 8	謂係鎢鈔
page 8	加上手鐐
page 8	孤軍營謀殺案被告詳臬定讞
page 8	防空演習之夜歹徒乘機勒索史柏堅勸居民今後提防
page 8	華僑疏散委會將成立已聘定葉蘭泉等為委員
page 8	士蔑西報向按察司道歉
page 8	本港仍准米石出口糧食統制員簽准即放行珠江開放港米價又趨漲
page 8	八個少年騙食
page 8	增城僑商資遣難民回籍
page 8	車輛失事統計去週死二人傷廿五人
page 8	澳頭登陸日軍撤退沙淡公路暢通無阻昨傳葵涌失陷實係私梟造謠我政府機關遷回沙魚涌辦公
page 10	女子體育表演昨在中青舉行六個節目演出精彩觀眾擠擁情形熱鬧
page 10	南洋擊敗西南
page 10	南華不敵仿林
page 10	舞影歌聲動人
page 10	劍客演出精彩
page 10	昨日四場學籃賽中級平正八桂勝仗華大嶺東均告敗績初級華仁工業奏凱
page 10	籃球聯會昨開委員會議女子籃賽下月一日起報名
