page 1	上海租界問題
page 6	韶關附近公路交通之調查十大公路線交織如網日趨便利東南西北各處交通已暢達異常
page 6	雙鳳山麓展開劇戰
page 6	增北激戰我克廖村
page 6	組訓全省民眾國民後備兵開始訓練
page 6	潮陽黨政人員抗日有功受獎
page 6	韶關加緊防禦日降傘隊將舉行總演習
page 6	無照入境外人兩名解抵桂林
page 6	韶仁化線
page 6	韶乳源線
page 6	韶南庾線
page 6	韶馬壩線
page 6	韶興醫線
page 6	韶犁市線
page 6	韶龍仙線
page 6	韶連縣線
page 6	田螺涌線
page 6	韶黃崗線
page 6	搶救義民
page 6	救濟空襲
page 6	我軍分路出擊增從邊境之劇戰我一度克復福和廖村日增援撲雙鳳山被殲
page 7	四公司獻金台延長獻金時間興順隆獻國幣三千元疋頭行商獻二千餘元
page 7	永安公司
page 7	中華大新
page 7	傳八間銀號被匪打單董仲偉謂絕無所聞
page 7	越禁港貨入口本港疋頭行大受打擊傳越政府將限令華僑離境
page 7	電器疋頭
page 7	國醫學會
page 7	利物浦星洲日僑百餘返國港府徵用輪船一艘傳將疏散滬英婦孺
page 7	電鍍工會
page 7	英賑華會財務報告上半年募款八萬餘元
page 7	九龍居民協會議決呈請當局速建防空壕組特委會負責起草築壕計劃對道路改善問題亦請求考慮
page 8	衛生局擬撥三萬元改良鄉村衛生建議史傑頓　幌九龍廿六鄉
page 8	該區範圍
page 8	該區食水
page 8	時症發生
page 8	蘭嘉輪昨下水
page 8	名作家哈里遜抵港在菲評論日本對華之戰爭認日全戰愈弱斷不能取勝
page 8	菲華僑可機隊轉赴西北服務
page 8	英童書院學生獲劍大榮譽獎
page 8	昨到大批蔬菜鮮魚　數十擔
page 8	防空處之訓令委出班長數十名
page 8	高陞茶樓茶客跳樓自殺過路婦人被壓受傷
page 8	冤鬼復仇賭徒自殺自認殺人兇犯
page 8	港渝機增票價普通貨物運價亦增
page 8	孔教團體籌備慶祝聖誕
page 8	又破壞兩賭窟三個賭徒被罰
page 8	車輛失事統計去週死六人傷二十三人
page 8	虧空店款疑案
page 8	牛池灣圖劫案被告兩獲釋兩　臬
page 8	準備應付非常時期港府計劃設臨時醫院假港大及英童書院為試辦地點移瑪利醫院病人至港大供實習
page 10	鐘聲華人宵來舉行水藝各項成績甚
page 10	光華健兒動態
page 10	夏令籃球戰績
page 10	女子學界籃球賽將於九月間舉辦
page 10	星島歸鴻七
