page 1	中日外交之前途
page 4	九華得徐亞輝助陣仍為奧斯德擊敗摩亞獨勝二球九華未開紀錄守衛鞏固惜前鋒失機故失敗奧斯德在成績表上再高踞首席
page 5	曾養甫定今日到財廳視事
page 5	日海軍大演習馬公港要寨司令昨抵汕泊汕七日艦集中閩粵海參加演習艦廿餘艘開始出發南澳海面發現英國兵艦甚夥
page 5	四路軍加緊辦理縮編工作各副旅長均已委定各團團長多有變更
page 5	昨日評稅行業
page 5	各行分配稅額
page 5	營業稅風潮和緩中行商分配稅額與改善辦法再展申報營稅期尚未表示
page 5	改善六項辦法
page 5	市商會昨電中央力爭洋米入粵請定機關證明倘成案發生波折粵省食可虞
page 5	籌組華南米業協會
page 5	四省特展會移湘從新征集粵特產嚴格審查後即運赴長沙
page 5	粵路黃埔支線西段開始安裝鐵軌
page 5	印花菸酒稅局恢復分局制案近訊陳科長與記者談
page 5	余後賢等歡宴軍政各界領袖
page 5	粵市酒樓工會舉辦女職工登記工人並籌組全省總會
page 5	廣九站設接駁長途電話機
page 5	程潛電告決中止來粵中央改派余漢謀為吳監誓李大　孫樸等昨到省府開始辦理接收手續
page 6	市立銀行促進市民建屋　營建屋設計工程委託業務
page 6	請提擬保證產業抵償商庫證市商會再函商庫證會速清理省行之商庫證
page 6	吳鐵城未到粵前鄒洪兼代省保安司令職務各區保安隊將抽調訓練一區十四大隊經已成立
page 6	本省二月份對外貿易統計入超數為二百餘萬元國幣進出口數額均比上月增加
page 6	黃花崗擬闢為公園
page 6	西村新電廠裝機工程六月底始克完成改期於七月一日發電
page 6	市無軌電車簽約
page 6	限令沿堤小艇移泊中沿堤蛋民擬舉行聯合請願
page 6	長途車輾斃老嫗
page 6	蠶絲改建會擬在中大設試驗場請曾養甫任場長
page 6	投訴民船工會
page 6	新運會變更組織昨通告所屬知照
page 6	全省煙稅將歸煙行自辦日間財部即可批覆
page 6	河南各鄉人擬聯請增加新港路寬度
page 6	今日公祭黃主席
page 6	工務局開始清理果菜欄沿堤積穢昨晨派出大批使役沿堤　溶
page 6	鹽商定今日一致復業五項請求昨再交涉結果圓滿復業通告已發出宣言俟明日
page 7	今晨返滬
page 7	歡迎者眾
page 7	機身型式
page 7	載客七人
page 7	碧氏談話
page 7	陳漢光昨晨抵港談傳陳濟棠歸國之真相濟棠原擬同返船票亦已購定後聞那威農業發達轉往攷察
page 7	陳漢光談攷察經過
page 7	兩層巴士不宜行走本港馬路狹窄車身過大易發生危險港政府昨已批復中華汽車公司
page 7	功德圓滿青海省主席馬麟率朝聖團歸國昨乘巴蘇士輪抵港回教團體開會歡迎
page 7	崇正會賀曾養甫兼代粵財政廳長
page 7	增購巴士卅五輛九龍汽車公司利便搭客
page 7	陳濟棠現尚在那威
page 7	本港華僑對無線電播音漸感興趣請領牌照已達六千五百餘張仍希望播音台增加華文節目
page 7	頜照統計
page 7	是年情形
page 7	播音時間
page 7	海軍陸戰隊演習
page 7	自滬試航南來之薩哥斯基機昨抵港一度飛省即晚回港今晨返滬以後規定每星期二由滬飛港
page 8	被告長兄到堂作供
page 8	發覺火警捧水入廚
page 8	被告嫡母詳述所見
page 8	入廚飼雞被子攔阻
page 8	被告被責怒償柴價
page 8	女屍發現被告急逃
page 8	生面男子亦在樓中
page 8	柴店主婦亦被傳訊
page 8	僑團會議
page 8	六十餘團體決聯合迎吳羅旭和任大會主席孫璞復電表示同意
page 8	議決要案
page 8	域多利友國家醫院將停辦
page 8	舊大會堂停車場下星期六起准停車
page 8	海盜深夜劫漁舟
page 8	　有紅丸
page 8	誤殺疑案
page 8	身懷私煙
page 8	少婦吞煙膏自殺
page 8	摩禮信街昨發生截劫疑案
page 8	警探昨大搜歹徒拘疑犯十二人
page 8	強姦樵婦
page 8	窩藏少女
page 8	托詞行騙
page 8	殺人焚屍案四審趙嫡母及兄到堂作供指證火起時被告確在樓生面男子助趙搬柴母欲入廚被阻廚內火光熊熊被告紿母謂鎔爛鐵消防隊員到樓發覺屍體被告始逃
page 10	歡迎秩序
page 10	各項佈置
page 10	就職禮節
page 10	渣甸公司年會紀建築　輸三艘發展各　航業
page 10	中大考察團返省
page 10	新界救傷隊月報
page 10	塘沽結冰輪船受損
page 10	遠東杭業已有起色
page 10	昨又發生痘症多宗
page 10	建築新輪發展航業
page 10	武裝護勇悉數撤去
page 10	澳新督巴波沙今日到港逗留兩天十一日赴澳履新澳門紳商已紛紛來港候迎
page 11	存米商人繼續反對
page 11	汕市米額已准增加
page 11	免稅洋米將施管理
page 11	汕商証擬展期八月收回領戶團決向省府市府大請願
page 11	鄉民爭松枝毆傷人
page 11	省墓放槍誤傷一人
page 11	汕營稅額定卅萬
page 11	潮連鄉建基圍防潦
page 11	縣府強迫煙民登記
page 11	九江沙印突然沉下
page 11	鄉人掘三仙山金礦
page 11	各聯鄉辦事處成立
page 11	商會請撤銷團練捐
page 11	計劃用浮渡運汽車
page 11	限令報領自衛槍照
page 11	堪輿登山失足跌斃
page 11	槍決劫殺案三匪犯
page 11	匪徒劫稔山售吸所
page 11	調查蓮湖鄉械鬥案
page 11	通令強迫人民造林
page 11	汕米商仍反對洋米免稅汕方進口額准增至六十萬擔
page 14	某方經營津東鹽灘計劃闢碼頭建紙廠養葦植棉設兩模範村以愚弄鄉民長蘆運署制止出賣無效
page 14	鹽灘用途
page 14	條件內容
page 14	松花江義軍襲擊三姓鎮真相利用煙館為舉事場所殺日軍官兵三百餘名
page 14	大肆暴動
page 14	湘西苗民發生暴動何鍵命陶廣師相機處理並擬請高玉柱前往宣撫
page 14	武力解決
page 14	形勢嚴重
page 14	大量移殖日韓台人津日領館擬拓租界藉口人口膨脹不敷容納中央已加駁斥仍謀實現
page 15	關於中日國交有吉明著為佳蟬二
