page 1	法意關係前途
page 8	九龍倉改建第三號橋
page 8	三人私藏軍火分別判處徒刑
page 8	確實困難
page 8	三善棍冒名勸捐被捕每　徒刑十二星期
page 8	嚴防　輪襲擊　公布舉行戰時法例
page 10	東方菲島歸鴻
page 10	南華女子部下屆職員揭曉
page 10	南華決定派隊南遊預選球員加緊訓練
page 10	兒童游樂場協會下星期一年會各場將不借予成人賽球
page 10	東方征菲首次失利零比一受挫于郁戈隊
page 10	港菲女籃球埠際賽協會力戰敗績客軍後勁好卒獲勝利成績三十三比二十九
