page 1	國際之變動與我國
page 8	橫欄海面客艇遇賊
page 8	向空鳴鎗兩響示威
page 8	商賑會首批獻金昨已匯獻財部
page 8	宋子文先生會見記中國等候著血債的清償
page 8	英德意三國商船動態英德輪多艘已被政府征用
page 8	嶺大同學日定十七日舉行
page 8	六名手象棋奪鼎賽周德裕昨大勝蘇天雄
page 8	傭婦被控串竊
page 8	八月份之氣候是　得雨十二寸
page 8	今日棒球義賽華聯重逢美軍下午二時半在加山會師
page 8	勵進游泳團宵來舉行二次測驗各項結果成績甚 佳
page 8	南遊日記卅
page 8	夏令籃球賽今有兩場戰事昨日飛鷹破正社
page 8	警察運動場館本月九日揭幕屆時有一場足球表演賽
page 8	昨日心嘉杯戰績
page 8	戲院職工鼎賽程
page 8	橫　海盜橫行客艇兩艘昨相繼被劫各賊均持犀利鎗械勒迫停航兩艇財物被掠一空人幸無恙
