page 1	擁護中央與信仰領袖
page 5	整理粵省海防計劃江防部擴編第四艦隊司令部分別召見張陳二氏詢情形司令人選已內定在粵組設大規劃造船廠
page 5	禁煙賭後之彌補先借款以濟目前
page 5	湘米運粵推銷組設介紹處分處請粵省宣傳倡導
page 5	省營產物行銷兩廣准免稅毋須再發免稅照
page 5	革命前輩朱少穆慘遭橫死今請昭雪
page 5	南路廉北各地恢復常態中野案兩方開始調查淩士芬兩三日間調查畢返省廉北治安寧謐政府人員回任
page 5	粵金融統制問題財廳呈部請示
page 5	市財局措施近誌
page 5	誥誡屬員清廉自守
page 5	湯德民談粵省金融數要事
page 5	兩粵安定蔣委員長行將北返軍委會參謀處人員昨先赴京粵路運軍北上忙昨日民運全停頓
page 6	電力廠爐管爆烈總管邵宇之談話
page 6	梧州米運粵推銷須繳出口按稅每擔桂幣五角
page 6	　縣選舉不得藉水災展期
page 6	昨祭關岳紀盛
page 6	國大代表選舉面面觀
page 6	各業公會議請海關改善運貨証
page 6	河南南涌等鄉聯合自動禁煙
page 6	廣州商界三大派形勢解剖
page 6	農漁界糾紛告一段落
page 6	建廳消息治河委員會現經決定隸屬建設廳改設水利局
page 6	第四路軍　部現以一五二師團長葉賡
page 6	瓊崖綏靖委員許廷杰
page 6	希望蘇泰派組油中央分行
page 6	民政廳昨分令各縣市局長其已經來省者
page 6	整理財政中粵金融公債高漲找換業大獲厚利
page 7	港府實行編制新聞電訊電訊條例決於下月頒行明年春特別牌照亦取銷
page 7	討論購機祝蔣壽華商會今日召各界會議
page 7	冀姑娘度過難關
page 7	荷公主年底結婚明春來港渡蜜月
page 7	中央銀行粵分行大批新職員過港
page 7	國選事務所電請總所指示兩個問題
page 7	英國新郵票式樣
page 7	東華醫院之近訊
page 7	蔣派陳誠回拜港督來港日期現未決定港府已接正式通告
page 8	迎接選手
page 8	東京暴變
page 8	中日事件
page 8	集團婚常識演講昨晚由黃國芳擔任
page 8	華人船員總工會明日會議復興會務
page 8	押解余立奎警探昨已由滬返港
page 8	糖商請撤銷專賣蔣委長未有切實答覆
page 8	英駐遠東艦隊將有大調動
page 8	大腸熱症又盛行
page 8	醬料商會成立期
page 8	圖劫日婦案詳臬
page 8	史密士昨飛粵當午返港擬今日飛岷轉北婆羅洲
page 8	大阪每日新聞社長昨抵港謂中日兩國不致發生戰事中日糾紛日方極　和平解決對東京軍人暴變不願發表意見
page 10	劫案四疑犯提堂
page 10	婦人行騙
page 10	拋棄死嬰
page 10	藏製幣機
page 10	私運銀條
page 10	初級法庭案彙誌
page 10	繁榮會常務會議
page 10	浩華　統輪之航期
page 10	鳳山丸煙案判決證據不足被告獲釋
page 11	朱九江紀念堂舉行開幕之盛況
page 11	台海路附近謀殺案
page 11	警隊長被擊斃續詳
page 11	利旅一部離防返省
page 11	匪黨劫德利輪詳誌
page 11	執獲大幫私賣煙葉
page 11	土匪竟敢劫工程車
page 11	穀米弛禁出口佈告
page 11	禪業主請防軍他遷
page 11	各鄉聯合舉辦清鄉
page 11	滋事印人昨解來省
page 11	禪軍警破拐匪機關
page 11	勇於私鬥陽江四區兩姓大殘殺與鬥者二千餘人塌屋至七十餘間死傷亦將及百人
page 11	股匪洗劫石灣住宅
page 11	台山獄囚死亡驚人九月份僅廿二天死亡竟達十二名
page 14	漢日租界內日警被槍殺案詳情日海軍登陸警隊加崗電網密佈中日會審被捕華人結果無線索
page 14	東北淪陷五年吾同胞如處水火日人大量移殖國人無以為生凡亡國奴應有待遇均已備嘗
page 14	粵漢路翻車慘劇目賭紀火車的機車倒行汽車與火車搶路出事後鐵路員工之無狀旅客死傷光景極為悽慘
page 14	九一八五週年紀念日豐臺中日軍衝突經過迫廿九軍撤退目的既達了事天津情勢緊張日軍大舉遊行
page 15	因機車倒行
page 15	為一時意氣
page 15	往湘潭就醫
page 15	不見救護車
page 15	故慎　緩行
