page 1	英蘇談判與拉攏小國
page 5	我軍抄襲再犯鶴城之Ｘ南庄站戰事最烈現鶴山已無Ｘ蹤會城戰事雖寂我先鋒隊迭襲Ｘ陣
page 6	學生節擴大精神動員宣傳四日起一連七天
page 6	振濟會在韶開辦托兒所
page 6	大良傀儡橫征暴歛無物不捐
page 6	編組各鄉聯防團隊
page 6	嚴密封鎖沿海岸線
page 6	再度破壞公路交通
page 6	中山縣屬海防安謐崖門海口有Ｘ艦梭巡
page 6	中山縣民救國熱烈小學生加入模範兵車伕義拉報販義賣
page 6	廣海安謐海面已無Ｘ蹤
page 6	台山闢大窿洞為難民區已興工建造葵棚
page 6	省務會議通過要案更委雲潮連龍各縣長
page 6	省振濟會實施救濟難民各項辦法設置輸送站收容所收容戰區撤退難民
page 6	南路各縣戰時措施之積極情形嚴密封鎖海岸檢查來往船艇繼續破壞海康至廣州灣公路
page 6	我機迭向廣州活動我Ｘ發生激烈空戰Ｘ艦在獅子洋被炸
page 7	全港青年熱烈紀念五四運動聯合紀念會改七日舉行學界節約運動成績甚佳
page 7	汽車司機紛紛返國服務
page 7	珍妮慧芙杜賓今日到港今晚在播音台唱曲
page 7	東亞銀行推銷救債成績
page 7	警察當局發表新界防盜計劃加派中西警員駐各區警署並與深圳華警訂有合作辦法
page 7	華民司之談話否認英大使幾遇險
page 7	病婦跳樓重傷
page 7	碼頭業主請延長批期本港政府尚未批復
page 7	各界製贈征衣必須注意布質
page 7	抗戰特輯六集今日在中央戲院試影
page 7	英賑華分會日間出發勸捐
page 7	限制迫遷條例月底期滿或有更完善辦法頒布本港政府現正在積極研究中羅文錦主張取締貪利二房東
page 8	災區情形
page 8	塌屋三間
page 8	失蹤住客
page 8	傷亡甚重
page 8	死者調查
page 8	黃花岡
page 8	新界建築偉大壕溝聞係用以防禦空襲
page 8	租用船隻頗受影響
page 8	車輛失事統計去週死一人傷卅五人
page 8	保良局新總理今就職
page 8	Ｘ艦橫行我國海道各國航業大受打擊我商船全數停航損失尤重本港西商會去年航務報告
page 8	三月下旬貨運疲弱
page 8	七月初旬航運停頓
page 8	八月以後漸趨好景
page 8	歐局嚴重亦受影響
page 8	胡陳聯婚　盛
page 8	中國船隻多遭不幸
page 8	美國巡艦抵港
page 8	大同酒家之茶市
page 8	澳門塌屋慘劇續誌昨已挖出屍體廿九具重傷男女廿八分送各院拖救住客失　者甚多現仍在挖掘中
page 10	準備迎戰澳軍東方會陣勢排定
page 10	第三屆德權鼎今日開始報名十四號晚止截
page 10	許承基在英又獲勝利網球錦標準賽勝英選手麥非爾
page 10	友誼足球賽南華再戰海軍改明日舉行
page 10	光華會游藝部明晚舉行頒獎
page 10	知行首屆陸運訊
page 10	精武國術近訊
page 10	菲行瑣記
page 10	網球雙打準決賽林珍兄弟敗績何李組直下三局擊退一雙老霸主
