page 1	建國與教育
page 5	商准方便醫院
page 5	各江潦水暴漲
page 5	禁運物品檢查辦法粵省府轉飭所屬遵照
page 5	他尚不勝　舉
page 5	日集重兵於越桂邊境我軍猛攻日軍給養線邕龍線欽邕線均有激戰被拘築路佚役殲日逃脫
page 6	紀念八一四空軍節暨空軍抗戰三週年告僑胞書
page 6	佛山附近蓮華車站之激戰
page 6	粵三區署嚴禁販運錫餅
page 6	粵工合會推廣紡織工業
page 6	學生救濟會救濟清貧學生非限於參加統考者
page 6	粵民政廳訂定縣各級衛生組織計劃實施程序分為四期
page 6	東路海面日艦增加炮轟惠來潮陽陸豐沿海漁民抗日
page 6	日機兩架
page 6	惠博山洪暴發災情慘重水勢之速百年未見沖塌房屋其數極多軍政當局會議救濟
page 7	僑團學校聯合紀念
page 7	全港學生界之動態
page 7	獻金運動甚為熱烈
page 7	兩大公司義捐成績
page 7	金銀場可獻十五萬
page 7	四客乘艇被劫初來本埠誤落賊艇被劫財物且遭毆打
page 7	女界賣花舞姬義舞
page 7	擦鞋運動成績亦佳
page 7	九龍方面停辦獻金
page 7	華南汽車工程學校
page 7	衛生局昨流會
page 7	八一三三週年僑團學校隆重紀念一律懸半各界僑胞踴躍獻金成績良好義舞義擦賣花　成績亦優
page 8	惠陽商會籌賑水災兩日來募得二萬餘元
page 8	今日空軍節青年團體開會紀念
page 8	廣州魚菜假道澳門運港昨日又運到數
page 8	修正兒童遊樂場則例
page 8	防空總監談燈火管制當局所頒　例居民必須遵守
page 8	少年斬妻案昨日判決妻變男友情實難堪法官垂憐從輕懲處
page 8	港孔聖會募捐勸募員今日出發
page 8	珍廬書展閉幕
page 8	三角戀愛
page 8	日領崗畸將謁代督要求釋放日僑市口
page 8	值得憐憫
page 8	憤火中燒
page 8	兩個茶客跳樓一重傷一殞命
page 8	汛美機未到港
page 8	非法買賣小童三犯均受徒刑
page 8	破獲一字花廠拘疑犯九人
page 8	嶺大農學院遷回樂昌辦理圖書儀器首批起運
page 8	津滬撤退英軍週內來港增防
page 8	我國工合成績驚人每月產品逾九百萬元在渝設工合技術訓練學院友邦人士努力勸助並捐鉅款
page 10	國際棒球賽週末揭開序幕星期六葡萄牙對英國星期日大中華戰美國
page 10	今夕三角游泳對抗水國健兒二次動員下午七時半在中青泳場舉行宵來南華三次水藝成績顯佳
page 10	三角對抗
page 10	南華水藝
page 10	愛爾蘭杯賽參加者十六隊賽會今夕召開職員會議
page 10	高級學籃頒獎定廿四日舉行
page 10	梁鵬杯乒乓賽明日截止報名
page 10	夏令籃球戰績
page 10	南華音樂團動態
