page 1	歡迎吳主席
page 6	捲煙火柴等增稅後行商紛紛議請撤銷花紗增稅織造行首受打擊
page 7	貯存米穀七十萬擔
page 7	港米行代表準備請願吳主席昨電覆允在港接見米穀此次受阻損失六十萬元若不從速解決米商勢將破產
page 7	免稅受阻損失奇重
page 7	參加團體
page 7	吳氏略歷
page 7	粵省米荒尚待解決
page 7	請願公函墾切陳詞
page 7	全港米商皆蒙損失
page 7	吳主席昨電覆米行
page 7	保護兒童會舉行慈善跳舞會港督及其夫人均有參加
page 7	吳鐵城今日可抵港省各界代表先後來港候迎七十四團體明晨開歡迎會
page 8	佈置輝煌
page 8	巴氏抵澳
page 8	巡迴戲班街頭演劇裝腔作勢無異舞台名角每演一齣戲僅得數角錢
page 8	擴大義勇軍組織軍事當局已在計劃中
page 8	意外死傷之調查
page 8	首飾行商會開會討論設警鐘事宜
page 8	墜馬騎士傷勢漸愈
page 8	孤兒被棄於道旁一婦人拾歸撫養
page 8	葡國之英重治斯土華商頌揚澳督功德巴波沙昨就澳督職熱鬧空前日夜出會景搭大牌樓十餘座
page 10	購緝劫金舖匪犯
page 10	瑪利院明日開幕
page 10	華機會議長已選出
page 10	濤聲社員赴澳觀光
page 10	本港又多一西醫生
page 10	大成藥行新藥出世
page 10	千餘華工赴暹羅被扣留客頭造謠圖利之可惡
page 11	免稅米入汕仍未獲通融辦理
page 11	汕民船會駁艇部防私會經已成立
page 11	廉康公路撞車慘劇
page 11	改良各項生產
page 11	開拓角石辦法
page 11	嶺東經委會擬具建設潮汕計劃擬發行開發角石區獎券
page 11	獎勵國貨辦法
page 11	振興抽紗工業
page 11	泌沖匪案局部解決
page 11	警察干涉賣武被毆
page 11	猺民參神釀成火警
page 11	憤妻潛逃投諸濁流
page 11	新郎暴斃嚇煞新娘
page 11	招考田畝技術人員
page 11	龍山煙館全體罷業
page 11	百合發生離奇竊案
page 11	各聯鄉主任已就職
page 11	積極征編七期壯丁
page 11	嚴禁彩票馬票入口
page 11	江門積極濬深河道
page 11	鄧彥華定期視察南海各地警政南署遷佛之地址問題
page 14	財政部復市商會電
page 14	程天放歡宴德政府要人外長讚美中國菜交長背誦李白詩
page 14	成渝鐵路
page 14	興修三大鐵路工程推出順利迅速京貴鐵路明春正式通車
page 14	湘黔鐵路兩年以後完成
page 14	京貴鐵路本年年底報竣
page 14	滬納稅會電呈王外長力爭廢領判權請政府牒致各國定期廢止
page 14	本市外僑贊成取消
page 14	滬米商再電行政院實業部制止粵免征洋米稅原因粵免洋米稅後滬米價暴跌三度赴京請願置粵省民食不顧
page 15	菲律賓的偽滿第二
