page 1	所望於國聯會者
page 4	城隍街血案昨日提審原告陳培手已殘廢疑犯六獲釋六詳臬
page 5	會城戰事我已增強
page 5	杜阮戰事亦甚激烈
page 5	我游擊隊活躍甯路
page 5	中山附近已少Ｘ蹤
page 5	莞龍之Ｘ擾橫瀝被擊退昨Ｘ又進犯寶安各地
page 5	保安隊橫瀝退Ｘ
page 5	太平Ｘ犯黃松崗
page 5	四戰區發動廣泛游擊戰香翰屏兼游擊主任惠責節制一三四六各區縱隊統一東江指揮撤銷南岸司令
page 5	組織游擊隊指揮所
page 5	統一東江南岸指揮
page 5	汰弱留強整頓餉項
page 5	Ｘ艇擾三江被擊退
page 5	戰區政治部舉辦民眾團體登記
page 5	桂洲Ｘ兵全部他調後中山軍事已趨和緩團隊準備返防桂洲定期召開軍事會議
page 5	省公路處計劃發展戰時內地交通辦法擬定呈省府審查中並擬舉行公路車輛登記
page 5	西北兩路戰訊我軍鍾落潭激戰之捷音西江Ｘ防我游擊隊進襲強迫鄉民焚燬各地樹木
page 5	三水難民陷于絕境某師政工隊之撫慰
page 5	古直建議大理建省
page 5	更調縣長省府會議決定
page 5	北海關公佈禁運資Ｘ物往滬辦法須由商會保證
page 5	我軍突由象山繞攻會城前晚戰況激烈廿二晨戰事未已杜阮方面我軍亦猛向江門進擊
page 6	省衛生處派員視察地方衛生續詳
page 6	廣東僑務處請補助專款
page 6	劫後容桂實地調查
page 6	傷兵慰部組派員頒發委長犒金
page 6	粵動員會會議聘定各組主任幹事
page 6	李務滋整理新會各鄉游擊隊委派軍事人員統一指揮徵集新鶴兩縣各鄉壯丁
page 6	興梅兩縣人民奉令疏散
page 6	粵策動各縣民眾武裝自衛由黨政軍合組工作團工作進行決分為三段
page 6	各團組織
page 6	工作步驟
page 6	公益警察捕獲嫌疑漢奸一區署槍決兩紅丸犯
page 6	惠陽社會服務處昨開首次會議
page 6	粵軍管區通令各縣設國民兵由縣長兼任團長
page 6	博羅各地捕獲漢奸九名
page 6	粵振濟會敬告淪陷區蒙難同胞分別解決衣食住問題願少壯同胞獻身抗戰
page 7	兒童保育會游藝賣物會明日開幕在半島酒店附近之曠場舉行中英兒童名家閨秀參加表演
page 7	游藝秩序異常豐富
page 7	中英兒童化裝表演
page 7	英大使昨乘艦抵港在港小留然後赴滬
page 7	英名記者演講最近國際形勢順應民情張伯倫態度漸轉變英法蘇同盟有進一步之發展
page 7	華人人材登記開始華人登記請從速報名護衛地方即護衛自己
page 7	西班牙政府空軍隊長過港
page 7	少年途中遇刺受傷極重性命堪虞
page 7	堅道塌屋傷人
page 7	連日大雨之結果水塘存水創空前紀錄現有水量共達四十五萬萬加倫水務局昨晚通告今日取銷制水
page 8	留省七月
page 8	發生空戰
page 8	糧食恐慌
page 8	開業三星期之新中市寫真
page 8	諾貝爾尚留鼓浪嶼廈門局勢無大轉變
page 8	藥行商會新任職員題名
page 8	東安未到
page 8	歸途所見
page 8	西蒙斯昨赴滬
page 8	蘇安平獲准與夫分居劉君任須月給贍養費十六元四子仍由劉養育女與蘇同居
page 8	正式宣佈
page 8	管理兒女
page 8	母女費用
page 8	盜駕汽車案兩日發生五宗
page 8	郎靜山攝影展覽結束作品全部昨日售罄杜月笙等購入頗多
page 8	改良市區計劃決明年一月一日施行港九兩地工業區已劃定住宅區工廠均準備搬遷
page 8	財委會將開會追加政費三十餘萬元
page 8	馬寶道紅丸案三犯每處徒刑三年
page 8	市虎噬傷小童
page 8	廣西輪船員談留廣州七月之所見廣西輪前晚已脫險返港東安大利等輪仍未獲釋
page 10	乙組籃球聯賽勵行痛創晨光海光棄權青支勝青職
page 10	南華會續辦第九屆男女會友排球比賽即日開始報名下月四日止截
page 10	學界排球戰績
page 10	記者會海浴續訊
page 10	檢討實力南華南征隊淨勝海軍六球三內鋒先後建功晚上慶祝會盛誌
