page 1	克復餘杭富陽後我乘勝進攻迫近　　杭城敵軍已於昨午向城北撤退我軍進至六和塔杭州旦歹可下
page 5	省府公佈農倉保管規則
page 5	地稅改征國幣展期實行
page 5	登記醫務人材昨已開始
page 5	四路軍教導旅羅店護國戰之光榮傷愈出院請殺敵
page 5	粵桂之金融市況毫券仍舊行使
page 5	敵機昨分三批來襲在廣九粵漢投彈甚多欲衝入市區被我擊退
page 5	元旦日空襲記
page 5	潮汕要訊一束設救濟區
page 6	李福林昨午檢閱河南壯丁
page 6	元旦之河南
page 6	保安部電各縣相機收編土匪
page 6	軍政機關團拜
page 6	粵路員工組設宣傳列車沿線宣講抗敵
page 6	昨元旦日敵機大施空襲凡數次
page 6	元旦及二三丙日為新年例假
page 6	革命同志抗敵後援會
page 6	寶安歡送入伍壯丁囚犯四人亦請纓入伍
page 6	會計制度推進
page 6	地方財政改革
page 6	粵財廳長發表一年來廣東之財政機構調整後安定金融發展經濟縣地方財政改革推行會計制度二
page 6	照新章課稅
page 6	戰時各項辦法
page 6	上川敵兵全撤確訊離島時甚形倉皇
page 6	敵炸石龍民居
page 6	鐘村鄉鉅劫案
page 6	黨員組義勇隊
page 6	大橋鄉焚四屋
page 6	焚屋三間傷人
page 6	蕉嶺民眾擴大抗敵組織
page 6	南沙火警斃人
page 6	嘉獎得力區長
page 6	人虎墜坑同斃
page 6	全省工界上書蔣委長擁護抗戰主張
page 7	施救困難
page 7	兩死三傷
page 7	疋頭公會貫澈經濟救國初衷新舊職員昨舉行交代禮新主席黃量舒之演說詞
page 7	致開會詞
page 7	滿載電油
page 7	本屆主席
page 7	英增派一等巡艦駐華北明漢號候命東來
page 7	日關員留難過境僑胞各國輪船抵日境必遭檢查遇華客必任意艦詰及侮辱
page 7	港海員會電蔣委長擁護　　主張南洋僑胞獻旗軍事領袖由戰地記者團代表分獻
page 7	中山僑商會新舊職員交代
page 7	擴充本港義軍決增編華人機鎗隊容納未獲編列遺材
page 7	居民宜速種痘
page 7	赤坎輪仍被日軍扣留
page 7	德士古貨倉碼頭運火油船爆炸死二人三人重傷送入九龍醫院萬餘箱電油幾盡付一炬
page 8	干諾道西賊匪傷人
page 8	賊戴面具劫掠婦人
page 8	農人搭渡被匪截劫
page 8	香港學生賑濟會游藝賣物會空前收穫收款千餘元彩票未算女慰勞會昨慰勞過港傷兵
page 8	慰勞南下過港傷兵
page 8	石湖墟第三期捐款
page 8	惠陽青年回鄉工作
page 8	慰勞會十七期募款
page 8	鶴山商會募債成績
page 8	會寧同鄉組服務團
page 8	紅　再招
page 8	林祖游藝大會開幕
page 8	同盟服務團收賑品
page 8	中大服務團將出發
page 8	東華醫院易長
page 8	濤聲書畫社畫展開幕紀盛
page 8	澳門賽馬成績
page 8	苦力墮坑殞命
page 8	經警監今日銷假
page 8	遠東各埠之時症
page 8	干諾道西圖劫不成賊亂刀斬事主落馬洲深夜破門洗劫平山渡頭四賊劫農人
page 10	官紳獲獎勳位
page 10	撞傷漁艇輪船允償損失
page 10	南風學藝研究社昨舉行成立禮
page 10	團體歌詠比賽
page 10	小童墜艙慘死
page 10	南洋記者團在港設辦事處
page 10	印刷工會成立
page 10	孔教學院講學記
page 10	華仁舊生聯歡會
page 10	第三次國際列車抵港載來各國難僑二百餘人
page 11	鴻雁記秩生匯兌銀價
page 11	抗戰前鋒十三軍兩年血戰經過現在晉南用游擊戰術打擊敵軍士兵知道全國人景仰更守軍紀積極發動民眾軍打成一片
