page 1	歐局之緊張
page 4	接受絨球會請求鐵爾敦決來港將赴港督及　輪會宴會並作公開絨球演講
page 4	麗華杯賽華聯戰勝陸軍後球證忽主改期再賽華聯隊表示不服派代表擾理力爭昨日秩序委員會會議曾略談此事
page 5	中央祭胡大員之行蹤孫科對粵桂要員宣示中央對外方策張任民等定今日返桂向李白報告王寵惠赴桂促白氏早日入京林雲陔赴港候輪回京
page 5	四路軍交通警備團撥粵路警備司令指揮餉項概由粵路撥發
page 5	李福林由京返省有任兩廣監察使訊
page 5	粵路撞車案續訊王仁康之談話
page 5	建廳之趕築公路
page 5	進口貨編　問題各行商力請改善昨無結果擬再請求
page 5	廣州長途電訊前鑑街尾發生大火延燒舖屋百廿餘家廣九尾車因此緩開
page 5	河南郊外分期劃入市區
page 5	河南大塘厚德圍匪偷生果被獲
page 5	筵席捐潮波平復起酒樓行今日停售酒菜商人認為目的未達決停業靜候解決工人認結果圓滿通行全體代收筵捐此案已形成勞資糾紛風潮或有擴大
page 5	風潮緣起之各原因
page 5	商方失望波平復起
page 5	召開會議今日停業
page 5	工人方面認為完滿
page 5	各保安副司令今日委出定期開全省保安會議各縣之辦理冬防
page 6	粵國大代表候選人即可圈定王鏡澄自請退出候選人
page 6	廣州國醫藥界
page 6	湘省府主席何健
page 6	粵漢鐵路局在粵招考無線電生
page 6	粵省地政局
page 6	民廳限制吉凶慶吊之辦法
page 6	省營糖廠經理昨日補行就職情形在市頭總廠舉行劉維熾派呂秘書監誓遍請軍政長官觀禮當地農民搭埤樓歡迎定今日開農民大會
page 6	司徒錫就職後之重要布告
page 6	航商擬請恢復航業聯防隊
page 7	購機捐款展期今日匯京僑工會現募得二萬四千餘元
page 7	張任民昨晚來港
page 7	本港航空學校工程科考試揭曉
page 7	天一快船恢復航期
page 7	深水　發生火警
page 7	第三次平安運動下月廿三日起舉行
page 7	印更人行兇入獄
page 7	相差數目
page 7	昨日捐款
page 7	僑工方面
page 7	歡迎黃曾之辦法各團體昨已商定
page 7	參加辦法
page 7	男子被鎗傷入院
page 7	一個真正專家
page 7	林雲陔候輪北返
page 7	潘孔言君之母陳太孺人昨出殯
page 7	追悼魯迅之籌備
page 7	煤氣鼓爆炸案將研究賠償辦法
page 7	馬田飛剪號機定期飛港港菲空郵明春始能開辦
page 7	廣九車昨晚遲到原因廣州東山發生大火焚毀木屋百餘間車卡一輛晚車被阻至六時半始開行
page 7	展期原因
page 8	生子易養子難貧家嬰孩多夭折營養不足疾病叢生
page 8	羅旭和赴省任務
page 8	三英艦出海演習
page 8	民慧輪搭客投海
page 8	市虎噬傷兩路人
page 8	國大初選開票期辦事處尚未決定
page 8	雷車沽票員與苦力發生糾紛
page 8	東華萬善緣法會掛號附薦者見擠擁
page 8	中市魚欄他遷訊
page 8	英兵砍傷四婦案被告簽保了事
page 8	公立醫局新局落成
page 8	英報業大王羅達微力主英國與德親善痛論左翼勢力膨脹之非對納粹黨措施深表同情
page 10	宣述案由
page 10	多人合作
page 10	初級法庭案彙誌糾黨行劫
page 10	被　自辯
page 10	印刷不佳
page 10	窩藏小童
page 10	私運白銀
page 10	虧空疑案
page 10	攔途截搶
page 10	後備警察華隊消息
page 10	假冒車票安判決兩犯各處徒刑二年
page 11	縣府派員收畜牧場
page 11	黎任積欠逐步清發
page 11	惠陽四區行政計劃問答
page 11	縣府再廢一宗苛雜
page 11	趙曙嵐已就惠陽法院院長職第五萬等分院下月一日成立
page 11	石灣陶業突呈好轉
page 11	南畔鄉之杯酒釋兵
page 11	榨油廠近多數停工
page 11	匪拒捕斃警隊多命
page 11	順德匪斃農人用石沉屍
page 11	新生活運動之巡行
page 11	指控縣府恣收船捐
page 11	坭工觸地雷被炸傷
page 11	匪劫西平電船續詳
page 14	猶太人歸故土努力復興民族文化耶路撒冷近郊創設新市建立博物院集繪事大成
page 14	滇省交通上之重大成功箇碧石鐵路舉行全線通車禮全長共一百七十六公里費時二十餘年始全告成
page 14	通車典禮
page 14	築路動機
page 14	有田外交之批判一元化政策陷窘境霞關存在已為世間忘去
page 15	苦雨齋中周作人談魯訊往事魯訊原配夫人尤為傷感
page 15	營業狀況
page 15	各段里程
