page 1	波蘭危矣
page 7	賑聯會昨例會賑災團體求捐助均遭否決
page 7	各集中營難民略減上週已有八百餘人離營
page 7	西商會報告本港商業過去與將來去年一月至九月頗呈蓬勃之象華南發生戰事後前途難抱樂觀
page 8	學界節約運動今日為最後一天
page 8	訪日德機抵港今晨離港飛台灣
page 8	粵慰勞會招商承製征衣
page 8	華僑協進會定期行開幕禮
page 8	港大醫藥會下屆職員選出
page 8	兩犯跳車重傷
page 8	華南浸信會賑災會搶救石岐難胞概況設招待所招待過境難胞與岐關車公司聯合施粥
page 8	旅越瓊僑函詢匯款賑災手續
page 8	域多利街水火警
page 8	潮僑學會討論保衛潮汕問題
page 8	三賊截劫西人
page 8	捕獲劫艇疑犯
page 8	粉嶺難童學校將興建佔地十萬尺可容千餘人
page 8	免費交際電報收發七千餘通
page 8	全港話劇界大聯合今晚起公演黃花崗籌款撫恤抗戰陣亡將士家屬一連表演三晚演員凡三百人
page 10	許承基在英又獲冠軍決賽勝謨罕墨總成績三對零
page 10	足球友誼賽南華今戰海軍券價特廉
page 10	澳門埠際足球隊將來港向東方挑戰
page 10	籃球聯賽今晚東方對星島乙組有兩場戰事
page 10	庇理羅士女書院昨日舉行首屆陸運會廣東隊獲各省隊賽冠軍
page 10	港足球隊在菲再次敗北一對三負與拉沙里
page 10	英文中學校際陸運喇沙獲全場冠軍拔萃與中央分列亞季軍撐竿跳郭志雄創新紀錄
