page 1	汪精衛入晉與晉省之現象
page 11	何縣長將晉京受訓
page 11	各聯鄉辦事處成立
page 11	冒認職員行使偽幣
page 11	南海搜獲謝邊鄉私煙窟
page 11	請恢復平葛院聯團
page 11	老婦縊死拘究逆孫
page 11	汕頭嚴懲警察收受陋規撤差監禁者已有多名
page 11	五區專署通令改善交通頒改善興豐揭汕交通方案
page 11	昨晨聯合紀念週余漢謀報告三全會經過充分表現精誠團結國事樂觀救濟粵糧食　貨幣案有好結果各方樂助粵建設希望大家努力
page 11	團結精神
page 11	所得收穫
page 11	關於本省
page 11	全會感想
page 11	崇義祠開子孫大會
page 11	捕獲三個圖劫匪黨
page 11	與母口角放火自焚
page 11	米荒漸趨和緩各縣糧食調節會多緩設汕頭分會定期二十成立
page 14	一大漏厄
page 14	統籌兼顧
page 14	檢驗標準
page 14	運粵湘米
page 14	自來水筆大王派克來華觀光每年產筆達三千九百萬枝遠東專賣權被某國人侵佔
page 14	參加巴黎賽會出品定期下月初分兩批運法　民誼準備親往參神
page 14	檢驗標準減低湘米源源運粵奧漢路擬具運米入粵辦法用大機軍起運每日開一列
page 15	分為兩批運法
page 15	參觀玉藝者多
page 15	洛陽法院看守所囚犯暴動越獄逃出卅六名追獲廿三人主任看守重傷生命危殆
page 15	越獄詳情
page 15	軍警協緝
page 15	深夜審訊
page 15	逃犯姓名
page 15	日本之將來四
page 15	武力的發展乎經濟的發展乎
page 15	軍備擴張與國防之安全
page 15	褚民準備親往
