page 1	法蘇關係之前途
page 6	杜軍開會追悼崑崙關陣亡將士四月五日在柳舉行
page 6	粵省施行新縣制積極建設鄉鎮保教育鄉保分設中心國民學校辦法已定提交省府施行
page 7	挪輪脫險赴滬
page 7	留營難民略增
page 7	防空監理處最近工作報告防空實力較前大增
page 7	陳尤山昨返防
page 7	勒馬洲發現受傷男尸
page 7	防癆會昨會議醫務處撥款印宣傳品請速頒行禁吐痰條例
page 7	東院主席李耀祥之談話婦人利用懷孕行騙
page 7	難童三百餘移遷粉嶺新院兒童節舉行夜火會
page 7	中華醫學會在滇召開年會本港決派代表參加
page 7	救債分會銷債成績以義堂購四萬六千餘元
page 7	園林監督通告掃墓人須愛護草木
page 7	風雨中紀念黃花節全港僑團下半旗誌哀
page 7	覆舟溺斃一人
page 7	港督羅富國主張設社會幸福會
page 7	港九住聯會將請港府再延長保障住客條例對新住客亦請列入保障之內保障商店學校呈文在草擬中
page 8	日軍阻截新會振米
page 8	中山邑僑亟謀散賑
page 8	各邑紛開平糶會議
page 8	登巴馬　易主九名駒讓與李照南代價為二萬五千元華僑賽馬興趣日濃照南代價為二萬五千元華僑賽馬興趣日濃
page 8	仍屬舊主
page 8	另組一
page 8	主要份子
page 8	蘇輪西冷嘉號已獲釋港當局未檢去船上貨物
page 8	九龍牛池灣田心村一婦人嚇退三賊匪爛頭島海面七賊截劫漁船
page 8	大公報失紙案接贓經紀入獄
page 8	鄺山笑赴深圳勞軍及散賑難胞
page 8	匪徒假冒書信行騙本港居民須注意提防
page 8	囚犯被控殺人初級法庭昨日提審
page 8	巨著遺失原稿聚珍收樓懸獎訪尋
page 8	中順等九縣米荒嚴重旅港僑商趕辦平糶順德新會每元國幣僅得米八兩望海外同鄉踴躍解囊捐資救濟
page 10	今日銀牌決賽展開東南大戰下午四時對陣加山工力悉敵定有看頭
page 10	清
page 10	關
page 10	過
page 10	滬
page 10	中南中學學生體育動態
page 10	小型足球戰訊
page 10	南華女子徵求領隊歡宴各隊員
page 10	保羅陸運會改期
