page 1	弱小民族之抗戰
page 5	槍決數漢奸
page 5	敵機炸潮屬
page 5	由三日晚起廣州軍警嚴密戒備情形當局發表談話闢謠
page 5	敵機四十八架昨向粵各地狂襲廣九路發生劇烈空戰
page 5	旅美華僑幫助辦理運軍用品
page 5	廣州募製寒衣捐款新法
page 5	敵機昨擾肇慶
page 5	徐維揚呈辭統率委員職
page 5	改善車伕生活
page 5	財廳函復商會未便減征營稅
page 5	敵機擊殺女童
page 5	敵艦十餘艘敵機多架昨晨兩度犯虎門不逞同時進犯寶安中山均被我軍擊退敵機狂襲潮屬馬鬃敵艦又圖蠢動
page 6	各縣義勇壯丁隊撥充自衛基本部隊
page 6	台山南澳兩縣府電告敵艦蹤跡
page 6	汕後援會實行除奸工作
page 6	匪徒破壞交通
page 6	積極推進鄉政
page 6	貨商中途被劫
page 6	童軍返鄉服務
page 6	敵機擊斃鄉民
page 6	壯丁轟斃劫匪
page 6	擊斃運鎢私梟
page 6	禁壯丁吸鴉片
page 6	始興縣中兩宗鰥寡的趣聞鰥夫寡婦向長官陳情一則怨及父母一則老尚多情
page 6	敵機迭竊潮汕記金門敵機場築成
page 6	敵艦砲擊香洲詳情敵機在香洲墜下我方搜索敵機師敵派機及艦攻香洲傳敵登陸不確
page 7	港當局佈告
page 7	省港輪停擺
page 7	留粵各輪船
page 7	停粵海外艦
page 7	火車客擠擁
page 7	貨運受影響
page 7	省澳輸停航
page 7	粵人心鎮定
page 7	許世英昨由港飛漢邵毓麟孫理甫等同行
page 7	陳公博訪港督
page 7	警官奉令遷調
page 7	顏福慶昨抵港
page 7	飛剪機未到港
page 7	拐帶疑案過堂
page 7	敵又截劫漁船船上財物被掠一空
page 7	嚴防敵艦偷襲粵當局昨再封鎖珠江口省港水道交通斷絕廣九路增開快車一閃利便行客敵艦昨晨炮轟赤灣被我軍擊退
page 8	懸掛偽旗
page 8	異常憤慨
page 8	高呼口號
page 8	紀事經過
page 8	本港當局擬再舉行防空演習燈火管制延長兩小時日期俟決定後即公佈
page 8	鶴山　會再致函救債會請領導僑胞移租購債勿因一部未同意認為難行應予愛國業主以報國機會
page 8	鶴山商會函救債會
page 8	同盟婦女團救護隊
page 8	國展會昨開幕各譽會長羅旭和行剪綵禮陳其尤播音演講倡用國貨
page 8	剪綵典禮
page 8	主席致詞
page 8	會長演詞
page 8	陳氏演詞
page 8	東安輪明日赴澳
page 8	救護班定期開課
page 8	衛生局經歷屈
page 8	我駐橫濱總領邵毓麟一頁外交的勝利史親赴福建商會扯下偽旗一面日記者在場目擊均予以同情
page 10	上海難民南來明日又有百餘人到港
page 10	一九三七年車輛失事統計死七十八人傷千餘人
page 10	澳馬會賽馬消息
page 10	港輪赴廈須受檢
page 10	英輪黃埔號被炸經過該輪船主日記紀錄甚詳
page 12	中日戰爭還在初期
page 12	中國方面具有成算
page 12	中國地位無須悲觀
page 12	日本經濟難以持久
page 12	美遠東問題權威柏弗爾論中日戰爭之決勝點不在陣地得失而在經濟壓力之強弱日本對華作戰或恐難延長至二三年
page 13	省毫券市沉寂
page 13	舊中紙價趨跌
page 13	廣東各縣市救護隊組織辦法黨政軍聯會訂定飭遵
