page 1	何謂新文字
page 5	三江柴船恢復運輸柴價漸落敵機又在西江擊柴船
page 5	敵兵在惠陽平海登陸遭我軍反攻傷亡慘重現平海地方已全無敵蹤各島敵兵奉令北上增援昨日沿海敵艦行蹤彙報東江遭害船隻最近情形
page 6	廣州市抗敵後援會壹告溫陳家屬及上海同鄉書
page 6	告溫陳親屬書
page 6	中山壯丁擊退敵汽艇三灶焚斃敵及漢奸甚眾伶仃洋面敵艦截劫糧食
page 6	各屬營稅由縣府協同審定赤坎商會請照案征收
page 6	汕後援會運荳進口展限
page 6	舊嶺各校組團宣傳抗戰
page 6	新會縣府保護崖門漁民出海捕魚
page 6	防空處令新會縣府調查降落敵機
page 6	偵緝擊斃著匪
page 6	召開征兵會議
page 6	據潮梅敵艦又增加梅防空部電告擊落敵機經過
page 6	敵　漢奸份子招誘壯丁出口供敵利用省府飭各縣政府嚴為制止並咨請廣西省府聯同查禁
page 7	旅荷僑胞又捐大批藥物小學生救濟捐已匯漢國醫救護隊候命出發
page 7	小學生救濟捐北匯
page 7	音樂籌款會昨閉幕
page 7	國醫救護隊蔣出發
page 7	歌舞大會昨夕開幕
page 7	華南中學捐贈雨具
page 7	防軍定期操砲
page 7	海盜圖劫輪船
page 7	荷李活道新西街兩人用刀斧格鬥重傷一人流血過多暈厥恐有性命之虞偵探部即派員取錄傷者口供存案
page 8	　幹宏生前之口供
page 8	劉光輝曾手殺三人
page 8	英國屬土電報減費無論何埠均同一價格徵收
page 8	獲中馬票回鄉　神三十五個傭婦被擄大排筵席忽來暴客兩人機警幸獲脫檢傭婦被擄大排筵席忽來暴客兩人機警幸獲脫檢
page 8	劉光輝怕被處絞刑
page 8	羅旭和關心水費問題
page 8	是季可免水荒
page 8	史蔑特昨赴菲
page 8	警探搜捕歹徒
page 8	一人投海遇救
page 8	芽菜坑山洞謀殺案三審首被告劉光輝翻前供否認槍殺　幹宏祇認槍殺　幹卿幹宏係於互和糾纏時為其兄誤殺
page 10	反婢會昨會議
page 10	臨大學生第三批昨赴滇
page 10	港政府委任令
page 10	五千元鉅竊案疑犯昨日提堂
page 10	踢舞女案過堂
page 10	菲島發生颶風是年第一次警耗
page 10	衛生局之議案
page 10	章乃器夫人定期演講時事
page 10	港府財委會定期會議將追撥政費四十餘萬元
page 11	忠骸回陣
page 11	被迭次轟炸的蕭山
page 11	在烈士墓前
page 11	敵軍的炮火教育了老婆婆
page 11	淅東前線巡禮二
