page 1	春節中之戰局與外交
page 6	搜獲偽藥解案
page 6	潮閩沿海敵艦行蹤與我方防備佈置近訊敵派大熊政吉指揮侵華南但台灣革命潮急南侵力薄潮閩防務之聯絡宋天才到廈視察
page 7	國貨展覽會今日正式開幕參加廠商几八十餘家並增設各種游藝助興
page 7	開會儀式
page 7	大會宣言
page 7	參加各廠
page 7	許世英今晨飛漢述職孔祥熙王寵惠等致電歡迎
page 7	英駐華海軍司令諾貝爾昨抵港代司令奇拉巴即返英港防空總監亦已委出
page 7	日副領將返國
page 7	救傷隊聯歡紀莫理士獲獎勳章
page 7	輪客傷人蹈海
page 7	日艦劫巴拿馬商船案巴政府將向日提抗議
page 7	自幼至老不可不知
page 7	澳門官紳賀年
page 7	少年墮樓殞命
page 7	傳粵軍事當局再度封鎖虎門海口佛山東安等輪昨晚均停止落貨惟陳策夫人謂未得聞此項消息
page 8	商會收到債款捐款
page 8	越南華僑推銷公債
page 8	鯉門船員努力募捐
page 8	杜其章氏不日飛漢
page 8	女籌賑會賣花籌款
page 8	本港學生下鄉工作
page 8	撥印月份牌款購債
page 8	敵機昨日又襲廣九路上下行車均被阻遲到
page 8	戰區難民移殖會發表贛南懇殖宣言第一批難民已抵港將轉程赴贛希望政府及同胞予以充份協助
page 8	出發宣言
page 8	重要意義
page 8	痘症流行日烈一週內發生百二十宗
page 8	工人慘死車下
page 8	大潭谷發現野犬蹤蹟
page 8	劫案又獲疑犯
page 8	陳其尤參觀農場
page 8	鑰智校成績展覽
page 8	九龍閱報者注意
page 8	華商總會募債隊昨商定分區出發程序決於本月七日開始工作一連七天籌賑會昨又收到長期捐款萬餘元
page 10	本港氣候
page 10	行騙疑案判決證據不足被告獲釋
page 10	東安輪定期赴澳
page 10	志如女校大擴充
page 10	財委會追認去年政費並通過本年　　政費
page 11	美人仗義排難愛理遜被毆辱美國務院公佈經過詳情利格斯氏竟被毆擊兩次起因不直日軍強姦華婦
page 12	孟買銀價略降
page 12	港外匯市極靜
page 12	各國幣價伸算
page 12	各行股票市情
page 13	告民眾書
page 13	快郵代電
page 13	敵機飛炸三水詳情在西南郊外投彈十餘大草船一艘著火沉沒
page 13	潮屬各縣旅汕同鄉請免米稅獻議辦法貢獻辦法兩點
page 13	汕市輪船公司星檳票價未決
page 13	潮關去年稅收大增絲織品磁器之輸出
page 13	市長布告征兵
page 13	募集購機捐款
page 13	敵機窺伺大良
page 13	匪洗劫棉花圍
page 13	拜神釀成火災
page 13	佛山焚舖五間
page 13	敵機追逐電船
page 13	鶴山縣黨部公佈敵濫炸縣民暴行中國雖大何處是安全樂土俗保我軍家民族惟有抗戰
