page 1	滄州事件日向我無理要求
page 3	行營賀代主任國光
page 3	特二院十七日續審唐有壬被暗殺案
page 3	廈門警局警長陳祥霖
page 3	參加綏蒙政會週年紀念大會後汪閻乘機離綏飛抵太原赴綏參加大會各將領及部隊亦紛返防次汪定日內返京蔣代表熊斌赴平返京復命
page 4	公開網球賽李惠堂勝李士今日雙單打共有三場
page 4	傑志職員昨選出
page 4	精武體育會本年續辦越野跑女子長途跑實創紀錄
page 4	英京銀價仍趨漲
page 4	昨晚普通界籃球賽青年會輕取華南隊華僑甲大勝南華華
page 5	三年中心計劃會同審查之結果決定原則三項
page 5	各方商人請改善所得稅內容對手續稅率等均有要求主張以五十元為起征點
page 5	改善申報
page 5	細則方面
page 5	征收方面
page 5	省營糖廠裁經理制真相純為節省經費統一管理各分廠均改稱糖廠直接工管處司徒錫仍任市頭廠長建廳否認派員監視點交
page 5	某竹灘石炸毀問題將由三機關試驗決定第七滘開闢航線利害尚待水利局測驗呈
page 5	財廳整頓稅收沙田採商辦制度一年後作民田征稅
page 5	行商聯議應付營稅案紀要七十餘行談決聯合暫緩申報靜候官方展限及保證不增稅
page 5	菸葉稅額仍待決菸商召開全省會議
page 5	四路總部連日召各將領會商限期完成軍事中心四大工作緩靖國防徵兵軍墾
page 6	假扣押航公司物業
page 6	江門家屬返江會議
page 6	死難家屬被毆宣言
page 6	海口市商會謁辦米救荒辦法
page 6	省府議決禁穀米出省辦法
page 6	英國　華大使許　林
page 6	建廳十七日委綏署建設科長葉緯卿
page 6	四路總部定廿二日上午五時召集各軍政機關長官
page 6	建廳前派張仲新代理省營　物經理處經理
page 6	廣東省立銀行鶴山辦事處籌備完峻
page 6	廣州市長會養甫昨十七日由滬乘輪返粵
page 6	中委兼立法委員李曉生以立法院長孫科
page 6	省會警察局定期接收瑤頭沙河南分局
page 6	廣州市新運促進會
page 6	廣州市選舉甲長
page 6	粵路全線之整飭
page 6	坊眾呈請改善建築太平鐵橋
page 6	請免加鹽稅續聞
page 6	改良南海蠶絲業計劃設立三個表證區與蠶絲局訂定技術合作鄧彥華任表證總區主任開辦費一萬元
page 6	設表證區計劃
page 6	表證區組織法
page 6	表証區經臨費
page 6	民族渡案昨晨再審工商公司物業假扣押死難家屬被毆後昨發表宣言江門家屬返江後有重要會議
page 7	兩車劇戰敵機轟炸昂船洲
page 7	防敵偷襲噪林烏港施戒備
page 7	請纓從戒義　軍出海巡暹
page 7	糧食管理市面營業如　狀
page 7	疫症流行請纓者奮不顧身
page 7	紅軍戒備陳　穩固勢愈強
page 7	施放警察以防敵　毒　斯
page 7	闔　警員注意警號之由來
page 7	敵艦迫近冀消滅全部紅軍
page 7	粵禁運銅仙出口海關嚴搜輪車搭客
page 7	上官雲相參觀省營製紙廠
page 7	汕頭市政府取締商人操縱星檳船票價函潮州旅港同鄉會徵求辦法
page 7	黃埔征收開埠稅商人多從陸路寄貨
page 7	軍事大演習第三日敵機昨轟炸昂船洲紅軍遭損失後戰鬥力增強藍軍於總攻時擬用毒瓦斯
page 8	公路綱完成
page 8	鐵路鋼興築
page 8	礦產極豐富
page 8	工業尚幼稚
page 8	湃亞士灣海盜又蠢動日前　匪八名　密出發本港警探通告各輪防範
page 8	李星衢昨餞曹鐸
page 8	大利瑞生昨入塢
page 8	本港米價將低跌
page 8	廣東省立銀行港分行舉辦私人小放款詳細辦法在起草中六月中旬即可實現
page 8	劉維熾函謝港僑
page 8	深水　住戶激增
page 8	然發覺其中滿藏毒物
page 8	宣讀案由
page 8	車輛失事之統計
page 8	高級法庭提審日人運毒案搜獲之毒藥可製紅丸千餘萬顆被告否認為已物謂係代友攜帶
page 8	識黃祥生
page 8	阻止幫辦
page 8	九關城慈雲山下兩印人強姦兩樵婦一婦姓產未久被姦重傷事後警探拘獲疑犯兩人
page 8	入山採樵
page 8	突遭強暴
page 8	產婦重傷
page 8	拘獲疑犯
page 8	被遣回籍之菲民卅餘人昨日過港
page 8	英警同樂會馬票攪珠之結果頭彩可得四千餘元
page 8	彌敦酒店圖劫案證據不足被告獲釋
page 8	第二街發現一男屍
page 8	兩人打架一人車傷
page 8	學生數學比賽揭曉
page 8	賑綏慶蔣特刊出版
page 8	醬料涼果商會會議
page 8	湘省府經濟顧問菲寶博士暢談湘省建設公　發達交通方便今非昔比礦產豐富如能開發未可限量
page 10	小輪與貨艇相撞
page 10	會景籌委會定期開行頭會議
page 10	拐小童老婦入獄
page 10	一苦力墜艙斃命
page 10	總統輪船改期開行
page 10	夏季馬票開始發售
page 10	衛生醫官時症週報
page 10	機器壓斷工人右手
page 10	婦人失慎墮地傷臀
page 10	警探夜搜查樓宇五間共拘去無業男子八名
page 11	潮汕儲糧之難題
page 11	財廳再派員到中山會勘二區沙坑田
page 11	石龍近聞兩誌
page 11	紙廠辦植麻貸款
page 11	潮汕營業稅潮官商兩方態度強硬
page 11	潮汕商之大聯合
page 11	請財廳展綏申報
page 11	稅局決處罰停業
page 11	爭搶喜炮鬥毆傷人
page 11	圖劫未成殺死兩命
page 11	聯鄉主任經已委出
page 11	各聯鄉辦事處成立
page 11	縣政府查究覆車案
page 11	走私婦人躍海自殺姊溺斃後妹欲投海被客伴監護帶回石岐
page 11	塌屋壓死全家慘劇
page 11	商翁再請撤商業捐
page 11	葵扇罷工潮未解決
page 11	茅寮火警燒死三人
page 11	匪深夜鑿牆竊鉅款
page 11	各屬辦平糶近訊
page 14	察北傀儡配劇準備粉墨登場察蒙八旗總管將開聯會蒙偽匪編一軍不足萬人
page 14	各旗總管均到
page 14	群旗總管姓名
page 14	蒙偽軍改編後
page 14	北平警察局破獲販毒機關主犯勾松齋色結某國人豫省遍地毒氛皆勾包銷勾及各犯十餘人均被逮
page 14	鄂中將闢運河聯貫江漢便利各省貨運江漢工　局已派員測量
page 14	德國食糧資源俱告消蝕厲行四年計劃結果全國生活導入準備大戰之河床工廠企業積極轉入軍事化軌道
page 15	太平洋為目標
page 15	美國空軍之大躍進
page 15	太平洋航空爭霸戰二
