page 1	現階段的國際形勢
page 6	日軍南侵聲中韶各機關討論救僑問題省府擬定接受僑資發展經濟計劃僑務座談會已決定救僑辦法三項
page 7	造成米商操縱機會
page 7	米貴至此實無理由
page 7	明晚開始制水停止夜間食水供給
page 7	美決積極應付日本對遠東非僅用恫嚇政策
page 7	米店定價高低不一
page 7	市民切勿自相驚擾
page 7	清糞辦法改良有待清糞工人籲請維持生活市政衛生局現在考慮中
page 7	霍亂症未撲滅去週發生六宗
page 7	越南形勢緊張越商已電港停止辦貨原定今日寄付之貨物亦退回越華僑商業在部份已告停頓
page 7	印刷行勞資繼續談判勞方謂所提條件非荷
page 7	英駐日大使館武官今日抵港
page 7	澳門輪船運到大批雜糧
page 7	居民聯會繼續施派棉衣
page 7	米價暴漲實無理由統制署派員徹底查究某紳勸市民毋自相驚擾造成零售商人縱操機會
page 8	私運白銀出口案上訴臬司宣判增加罰款充分銀條准予發還
page 8	滇緬路將恢復商運港貨已紛紛運仰光準備入滇
page 8	窮漢鬻子受懲買主亦被處罰
page 8	英人獻運動捐　將達百五十萬
page 8	赤桂住戶被劫失　僅廿餘元
page 8	偷連偽幣人境案公審被告祇認代客攜帶行李不　夾京　藏有偽幣
page 8	老人宣慰團團員分批出發
page 8	工程師談
page 8	勘定地點
page 8	輕而易舉
page 8	防空局趕建避彈室三百間已有數十間竣工成績甚佳雪廠街防空洞昨開始挖掘
page 8	吳鼎新昨返港
page 8	美政府限制人民遊歷遠東港工商仍　當營業
page 8	皇仁學生會匯付學生貸金
page 8	扶輪會募款購救護車分贈中英兩國政府
page 8	代督岳桐巡視難民醫院
page 8	岡崎今日返國
page 8	劫殺案四疑犯巡理府昨提堂
page 8	今日試放警報
page 8	粵救護會會議
page 8	市虎噬傷兩人
page 8	兩賊截劫漁人
page 8	破獲一字膽廠
page 8	去月本港氣候
page 8	移民局發證極慎重並無委託外人辦理申請地點只限總局或各辦事處市民領證務須意免多費手續
page 10	週末東星大戰今日預售門票分一元半及一元兩種
page 10	國幣市價續升收市二四四
page 10	四四金市仍靜全日無成交
page 10	滬外匯市轉鬆
page 10	英銀縮半個咽美英匯兌縮半個
page 10	公開女子籃賽業已開始報名
page 10	南華陸運大會明日止截報名
page 10	今日學界籃球賽中初級各有兩場舉行昨日中級平正大破皇仁初級南華棄權華大得利
page 10	米價飛漲不已米碌竟升三元幸有暹船四艘在途將有大批新貨接濟
page 10	本港股份市情堅穩賣家索價較前日尤高
page 10	友誼籃球戰績
page 10	港外匯市穩定申電收市緊至三九七
page 11	西班牙戰時食品
page 11	閒話逾齡艦
page 11	納粹軍用飛機列傳下
page 11	羅政變與鐵衛團
