page 1	今日的青年訓練
page 4	傑志視復興紀念日
page 4	友誼籃球仿林中學和勵行成績四十二對四　二
page 4	南粵將作分隊比賽
page 4	昨日旭和杯賽苦戰一場三對和局兩隊異日決雌雄陣勢不完全場屈居人下險象迭出最後兩分鐘李惠堂怪腳保得河山
page 5	甘竹灘石炸毀問題候新主席核定水利局員測量七滘完畢返省覆命黃工程師昨與本報記者談七滘之開闢難
page 5	四一開交通會議
page 5	吳鐵城電謝各委
page 5	京粵長途電話昨日正式通話
page 5	廣州營稅潮有解決趨勢軍黨當局指示解決途徑省市商會聯作最後請求最後消息已得圓滿解決
page 5	當局指導
page 5	擴大請求
page 5	繼續會議
page 5	致財廳函
page 5	何余談話
page 5	蕭梁談話
page 5	馬曾談話
page 5	余俞談話
page 5	孫宋南來期續訊建廳秘書談
page 5	　　席電李白到衡州會商要政何鍵派席楚霖來粵候迎林主席到衡州
page 6	革命老人上書林主席為華僑請救濟定廿九日覲見
page 6	菜商與圍主擬派代表謁林主席請願撤銷菜稅
page 6	皮業糾紛未解決勞資兩方之近況
page 6	所得稅辦事處對商會請求函復
page 6	蔣作賓南來巡視
page 6	廣州新聞檢查所對登載社會新聞之限制新訂標準八項
page 6	與經費問題有關係各縣改制改七一實行改制後各員薪俸均增加
page 6	現行各縣組織
page 6	改訂之新組織
page 6	改定七一實行
page 6	財廳佈告招商投承沙田捐稅
page 6	運銷免稅洋米四一開始登記鄂米之運粵訊
page 6	廣東鎢業分處擴大組織尚有待
page 6	鹽商反對粵鹽增稅運署派員參加會議推定救亡處委員並向林主席講願
page 7	協會目的
page 7	中暹交通
page 7	名譽理事
page 7	理事名單
page 7	歡迎入會
page 7	中國中暹協會章程
page 7	中環街市將改建商販紛紛覓地遷徙
page 7	死不瞑目袁汝祥同穴之願難償生前有人追死後無人葬東華醫院施棺殮埋香骨
page 7	羊石歸來不見愛女
page 7	黃昏人約慈命難遵
page 7	紳商今午宴英使
page 7	前度劉郎悄然歸里
page 7	無力量珠傷哉貧也
page 7	英女畫家個展會
page 7	籐篋中發現死嬰疑是私生子被勒斃拋棄
page 7	暹商務員威力返港談中暹協會設立目的溝通兩國文化發展雙方貿易中暹海軍交通線現在籌備中
page 8	剪綹匪事敗行兇
page 8	不孝有三無後為大
page 8	廠商聯合會考察團今日上省
page 8	婢制調查團報告書中關於我　舊婚制之紀載不孝有三無後為大娶妻志在承先啟後
page 8	搜旅店拘一住客款　天　劫案有關
page 8	陳濟棠現留歐洲考察各　政治經濟
page 8	慶祝兒童節辦法僑教會昨日已商定
page 8	妻妾名份各有不同
page 8	爆石炸傷一工人
page 8	長庚艦血案疑兇昨日已痊愈出院
page 8	救傷隊年操秩序
page 8	西貢道汽車傷人
page 8	男女自殺案四宗兩女死兩男遇救
page 8	胡文虎今晨抵港
page 8	中央派專員赴越視察當地之僑務
page 8	首飾行將開工商會議商討聯合防盜辦法呈請政府設法保衛商民治安天福開列失贓單通告各同業
page 10	主席致詞
page 10	選新值理
page 10	週年報告
page 10	賑綏書畫展覽昨訊
page 10	新興商會之新職員
page 10	義學生書法比賽各界紛紛捐贈獎品
page 10	兒童遊樂場管委會年會去年經費不敷會務無由進展希望社團恢復津貼造福兒童
page 11	新舖河有築大橋訊
page 11	城區公學又起糾紛
page 11	石龍選舉女職工皇后梁秀群當選
page 11	礦商投資開採鎢礦
page 11	匪徒行劫焚殺老婦
page 11	迷惑風水傷害多命
page 11	捕獲勒索女工歹徒
page 11	烏石岡謀財害命案
page 11	會議改善檢查旅客
page 11	全縣行政會議開幕
page 11	挑運白銀被判沒收
page 11	糾黨圍警所放人犯
page 11	陶業勞資糾紛解決
page 11	擊斃夜劫耕寮匪徒
page 11	台山縣府召見鄉長分期傳集諮詢自治
page 11	聯鄉處定下月成立
page 11	專署更調高級職員
page 11	禁止拒收市行憑票
page 11	蕉嶺通訊
page 14	陸鼎揆等建議主張自動撤廢領判權我國為自保國家安全起見惟有自行限期即宣告撤廢
page 14	二人事略
page 14	綏戰兩位好漢張子清與張仰賢奉　命由綏抵並
page 14	綏遠追悼會中狂風怒吼直覺英靈戾止友邦代表羽山垂頭喪氣張　　及張子清獲獎
page 15	相約不撤
page 15	宣告廢止
page 15	楊格計劃
page 15	歐洲五大強國的軍備
page 15	五意大利的軍備
page 15	單刀直入
page 15	比來一病輕於燕扶上雕鞍馬不知
page 15	平等外交
