page 1	英美援我當更徹底
page 3	荷印努力募款購機助英作戰現　募得款項一部
page 3	毛邦初抵美商購新式飛機
page 3	皖南一帶我軍活動日犯蒙城遭我圍殲沙市日軍兩路東犯我分別迎擊我在金雞塘殲日三百生擒多名
page 3	美決在不參戰範圍內盡力援助英國投彈瞄准器已給英國使用天空砲壘二十座陸續運英
page 3	匈相簽字完畢即偕代表回匈
page 3	羅馬尼亞總理已首途赴柏林
page 3	德全力謀擴大軸心壓迫土國獻出海峽傅巴本回任後土政府將改組保南羅西諸外長紛紛訪柏林
page 5	實施擴編中順團隊
page 5	日軍又開抵婆蘿島
page 5	白蕉尚有日軍少數
page 5	江會各線頻有砲戰
page 5	連縣曲江兩縣定期實行禁娼設生產習藝班維持妓女生活按期遞減至三十年底即禁絕
page 5	犯桂日軍死亡人數
page 5	河南鄉民勇抗附日軍拒絕繳納護沙費
page 5	湘米運惠救荒
page 5	我機　昨　偵察寶安沙深公路目新兵操砲
page 5	第六批港澳歸僑抵韶
page 5	興寧米價低跌
page 5	廣三路又戒嚴
page 5	四邑銅仙價漲
page 5	日軍十三萬　集瓊崖田中駐瓊負責整理吳道南開行政會議
page 5	香翰屏召開潮梅糧食會議電各縣商討救濟辦法
page 5	粵闢六驛運線老隆驛站開始運輸
page 5	石龍近郊我軍活躍夜襲下南奏捷
page 5	袁帶赴韶謁見余李請示擴編中順團隊辦法日又駐婆蘿島澳三交通受阻新聞新鶴兩線連日仍有砲戰
page 6	　費餘　　農林事業
page 6	建設事業
page 6	合作貸款
page 6	粵省行毫券流通省際准許兌現作輔幣流通推進儲蓄業吸收僑匯
page 6	克欽縣我軍積極善後限期修復欽邕欽靈路日機連日窺欽散謊謬傳單
page 6	中央黨部派員視察黨務
page 6	南路糧食之統制問題二
page 6	實施新制
page 6	粵省府一七八次會議英德等縣將實施新制通過非常時期公務員任用標準粵參議員旅費每人增加二百元
page 7	書面領證辦法公佈
page 7	本港漁船僅存二千餘艘不敢遠行祇在英領海掙扎去年收穫僅值港幣一千萬
page 7	記者公會時裝展覽大會短期內可實現
page 7	星督湯瑪斯昨抵港逗留一星期即返星復任港督岳桐昨晚設宴招待
page 7	士丹頓街尼庵土庫被焚灌救迅速未殃及樓上損失二千餘元傷四人
page 7	柴商會代柴店填報營業狀況
page 7	火勢極烈
page 7	四人受傷
page 7	居民會再請減證費
page 7	立法局昨會議移民法例初讀通過移民局昨訂定書面領證辦法居民會再請減徵領證手續費
page 8	兩小屋搜出　批軍械七人被拘控昨晨提堂
page 8	秘密出發
page 8	械藏地穴
page 8	疑犯提堂
page 8	南社書畫展覽
page 8	港僑民疏散會省府尚未看主組織
page 8	港府嚴禁有牌貨車出口
page 8	警探追捕劫艇犯龍鼓灘土槍聲卜卜懷械路人一名被捕
page 8	獲兩疑犯
page 8	貨艇被劫
page 8	四屆貨展會將請代督剪綵攤位昨已認租過半
page 8	代督捐款購機
page 8	學生漫畫競賽下月一日揭曉
page 8	港牙醫之呼籲請太平　代為簽證
page 8	懸掛招牌規則商人務須注意
page 8	偽幣案昨判決兩犯均處徒刑
page 8	粵救護會徵藥委會會議
page 8	保衛團劃定管轄區港九分七大區六十八小段
page 8	港政府解釋徵用英國商船辦法所謂微用實係統制營業遠東航運將絕對不受影響挪威輪不准再與日訂租約
page 10	籃球戰訊
page 10	六團體對修改章則案日間可復協會
page 10	足球界之糾紛傅利沙不服原判向總會上訴
page 10	英女網球家哈活赫參加職業比賽
page 10	學界籃球開鑼戲華大壓倒嶺東十五比十四僅勝一分初級賽華仁輕取英皇
page 11	西班牙獨裁者
page 11	用無線電波駕駛飛機
page 11	德國公路與戰爭
