page 1	羅斯福的信號
page 3	盛傳英已正式向美要求財政援助英財部代表腓獵在美正商討金元劃匯問題
page 3	阿部返抵東京力勸日人認識時代
page 3	美海軍艦隊決留駐檀香山準備應付兩洋事變
page 3	滬美管廣播台被日攪擾電波不能播發時事報告台長已向美領申訴
page 3	羅馬教皇準備慶祝耶誕
page 3	越局糾紛愈複雜日決在越南設根據地傳明春將犯荷印日軍七萬餘將集中西沙群島法政府聲明決維護越南領土
page 5	蓮陽軍民勇挫日軍
page 5	日陸空聯合犯馬滘
page 5	曲江婦委會積極組訓婦女已成立婦工隊三十隊並加強幫助家庭教育
page 5	蘆苞市面走私之白熱化
page 5	南寧海關恢復
page 5	運貨入廣海貨船被劫又聞
page 5	限制奢侈品入口後粵東捲菸業概況銷量日增可塞漏
page 5	捲菸牌名
page 5	捲煙工價
page 5	捲菸製造
page 5	捲菸納費
page 5	改善之處
page 5	整頓後之粵省財政調整財務機構廢除苛捐雜稅已積極向合理化之途程邁進
page 5	韶組義勇警察
page 5	粵完成通訊網建電台一零一所
page 5	石龍日商行紛紛結束市內盛傳日軍將撤退
page 5	粵審計處遷韶
page 5	嶺東我軍團動員準備反攻澄海角石日軍出擾發生激戰日強渡東溪圖犯蓮陽被擊退
page 6	湘規定運銷鹽斤辦法湘南各縣　粵桂運入准自由銷補稅放行
page 6	粵省加緊土地測量連南始各縣已結束人民普遍負擔地稅
page 6	水上打游擊
page 6	桂林自來水供給不虞缺乏
page 6	日艦窺擾徐聞電白在龍潭鎮登陸被我擊退兩度圖犯博賀港均不逞
page 6	桂林各界籌備慶祝元旦
page 6	周群炮兵擊沉日艇九江日軍又炮擊古勞
page 6	禺南鄉民抗繳護沙費再截擊附日軍
page 6	周漢鈴部剿赤溪土匪焚燬巢並擒匪八名
page 6	峰市貨運停頓購買貨物困難
page 6	粵省營工業次第恢復機器電池肥皂藥棉等廠相繼開工火柴玻璃紡織等工廠亦積極設置
page 7	延長歲底營業時間
page 7	米價暴漲影響民食
page 7	黑市問題辯爭極烈
page 7	政府答允設法救濟
page 7	積極推行節儲運動
page 7	新會同鄉救難會遣送難民回鄉
page 7	傳省港輪搭客名額增加佛山輪尚無復航意
page 7	獎勵港僑辦米回粵倘有虧蝕由省政府補償
page 7	柳亞子昨抵港
page 7	英航帝航兩公司決合併易名英國海外民航公司
page 7	移民例請展期施行
page 7	古代法書展覽
page 7	鳴鎗拒捕匪徒法庭昨日提堂
page 7	海盜截劫貨艇艇主慘被轟斃兩榜人亦中彈受傷艇上貨物被掠一空
page 7	移民法例實施期商會決再請展延一月利便客商農曆歲低收賬吳澤華氏痛斥米商居奇
page 8	持假鎗入店索巨款族叔上堂極力指證少年蕭卓入獄兩年
page 8	國貨展覽會歡迎學界參觀特許列隊入場
page 8	中山大學將在本港招生
page 8	澳門居民紛紛來港預領入口證在澳託人代領無效
page 8	千呼萬喚始出來數區選定保衛團員名單將送警察當局全部成立為期尚遠
page 8	聯美機昨抵港
page 8	拍賣舊馬
page 8	算賭賬一賭徒被毆斃捕獲疑犯兩人
page 8	永樂輪昨入塢
page 8	國際電話受阻雖近雜　恢復通話
page 8	衛生局昨例會
page 8	粵兒童劇團明春來港表演本港各團體去函歡迎
page 8	搶匪新術女郎破財兼被毆
page 8	藏械案昨判決八犯人均處徒刑
page 8	孤軍營誤殺案被告無罪省釋
page 8	勒索疑案押候
page 8	劫綱艇案兩宗押候下星期再審
page 8	暴徒截刺商人行兇後逃去
page 8	糧食統制專員令廣恒興行發售存米與零售商直接交易免拆家操縱拆家昨大起恐慌急謀補救辦法
page 10	中華體育協進會週年陸運大會定廿二日舉行預賽個人團體參加踴躍
page 10	港記者準備征澳加緊進行忙于練排足籃乒乓四路總動員
page 10	體符會召開會議
page 10	已推定全體職員
page 10	白蘿仙盃賽參加者十六隊
page 10	華人冬泳近訊
page 10	海外拳賽祖路易擊敗麥開
page 10	派代表赴澳接洽
page 10	李劍琴教授　身
page 10	大眾義學出版健身操圖解義賣所得作為創校經費
page 10	學界籃球戰訊
page 10	準備忙加緊練兵
page 10	勝斯職工挫瑪麗
page 11	日本在美的幾個著名間諜
page 11	美國各種戰艦的命名
page 11	行蹤詭秘的日本漁船
