page 1	歡送特使團赴英
page 6	建廳續開公路行車會議
page 6	水利局集款修築潮州北堤
page 6	江山信美已非吾土台灣華僑不易立足被逐歸國者之談述
page 7	米舴要求賠償
page 7	蛛絲馬跡
page 7	警探出發
page 7	米行致商會函
page 7	領證後始運粵
page 7	大隊警探圍捕劫金舖匪黨吳淞街藏械案犯引帶前往文咸東街又捕獲竊匪秘窟
page 7	九龍城大嶺田村女醫生忽被勒斃室中各物淩亂似曾經搜索死者生平和藹與人無仇怨
page 7	入居該村
page 7	向安無異
page 7	被勒斃命
page 7	粵語聲片忽有緩期禁製訊留京粵中委向當局解說
page 7	華南米業公司本月十七日成立
page 7	九龍關正式公佈運粵洋穀米准免稅由本月一日起至八月卅一日止總額穀米均不許超過二百　擔
page 8	撥出鉅款增建堡壘
page 8	擴軍計劃迅速實現
page 8	陸空兩軍增調來港
page 8	國際聯盟協會週年大會何東演說國聯之存在與其價值
page 8	擴軍準備應付未來
page 8	防空力弱亟謀補救
page 8	維護利益抵禦侵略
page 8	兩個藝人過港美提琴名手將在港演奏美提琴家世界著名提琴
page 8	濠江會景籌備忙
page 8	壯男姦女童判處徒刑一年被告指女賣笑為生希圖狡卸女童供述被姦情形歷歷如繪
page 8	正義威脅
page 8	充實力量
page 8	遠東和平
page 8	中英合作
page 8	努力促成
page 8	致歡送詞
page 8	歡送大會
page 8	　弱之軀難勝大任
page 8	春風初度代價八九
page 8	三女二男分居共宿
page 8	香港救傷隊代表今午偕施利民乘輪赴英昨日在總會舉行歡送大會參加男女隊員共三四百人
page 8	救傷比賽
page 8	不禁詰責細　從頭
page 8	在日內瓦
page 8	合作事業
page 8	阻止侵略
page 8	綏豫散賑之經過陳夢因昨日返港談
page 8	醫生解釋生理狀態
page 8	羞人答答　不進
page 8	風狂雨驟摧殘鮮花
page 8	港商餞送伍華出國
page 8	文化社義學將開課
page 8	領事團餞送郝督
page 8	實施強化香港防禦計劃撥巨款增建三堡壘增厚防空力擴大義勇軍組織擴軍計劃純為應付未來侵略
page 10	美艦隊訪問本港
page 10	孔特使明晨抵港華商會已籌備歡迎
page 10	廣九車搭客擠擁
page 10	江寧輪昨已入塢
page 10	鐘聲社徵求隊出發
page 10	留港英艦分開遠東各埠準備英皇加冕時升旗誌慶
page 11	今日尋常杯足球賽四華隊俱對外作戰南華兄弟可望勝海軍西警東方會對華塞斯將有劇持
page 11	公開雙打網球賽昨日祗有兩場
page 11	港大週年運會今日總決賽由羅文錦夫人主持頒獎
page 11	英銀價近期略縮
page 11	足球隊社會與個人之關係李惠堂在播音台作足球講座第四講
page 11	英對美匯兌仍漲
page 11	本港外匯市仍穩
page 11	八九金市價盤旋
page 11	省法幣昨午微降
page 11	桂幣價昨日回跌
page 11	滬外匯市極呆滯
page 11	省西紙跌後微升
page 11	周德裕在星十三戰蔣德兒二次決雌雄二敗三和蔣終遜一籌周德裕卒保無敵威名
page 14	李守信特趕回與
page 14	張北不靖居民恐慌
page 14	急則相需逸則生疑
page 14	日本各方面的對華再認識論中國進步已至新的階段日本輿論亦不得不認識
page 14	文林車行禁赴察北
page 14	李逆寄信又擬　編
page 14	李部西返包部東開
page 14	察北偽軍環境惡劣日間開軍事大會地點嘉卜寺邀某軍派員參加商討今後追守計劃
page 15	一九三九年的紐約世界博覽會已開始建築會場經費　萬萬二千五百萬元是座人間理想的樂園人類文化進步的縮影
page 15	陳覺生之得以倖進
page 15	出口進口雙重走私
page 15	一筆鉅大違法收入
page 15	陳覺生甘媚外北寧縱容走私唐山以東各站私貨堆積好山但風日本憲兵不風緝私人員
